SURVEY: SNLS
SNID: 05D1cl
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.273563 deg
DECL: -4.220818 deg
MWEBV: 0.0279 MW E(B-V)
REDSHIFT_HELIO: 0.83 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.83 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53627.857
FILTERS: griz
OBS: 53648.420  i  NULL 22.8840000 1.9160000
OBS: 53651.410  i  NULL 21.2010000 2.0840000
OBS: 53655.410  i  NULL 19.3810000 1.5160000
OBS: 53666.400  i  NULL 9.5530000 2.8600000
OBS: 53667.430  i  NULL 9.6710000 1.4460000
OBS: 53670.320  i  NULL 8.0380000 2.3410000
OBS: 53674.390  i  NULL 8.1160000 1.5910000
OBS: 53678.350  i  NULL 3.4080000 2.4560000
OBS: 53682.290  i  NULL 12.2340000 7.1980000
OBS: 53699.280  i  NULL -0.4400000 1.3430000
OBS: 53702.290  i  NULL 4.8030000 2.1300000
OBS: 53705.290  i  NULL 2.8550000 1.0040000
OBS: 53711.270  i  NULL 0.2590000 2.2470000
OBS: 53726.280  i  NULL 0.6840000 0.9760000
OBS: 53730.320  i  NULL -6.1430000 2.4660000
OBS: 53734.250  i  NULL -0.7880000 0.9750000
OBS: 53739.260  i  NULL 2.4010000 1.5780000
OBS: 53766.250  i  NULL -0.6020000 2.0580000
OBS: 53769.230  i  NULL 2.0790000 1.4570000
OBS: 53944.600  i  NULL 0.0440000 2.1060000
OBS: 53946.600  i  NULL -7.1220000 5.0520000
OBS: 53963.540  i  NULL -1.4680000 1.4840000
OBS: 53967.560  i  NULL 0.9420000 1.7470000
OBS: 53970.530  i  NULL -0.1780000 1.1880000
OBS: 53975.580  i  NULL 0.6420000 1.3700000
OBS: 53979.510  i  NULL -1.1810000 1.7290000
OBS: 53586.600  r  NULL 0.0510000 0.9840000
OBS: 53592.560  r  NULL -0.3660000 1.3060000
OBS: 53609.560  r  NULL 16.9450000 2.0900000
OBS: 53613.550  r  NULL 21.6180000 1.2580000
OBS: 53617.510  r  NULL 22.5540000 0.9910000
OBS: 53622.500  r  NULL 21.5680000 1.7310000
OBS: 53624.530  r  NULL 21.4300000 1.2180000
OBS: 53639.570  r  NULL 9.6820000 1.6500000
OBS: 53642.450  r  NULL 9.5780000 1.7630000
OBS: 53648.450  r  NULL 5.7750000 1.1860000
OBS: 53651.430  r  NULL 6.4480000 1.4070000
OBS: 53655.520  r  NULL 10.0940000 1.9850000
OBS: 53666.460  r  NULL 5.7630000 5.4170000
OBS: 53667.470  r  NULL 1.4960000 1.7550000
OBS: 53670.340  r  NULL 1.5940000 1.3830000
OBS: 53674.480  r  NULL 5.3830000 1.9020000
OBS: 53675.380  r  NULL 1.5210000 1.2710000
OBS: 53678.370  r  NULL 1.2690000 1.3340000
OBS: 53698.460  r  NULL 1.4220000 1.2900000
OBS: 53702.330  r  NULL 1.2310000 1.2660000
OBS: 53705.330  r  NULL 0.2040000 0.8640000
OBS: 53711.360  r  NULL 0.0910000 2.2090000
