SURVEY: DES
SNID: 1296273
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 41.079811               # deg
DECL: -0.450364               # deg
MWEBV: 0.031                    # MW E(B-V)
MWEBV_ERR: 0.002                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56924.496
REDSHIFT_FINAL: 0.3970 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.3980 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 8.5640 +-  0.4400 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: -0.36    -0.65    -0.90    -1.21    # griz
PRIVATE(DES_mjd_latest_ml): 57003.045
PRIVATE(DES_mjd_trigger): 56923.315
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
OBS: 56932.217  g  NULL 108.1500000 7.6847000
OBS: 56932.220  r  NULL 201.8200000 7.8143000
OBS: 56932.222  i  NULL 169.4900000 8.0770000
OBS: 56932.224  z  NULL 162.4000000 8.1575000
OBS: 56943.202  g  NULL 25.9130000 13.4570000
OBS: 56943.204  r  NULL 107.7800000 11.6580000
OBS: 56943.206  i  NULL 115.9200000 8.9694000
OBS: 56943.209  z  NULL 117.6300000 8.3299000
OBS: 56952.118  g  NULL 14.5540000 4.5679000
OBS: 56952.120  r  NULL 65.0860000 6.0509000
OBS: 56952.122  i  NULL 110.7300000 8.5237000
OBS: 56952.125  z  NULL 95.6220000 10.3320000
OBS: 56957.104  g  NULL 25.4880000 9.7428000
OBS: 56957.106  r  NULL 55.2210000 12.3600000
OBS: 56957.108  i  NULL 67.9880000 12.3720000
OBS: 56957.111  z  NULL 86.9250000 15.9250000
OBS: 56959.100  g  NULL 15.3210000 6.2961000
OBS: 56959.102  r  NULL 30.7730000 5.9586000
OBS: 56959.105  i  NULL 73.9590000 8.8338000
OBS: 56959.107  z  NULL 81.4250000 8.7615000
OBS: 56964.215  g  NULL 22.7790000 15.9200000
OBS: 56964.218  r  NULL 17.1460000 10.6140000
OBS: 56964.220  i  NULL 64.8230000 11.3010000
OBS: 56964.223  z  NULL 71.9800000 11.0620000
OBS: 56973.183  g  NULL 13.9260000 7.0249000
OBS: 56973.185  r  NULL 19.6140000 5.7538000
OBS: 56973.188  i  NULL 40.9560000 6.1619000
OBS: 56973.190  z  NULL 47.7590000 6.8098000
OBS: 56980.179  g  NULL 3.7355000 3.3022000
OBS: 56980.181  r  NULL 23.8920000 4.8912000
OBS: 56980.183  i  NULL 41.1190000 6.8067000
OBS: 56980.186  z  NULL 37.5740000 7.8525000
OBS: 56987.180  g  NULL 2.7518000 3.6569000
OBS: 56987.182  r  NULL 11.7940000 5.0217000
OBS: 56987.187  z  NULL 37.0930000 8.3401000
OBS: 56990.181  g  NULL 12.0710000 6.4535000
OBS: 56990.183  r  NULL 18.9720000 8.6832000
OBS: 56990.185  i  NULL 71.0230000 19.9590000
OBS: 56990.188  z  NULL 5.1892000 15.8040000
OBS: 57001.147  g  NULL 21.0410000 14.8890000
OBS: 57001.149  r  NULL 10.8170000 14.9280000
OBS: 57001.151  i  NULL 7.0460000 16.6460000
OBS: 57001.154  z  NULL 25.0870000 13.5450000
OBS: 57003.043  g  NULL 6.7070000 3.9588000
OBS: 57003.045  r  NULL 21.4600000 5.0695000
OBS: 57003.047  i  NULL 21.5380000 6.9693000
OBS: 57003.049  z  NULL 21.0460000 8.5850000
END_PHOTOMETRY:

# =============================================
