SURVEY: SDSS
SNID: 14279
IAUC: 2006hx
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 18.488775  deg
DECL: 0.371669  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0300    MW E(B-V)
MWEBV_ERR: 0.0050    error on MWEBV
OBS: 54029.309  z  NULL 4965.0000000 178.5000000
OBS: 54029.309  u  NULL 2010.0000000 66.6600000
OBS: 54031.296  g  NULL 6780.0000000 43.7100000
OBS: 54031.296  r  NULL 8249.0000000 98.7700000
OBS: 54031.296  i  NULL 5171.0000000 66.6800000
OBS: 54031.296  z  NULL 4689.0000000 168.6000000
OBS: 54031.296  u  NULL 1818.0000000 68.6700000
OBS: 54036.300  g  NULL 4341.0000000 35.9900000
OBS: 54036.300  r  NULL 6433.0000000 100.7000000
OBS: 54036.300  i  NULL 4130.0000000 118.0000000
OBS: 54036.300  z  NULL 4612.0000000 174.3000000
OBS: 54036.300  u  NULL 761.1000000 67.4300000
OBS: 54039.299  g  NULL 3370.0000000 31.0400000
OBS: 54039.299  r  NULL 5623.0000000 108.8000000
OBS: 54039.299  i  NULL 3876.0000000 85.6900000
OBS: 54039.299  z  NULL 4257.0000000 176.6000000
OBS: 54039.299  u  NULL 641.8000000 68.1700000
OBS: 54041.269  g  NULL 2734.0000000 45.3300000
OBS: 54041.269  r  NULL 5430.0000000 100.0000000
OBS: 54041.269  i  NULL 4010.0000000 66.4900000
OBS: 54041.269  z  NULL 4495.0000000 161.6000000
OBS: 54041.269  u  NULL 437.7000000 85.3600000
OBS: 54048.293  g  NULL 1461.0000000 28.2700000
OBS: 54048.293  r  NULL 4341.0000000 87.9700000
OBS: 54048.293  i  NULL 4393.0000000 48.5600000
OBS: 54048.293  z  NULL 4870.0000000 152.6000000
OBS: 54048.293  u  NULL 207.0000000 69.9400000
OBS: 54052.297  g  NULL 908.6000000 36.8400000
OBS: 54052.297  r  NULL 3912.0000000 64.8600000
OBS: 54052.297  i  NULL 4029.0000000 81.6500000
OBS: 54052.297  z  NULL 3889.0000000 226.0000000
OBS: 54052.297  u  NULL 213.9000000 68.2400000
OBS: 54055.293  g  NULL 939.2000000 35.4800000
OBS: 54055.293  r  NULL 2968.0000000 57.4000000
OBS: 54055.293  i  NULL 3407.0000000 72.1800000
OBS: 54055.293  z  NULL 4144.0000000 191.0000000
OBS: 54055.293  u  NULL 80.0400000 85.9100000
OBS: 54058.291  g  NULL 782.6000000 25.9600000
OBS: 54058.291  r  NULL 2589.0000000 50.0900000
OBS: 54058.291  i  NULL 2620.0000000 72.4200000
OBS: 54058.291  z  NULL 3231.0000000 196.8000000
OBS: 54058.291  u  NULL 130.6000000 73.5200000
OBS: 54060.313  g  NULL 755.0000000 26.4400000
OBS: 54060.313  r  NULL 2235.0000000 41.1700000
OBS: 54060.313  i  NULL 2329.0000000 53.6400000
OBS: 54060.313  z  NULL 3069.0000000 147.2000000
OBS: 54060.313  u  NULL 208.4000000 58.4400000
OBS: 54063.281  g  NULL 731.0000000 21.5600000
OBS: 54063.281  r  NULL 2120.0000000 52.7400000
OBS: 54063.281  i  NULL 2186.0000000 52.3500000
OBS: 54063.281  z  NULL 2832.0000000 162.0000000
OBS: 54063.281  u  NULL 129.6000000 52.8400000
END_PHOTOMETRY:

# =============================================
