SURVEY: SDSS
SNID: 16165
IAUC: 2006nw
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 30.733135  deg
DECL: -0.533872  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0273    MW E(B-V)
MWEBV_ERR: 0.0045    error on MWEBV
NEPOCH_PRESN: 18   24   23   25   25   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.157000 +- 0.005000  (Helio, z_best)
REDSHIFT_FINAL: 0.155959 +- 0.005000  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54052.766  (SNANA-FIT)
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9.0000  +- -9.0000
HOSTGAL_SNSEP: -9.000    # arcsec
HOSTGAL_MAG: -9.00  -9.00  -9.00  -9.00  -9.00 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 6600  QMASK: 0
IDCCD: 2   FIELD: 82N
CLOUDCAM_AVG: 2739.00     CLOUDCAM_SIG: 81.72
MOONDIST: 999.00 deg     MOONPHASE:   0.12
AIRMASS: 1.504
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 642      642      642      642      642
PHOTOMETRYFLAG: 0        0        0        0        0
GAIN: 3.855    4.600    6.565    5.155    1.595  e/ADU
RDNOISE: 4.626    4.600   15.756    5.155    5.662  e-
SKY_AVG: 59.00   146.75   259.00   186.75    14.50  ADU/pix
SKY_SIG: 4.16     5.89     7.73     6.31     4.14  ADU/pix
PSF_SIG1: 1.373    1.024    0.944    1.161    1.431  pixels
PSF_SIG2: 3.128    2.429    2.475    3.120    2.981  pixels
PSF_RATIO: 0.056    0.074    0.058    0.042    0.079  (at origin)
FLUX: 22.16    27.20    21.66     8.05     2.23  uJy
FLUX_ERRTOT: 0.753    0.927    1.204    4.202    1.708  uJy
FLUXCAL_ERRTOT: 21.196   25.673   34.152  127.547   55.445
MAG_ERRPLUS: 0.0370   0.0370   0.0610   0.4990   0.8510
MAG_ERRMINUS: 0.0370   0.0370   0.0610   0.4990   0.8510
ZEROPT: 28.3080  28.1950  27.8610  26.2180  27.2350
ZEROPT_ERR: 0.0050   0.0030   0.0030   0.0040   0.0230
SKYSUB_ERR: 10.698    7.739    9.573  102.988    4.290  (fluxcal)
GALSUB_ERR: 10.555    7.902    8.378   50.411   64.497  (fluxcal)
END_OF_EPOCH: 20
XPIXEL: 928.440  927.800  926.670   -9.000   -9.000  (pixels)
YPIXEL: 334.710  322.660  325.600   -9.000   -9.000  (pixels)
EDGEDIST: 334.710  322.660  325.600   -9.000   -9.000  (pixels)
SEARCH_MAG: 20.5070  20.3020  20.5880  -9.0000  -9.0000
SEARCH_MAGERR: 0.0270   0.0280   0.0460  -9.0000  -9.0000
END_OF_SN: 16165
PHOTFLAG: [  1   1   1  32   1   0   0  32   0   0   0   0   0  32   0   0   0   0
   0   0   8   0   0   0   8   0  32  32   0   8   1   0   0   0   9   8
   0  32  32 128   0  32  32   0   0   0   0  32   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   8   1   1   1   0   1   1   1
   0   0   1   2   0   0   0   2   0   0   0   0   0   0   0   0   0   0
   8   0   0   0   8   0   0   0   0   0]
SPECTRA: {}

NOBS: 100
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53989.399  g  NULL -49.5700000 50.7000000
OBS: 53989.399  r  NULL -46.7500000 43.5700000
OBS: 53989.399  i  NULL 18.4200000 41.3400000
OBS: 53989.399  z  NULL 35.0700000 102.1000000
OBS: 53989.399  u  NULL 78.2600000 166.0000000
OBS: 53995.438  g  NULL -0.2900000 13.8900000
OBS: 53995.438  r  NULL 40.0500000 20.9000000
OBS: 53995.438  i  NULL 4.1500000 29.2700000
OBS: 53995.438  z  NULL -86.3400000 92.3500000
OBS: 53995.438  u  NULL -29.2300000 50.1600000
OBS: 54000.375  g  NULL -10.5100000 17.4800000
OBS: 54000.375  r  NULL -50.5500000 28.6500000
OBS: 54000.375  i  NULL -108.0000000 39.5400000
OBS: 54000.375  z  NULL 25.8800000 125.1000000
OBS: 54000.375  u  NULL -31.3200000 60.6600000
OBS: 54007.425  g  NULL -4.2300000 13.6900000
OBS: 54007.425  r  NULL -23.6000000 24.6400000
OBS: 54007.425  i  NULL -27.8200000 37.0700000
OBS: 54007.425  z  NULL 64.1400000 99.4600000
OBS: 54007.425  u  NULL -67.3300000 51.5700000
OBS: 54009.349  g  NULL -7.3100000 12.6600000
OBS: 54009.349  r  NULL -4.8300000 19.3700000
OBS: 54009.349  i  NULL -26.5700000 30.9900000
OBS: 54009.349  z  NULL -39.8700000 87.1300000
