SURVEY: SNLS
SNID: 04D3ks
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 215.63978 deg
DECL: 52.185184 deg
MWEBV: 0.0117 MW E(B-V)
REDSHIFT_HELIO: 0.75 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.75 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53163.631
FILTERS: griz
OBS: 53202.310  i  NULL 8.1340000 2.3790000
OBS: 53226.260  i  NULL -1.2460000 2.4460000
OBS: 53227.250  i  NULL 1.6650000 2.0820000
OBS: 53386.600  i  NULL 3.3360000 1.7300000
OBS: 53390.600  i  NULL 1.7720000 3.1840000
OBS: 53409.620  i  NULL 1.1680000 1.8240000
OBS: 53415.540  i  NULL 2.6550000 3.4150000
OBS: 53419.600  i  NULL -2.7790000 2.2960000
OBS: 53440.520  i  NULL 2.6870000 2.8640000
OBS: 53446.470  i  NULL 0.6010000 1.8390000
OBS: 53461.490  i  NULL 3.2260000 3.6920000
OBS: 53465.540  i  NULL 6.4200000 16.9550000
OBS: 53466.550  i  NULL -1.1700000 3.0870000
OBS: 53469.440  i  NULL 4.2860000 2.5260000
OBS: 53473.450  i  NULL -6.5580000 3.2610000
OBS: 53494.460  i  NULL -2.1720000 2.1850000
OBS: 53498.350  i  NULL -3.5070000 3.0400000
OBS: 53502.320  i  NULL 1.9950000 3.1720000
OBS: 53505.320  i  NULL -1.1590000 1.9640000
OBS: 53508.300  i  NULL 0.6430000 2.8860000
OBS: 53109.530  r  NULL -0.7700000 1.5690000
OBS: 53117.460  r  NULL -0.7770000 1.4070000
OBS: 53121.400  r  NULL -1.4790000 1.4870000
OBS: 53123.450  r  NULL 1.9880000 1.7670000
OBS: 53134.330  r  NULL 2.9820000 1.5540000
OBS: 53138.430  r  NULL 5.7260000 1.6560000
OBS: 53146.460  r  NULL 18.9750000 1.8040000
OBS: 53149.310  r  NULL 27.3770000 1.4410000
OBS: 53151.450  r  NULL 32.3010000 2.3770000
OBS: 53165.380  r  NULL 32.9170000 1.1900000
OBS: 53169.380  r  NULL 29.1880000 1.7720000
OBS: 53175.360  r  NULL 20.2170000 1.7240000
OBS: 53178.350  r  NULL 20.3190000 1.3670000
OBS: 53182.320  r  NULL 15.4470000 1.9480000
OBS: 53193.380  r  NULL 8.2130000 2.5010000
OBS: 53197.330  r  NULL 3.2140000 1.5260000
OBS: 53198.300  r  NULL 7.3280000 2.5120000
OBS: 53204.350  r  NULL 4.1050000 1.5300000
OBS: 53228.250  r  NULL 2.2330000 1.9470000
OBS: 53386.640  r  NULL -2.1750000 1.3670000
OBS: 53390.620  r  NULL 1.3350000 1.7040000
