SURVEY: SNLS
SNID: 04D1iv
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.200212 deg
DECL: -4.152559 deg
MWEBV: 0.0286 MW E(B-V)
REDSHIFT_HELIO: 0.998 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.998 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53265.098
FILTERS: griz
OBS: 53622.470  i  NULL 1.2830000 1.9830000
OBS: 53624.490  i  NULL 0.9690000 1.1670000
OBS: 53639.530  i  NULL -2.0030000 1.1950000
OBS: 53642.430  i  NULL 0.2110000 1.8150000
OBS: 53647.540  i  NULL 0.4500000 1.6520000
OBS: 53648.420  i  NULL 1.0620000 1.7980000
OBS: 53651.410  i  NULL -1.2850000 1.8820000
OBS: 53655.420  i  NULL -2.5150000 1.2540000
OBS: 53207.600  r  NULL 2.0940000 1.2610000
OBS: 53236.570  r  NULL 0.3540000 1.5430000
OBS: 53239.570  r  NULL 2.9170000 1.3030000
OBS: 53253.580  r  NULL 16.2120000 1.6550000
OBS: 53257.550  r  NULL 16.3970000 1.0360000
OBS: 53261.500  r  NULL 16.1940000 1.0690000
OBS: 53265.590  r  NULL 11.3390000 2.4610000
OBS: 53266.550  r  NULL 10.1630000 1.3180000
OBS: 53270.560  r  NULL 8.2770000 1.1560000
OBS: 53282.500  r  NULL 7.0130000 1.7210000
OBS: 53287.460  r  NULL 3.0040000 1.1240000
OBS: 53293.430  r  NULL 4.5350000 1.4420000
OBS: 53297.360  r  NULL 0.5620000 1.2580000
OBS: 53300.390  r  NULL 1.1700000 1.4900000
OBS: 53311.380  r  NULL -0.7590000 1.8050000
OBS: 53316.410  r  NULL -0.7210000 1.1040000
OBS: 53322.380  r  NULL 1.4260000 1.3650000
OBS: 53328.350  r  NULL -1.3320000 1.6280000
OBS: 53343.380  r  NULL -2.3520000 1.9740000
OBS: 53350.300  r  NULL 0.5520000 1.0430000
OBS: 53353.280  r  NULL -0.7080000 1.0140000
OBS: 53356.250  r  NULL 1.4250000 1.3350000
OBS: 53376.310  r  NULL -1.5310000 1.3620000
OBS: 53385.290  r  NULL -0.2520000 2.3970000
OBS: 53586.600  r  NULL 0.4780000 0.8460000
OBS: 53592.560  r  NULL 0.2940000 1.2030000
OBS: 53609.560  r  NULL 0.6230000 1.8750000
OBS: 53613.550  r  NULL -0.0870000 1.0620000
OBS: 53617.520  r  NULL 1.3140000 0.9960000
