SURVEY: DES
SNID: 1313594
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 34.832935               # deg
DECL: -5.789424               # deg
MWEBV: 0.022                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56998.152
REDSHIFT_FINAL: 0.2883 +-  0.0010    # (CMB)
REDSHIFT_HELIO: 0.2894 +-  0.0010    # (HELIO)
HOSTGAL_OBJID: 34055
HOSTGAL_PHOTOZ: 0.7057 +-  0.0794   # (HELIO)
HOSTGAL_SPECZ: 0.2894 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 1.3100              # arcSec
HOSTGAL_LOGMASS: 10.3790 +-  0.1885 # log10(M/Msolar)
HOSTGAL_MAG: 23.46    22.42    21.69    21.27    # griz
HOSTGAL_SB_FLUXCAL: 10.10    18.65    27.84    35.72    # griz
PRIVATE(DES_mjd_latest_ml): 57051.058
PRIVATE(DES_mjd_trigger): 56987.057
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'i' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.712 30.758 31.007 30.682 30.719 30.75  31.007 30.65  30.735 30.784
 31.044 30.719 29.52  30.52  29.783 30.755 30.784 31.022 30.663 30.761
 30.795 31.037 30.716 30.576 30.153 30.534 30.428 30.76  30.782 31.013
 30.698 30.734 30.767 31.01  30.651 30.749 31.009 30.644 30.684 30.745
 31.002 30.641 30.683 30.738 30.997 30.647 30.713 30.75  31.014 30.708
 30.629 30.712 30.96  30.57 ]
PSF: [2.8   2.47  2.24  1.97  1.73  1.61  1.61  1.584 2.34  2.28  2.04  2.046
 2.44  2.01  2.13  2.12  1.96  1.88  1.859 2.69  2.25  2.03  2.155 3.56
 3.27  3.46  3.452 2.91  2.85  2.3   2.24  2.82  2.56  2.26  1.995 2.56
 2.23  2.156 2.24  1.95  1.94  1.868 2.    1.92  1.88  1.695 2.88  2.95
 2.9   2.63  1.78  1.74  1.65  1.545]
SKYSIG: [ 8.31 12.82 23.42 22.92  7.93 12.92 26.67 25.16  8.31 12.31 24.13 23.78
 23.07 33.74 41.16 10.08 11.8  22.94 21.84 13.58 13.61 24.49 23.15 11.04
 12.84 20.73 18.2  10.75 12.82 21.08 19.37 11.05 13.81 24.96 23.59 32.59
 39.12 31.25 22.31 21.14 27.81 22.9   7.53 11.72 24.43 24.89  7.98 11.81
 21.31 21.02 24.79 25.83 34.28 27.59]
GAIN: [4.14  3.75  3.83  4.06  4.2   3.73  3.81  4.081 4.1   3.71  3.81  4.05
 4.34  3.88  4.07  4.25  3.71  3.83  4.08  4.26  3.77  3.81  4.075 4.25
 3.78  3.86  4.105 4.25  3.72  3.86  4.081 4.24  3.75  3.81  4.04  4.37
 3.9   4.05  4.32  3.87  3.85  4.07  4.18  3.73  3.82  4.065 4.17  3.7
 3.84  4.064 4.37  3.8   3.87  4.085]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0     0
     0     0 98304     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0]
PHOTPROB: [0.85 1.02 0.85 1.   1.09 1.14 1.03 1.03 0.99 1.03 0.83 0.94 0.97 0.97
 1.03 1.06 1.11 1.   1.01 0.87 0.95 0.98 1.05 0.91 0.97 0.99 1.01 1.
 1.05 0.87 0.94 0.94 1.02 1.02 1.01 1.09 0.9  0.97 0.91 1.02 1.03 0.97
 1.   1.12 0.91 0.88 0.87 1.15 0.95 0.89 1.03 0.94 0.96 0.93]
SPECTRA: {}

NOBS: 54
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56973.035  g  NULL -4.4060000 6.2450000
OBS: 56973.038  r  NULL 1.1560000 7.5568000
OBS: 56973.040  i  NULL -1.8440000 10.2890000
OBS: 56973.043  z  NULL -13.8370000 11.4720000
OBS: 56980.052  g  NULL 9.9093000 3.7011000
OBS: 56980.054  r  NULL 17.0340000 5.4594000
OBS: 56980.056  i  NULL 6.7229000 8.1032000
OBS: 56980.059  z  NULL 12.5210000 9.9512000
OBS: 56987.057  g  NULL 86.9240000 5.4619000
OBS: 56987.059  r  NULL 104.8400000 7.4168000
OBS: 56987.061  i  NULL 95.3670000 9.4947000
OBS: 56987.064  z  NULL 84.5630000 11.5540000
OBS: 56990.057  g  NULL 153.1300000 42.0780000
OBS: 56990.062  i  NULL 142.9900000 23.2030000
OBS: 56990.063  z  NULL 140.0100000 51.4760000
OBS: 57001.037  g  NULL 315.1600000 7.0408000
OBS: 57001.039  r  NULL 322.7000000 7.7579000
OBS: 57001.041  i  NULL 292.2700000 9.3102000
OBS: 57001.044  z  NULL 176.3400000 10.4470000
OBS: 57005.035  g  NULL 279.2500000 10.0010000
OBS: 57005.037  r  NULL 313.3200000 8.8474000
OBS: 57005.039  i  NULL 308.4500000 10.0510000
