SURVEY: DES
SNID: 1337221
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 7.394314               # deg
DECL: -42.813427               # deg
MWEBV: 0.006                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57357.68
REDSHIFT_FINAL: 0.6688 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.6700 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: 42202
HOSTGAL_PHOTOZ: 0.6297 +-  0.0647   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.3800              # arcSec
HOSTGAL_LOGMASS: 8.5650 +-  0.0670 # log10(M/Msolar)
HOSTGAL_MAG: 25.55    24.59    24.22    24.42    # griz
HOSTGAL_SB_FLUXCAL: 0.66     1.96     2.88     3.30    # griz
PRIVATE(DES_mjd_latest_ml): 57386.049
PRIVATE(DES_mjd_trigger): 57355.144
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.718 30.742 30.991 30.696 30.692 30.726 30.969 30.657 30.735 30.743
 30.975 30.66  30.719 30.73  30.968 30.712 30.425 30.93  30.609 30.685
 30.711 30.961 30.649 30.706 30.701 30.865 30.566 30.089 30.822 30.61
 30.679 30.751 30.994 30.684 30.756 30.754 30.992 30.666 30.731 30.757
 30.977 30.645 30.721 30.73  30.956 30.574 30.577 30.607 30.791 30.523
 30.686 30.696 30.929 30.555]
PSF: [2.44  2.08  1.96  2.188 2.86  2.95  2.26  2.391 2.11  2.01  1.77  1.678
 3.19  3.04  2.81  2.725 1.47  1.54  1.446 2.07  1.99  1.68  1.52  2.33
 2.17  1.84  1.669 1.82  1.77  1.63  4.15  3.53  3.7   3.534 2.38  2.17
 1.98  1.873 2.14  1.96  1.86  1.866 2.71  2.51  2.42  2.055 3.56  3.1
 2.83  2.594 2.2   2.09  1.94  1.784]
SKYSIG: [ 7.48 12.51 22.72 22.84  7.75 12.21 23.56 23.73  7.68 10.96 17.68 17.31
