SURVEY: SDSS
SNID: 12843
IAUC: 2006fa
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 323.878086  deg
DECL: -0.980274  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0451    MW E(B-V)
MWEBV_ERR: 0.0075    error on MWEBV
NEPOCH_PRESN: 8   10   13   14   15   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.167253 +- 0.000068  (Helio, z_best)
FLUXCAL_ERRTOT: 18.275   29.526   49.821  152.853   65.165
MAG_ERRPLUS: 0.3570   0.3880   0.8200   0.8550   0.7640
MAG_ERRMINUS: 0.3570   0.3880   0.8200   0.8550   0.7640
ZEROPT: 28.6130  28.2030  27.8770  26.2350  27.3840
ZEROPT_ERR: 0.0030   0.0020   0.0020   0.0040   0.0250
SEARCH_MAG: 21.6270  20.9650  20.9370  -9.0000  -9.0000
SEARCH_MAGERR: 0.0780   0.0560   0.0860  -9.0000  -9.0000
SKYSUB_ERR: 10.254   17.618   33.642   73.952   27.921  (fluxcal)
GALSUB_ERR: 0.000    0.000    0.000    0.000    0.000  (fluxcal)
END_OF_EPOCH: 23
END_OF_SN: 12843
PHOTFLAG: [ 256  256  256  288  392  257  257  256  288  289  256  256  288  288
  288  256  256  288  288  416  288  288  288  288  424  288  288  288
  288  264  289  288  256  288  289  289  257  257  256  289  289  288
  288  288  289  288  288  288  288  288  288  288  288  288  256  288
  288  288  288 1440  288  288  288  256  288  289  289  289  288  257
  257 1337  313  256  289  289  288  288  288  288 1412 1413 1412 1444
  416  416  288  256  386  290  258  418  288  288  288  256  266  288
  288  288  416  424  288  288  288  288  416  288  288  288  288  288]
SPECTRA: {}

NOBS: 112
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53974.206  g  NULL 473.2000000 17.4500000
OBS: 53974.206  r  NULL 488.1000000 22.9700000
OBS: 53974.206  i  NULL 486.9000000 35.5500000
OBS: 53974.206  z  NULL 421.5000000 111.0000000
OBS: 53974.206  u  NULL 156.7000000 39.5300000
OBS: 53989.214  g  NULL 476.3000000 24.1500000
OBS: 53989.214  r  NULL 697.4000000 26.3600000
OBS: 53989.214  i  NULL 598.2000000 36.4500000
OBS: 53989.214  z  NULL 217.3000000 110.0000000
OBS: 53989.214  u  NULL 17.1000000 61.5800000
OBS: 53995.203  g  NULL 288.4000000 18.6400000
OBS: 53995.203  r  NULL 475.2000000 24.1200000
OBS: 53995.203  i  NULL 390.4000000 35.8000000
OBS: 53995.203  z  NULL 285.3000000 127.1000000
OBS: 53995.203  u  NULL 8.1500000 41.5400000
OBS: 53997.181  g  NULL 218.4000000 16.5700000
OBS: 53997.181  r  NULL 422.7000000 24.5800000
OBS: 53997.181  i  NULL 429.0000000 37.7200000
OBS: 53997.181  z  NULL 146.6000000 129.6000000
OBS: 53997.181  u  NULL 44.7300000 52.0900000
OBS: 54005.153  g  NULL 72.2100000 17.7800000
OBS: 54005.153  r  NULL 330.7000000 23.8400000
OBS: 54005.153  i  NULL 352.9000000 35.6700000
OBS: 54005.153  z  NULL 230.4000000 119.2000000
OBS: 54005.153  u  NULL -0.4000000 38.6900000
OBS: 54007.165  g  NULL 75.1500000 19.4100000
OBS: 54007.165  r  NULL 277.2000000 25.6600000
OBS: 54007.165  i  NULL 318.1000000 37.2400000
OBS: 54007.165  z  NULL 381.7000000 126.8000000
OBS: 54007.165  u  NULL -21.6700000 51.5300000
OBS: 54009.162  g  NULL 80.5100000 23.7200000
OBS: 54009.162  r  NULL 263.5000000 27.3400000
OBS: 54009.162  i  NULL 446.4000000 38.4000000
OBS: 54009.162  z  NULL 293.7000000 109.8000000
OBS: 54009.162  u  NULL 46.1600000 71.6700000
OBS: 54011.227  g  NULL 11.2000000 36.1100000
