SURVEY: SNLS
SNID: 05D4cn
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 333.381059 deg
DECL: -17.288845 deg
MWEBV: 0.0259 MW E(B-V)
REDSHIFT_HELIO: 0.763 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.763 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53583.876
FILTERS: griz
OBS: 53594.400  i  NULL 36.2770000 2.0900000
OBS: 53609.360  i  NULL 17.0810000 1.3530000
OBS: 53613.350  i  NULL 14.2960000 1.7810000
OBS: 53615.380  i  NULL 11.6410000 2.9470000
OBS: 53617.360  i  NULL 12.7600000 2.0090000
OBS: 53622.340  i  NULL 11.6290000 1.9110000
OBS: 53624.320  i  NULL 9.0100000 1.8590000
OBS: 53639.290  i  NULL 7.2000000 1.9200000
OBS: 53642.250  i  NULL 9.6260000 1.8720000
OBS: 53647.340  i  NULL 8.6780000 1.2690000
OBS: 53651.260  i  NULL 3.0340000 2.0590000
OBS: 53654.240  i  NULL 4.6620000 2.0880000
OBS: 53666.270  i  NULL 10.5990000 2.1990000
OBS: 53667.330  i  NULL 1.9000000 4.1600000
OBS: 53670.210  i  NULL 0.9660000 1.8540000
OBS: 53674.230  i  NULL 3.3010000 1.4630000
OBS: 53678.200  i  NULL 4.4660000 2.5470000
OBS: 53681.210  i  NULL 4.2380000 1.2230000
OBS: 53699.220  i  NULL 2.1490000 1.2050000
OBS: 53705.220  i  NULL 3.6340000 1.7890000
OBS: 53709.200  i  NULL 2.7880000 3.1770000
OBS: 53888.600  i  NULL 3.4920000 2.0250000
OBS: 53908.600  i  NULL -2.4640000 6.1490000
OBS: 53909.550  i  NULL -0.2530000 2.0900000
OBS: 53913.520  i  NULL 6.2470000 4.1500000
OBS: 53914.540  i  NULL 1.9030000 6.7220000
OBS: 53915.540  i  NULL -3.4420000 2.6640000
OBS: 53920.500  i  NULL 3.0930000 1.7840000
OBS: 53935.520  i  NULL 1.8250000 1.8910000
OBS: 53535.560  r  NULL 2.6010000 1.2850000
OBS: 53551.580  r  NULL -0.6250000 1.3940000
OBS: 53554.570  r  NULL 1.0530000 1.2840000
OBS: 53558.560  r  NULL 6.2730000 1.3910000
OBS: 53564.570  r  NULL 15.0550000 3.8730000
OBS: 53565.570  r  NULL 15.4300000 1.3140000
OBS: 53577.600  r  NULL 23.6790000 2.3940000
OBS: 53578.490  r  NULL 24.7690000 2.8800000
OBS: 53579.510  r  NULL 30.9760000 3.7960000
OBS: 53582.490  r  NULL 27.6650000 1.4630000
OBS: 53586.500  r  NULL 25.1890000 0.9870000
OBS: 53591.470  r  NULL 22.9050000 2.3430000
OBS: 53592.410  r  NULL 18.9330000 1.0690000
OBS: 53594.440  r  NULL 16.3420000 1.2800000
OBS: 53609.400  r  NULL 5.7560000 1.2050000
OBS: 53613.400  r  NULL 6.0310000 1.2760000
OBS: 53617.400  r  NULL 2.3000000 0.9890000
OBS: 53622.390  r  NULL 0.8570000 1.4830000
OBS: 53624.360  r  NULL 4.0080000 1.3090000
OBS: 53639.350  r  NULL 0.3850000 1.5340000
OBS: 53642.270  r  NULL 1.3210000 1.2040000
OBS: 53648.260  r  NULL 1.0130000 1.0140000
OBS: 53651.280  r  NULL -0.9880000 1.0410000
OBS: 53654.270  r  NULL 3.4690000 1.6700000
OBS: 53666.320  r  NULL -0.8910000 1.4260000
OBS: 53670.250  r  NULL 1.8870000 1.0740000
OBS: 53674.270  r  NULL -0.2840000 1.2950000
OBS: 53678.240  r  NULL 0.5080000 1.6700000
OBS: 53681.250  r  NULL -0.5030000 1.3140000
OBS: 53699.250  r  NULL 1.7080000 0.9680000
OBS: 53705.260  r  NULL 0.0670000 1.0050000
OBS: 53709.230  r  NULL -0.0330000 1.8920000
OBS: 53889.600  r  NULL 0.5530000 1.3240000
OBS: 53909.590  r  NULL 0.8460000 1.3160000
OBS: 53915.580  r  NULL 1.3860000 1.3430000
OBS: 53920.550  r  NULL 2.1930000 1.4000000
OBS: 53935.490  r  NULL 0.0320000 1.8660000
OBS: 53550.580  z  NULL 6.1100000 2.8760000
OBS: 53558.590  z  NULL 7.5020000 4.6110000
OBS: 53565.530  z  NULL 33.3600000 4.5180000
OBS: 53579.550  z  NULL 40.3970000 5.1830000
OBS: 53587.420  z  NULL 40.5820000 3.9580000
OBS: 53593.390  z  NULL 35.1380000 2.6890000
OBS: 53609.450  z  NULL 35.2610000 3.9600000
