SURVEY: SNLS
SNID: 04D2mc
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 150.148125 deg
DECL: 1.784181 deg
MWEBV: 0.0177 MW E(B-V)
REDSHIFT_HELIO: 0.348 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.348 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53367.249
FILTERS: griz
SNR: [-9.0000e+00 -9.0000e+00  1.7690e+00  1.5329e+01  3.7345e+01  2.8118e+01
  1.8045e+01  8.9710e+00  4.8380e+00  2.5290e+00  4.5580e+00  1.2280e+00
  2.3140e+00 -9.0000e+00 -9.0000e+00 -9.0000e+00  9.7170e+00  1.9832e+01
  2.9928e+01  1.8762e+01  3.8618e+01  5.5858e+01  4.3959e+01  5.9608e+01
  3.4058e+01  1.3609e+01  1.5771e+01  8.6410e+00  8.3150e+00  7.2150e+00
  6.2140e+00  1.2420e+00  3.1190e+00  4.4330e+00  6.1720e+00  5.8970e+00
  7.3500e+00  4.5700e+00  1.6480e+00  1.0000e-03  2.7350e+00  2.7420e+00
  8.2460e+00  2.9050e+01  3.7921e+01  2.3228e+01  6.1805e+01  2.3114e+01
  1.6715e+01  4.7350e+00  7.7590e+00  4.8320e+00  5.2920e+00  3.3390e+00
  3.0190e+00  2.2860e+00  3.6430e+00  3.9630e+00  2.5020e+00  3.7530e+00
  1.8400e-01  1.5140e+00  7.3580e+00  9.3050e+00  2.2468e+01  3.2387e+01
  1.9701e+01  9.0730e+00  1.4550e+00  1.9390e+00  1.5240e+00  2.4310e+00]
Zpt: [27.052 27.052 27.052 27.052 27.052 27.052 27.052 27.052 27.052 27.052
 27.052 27.052 27.052 27.052 26.352 26.352 26.352 26.352 26.352 26.352
 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.352
 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.352 26.505
 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505
 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505 26.505
 26.505 26.505 25.333 25.333 25.333 25.333 25.333 25.333 25.333 25.333
 25.333 25.333]
SPECTRA: {}

NOBS: 72
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53330.640  g  NULL -3.7070000 1.2760000
OBS: 53331.610  g  NULL -1.4950000 2.5070000
OBS: 53349.650  g  NULL 1.6680000 0.9430000
OBS: 53352.600  g  NULL 14.1070000 0.9200000
OBS: 53355.640  g  NULL 35.4370000 0.9490000
OBS: 53375.650  g  NULL 47.0620000 1.6740000
OBS: 53385.520  g  NULL 17.6990000 0.9810000
OBS: 53390.540  g  NULL 9.2120000 1.0270000
OBS: 53408.490  g  NULL 4.6190000 0.9550000
OBS: 53415.520  g  NULL 3.2190000 1.2730000
OBS: 53446.330  g  NULL 5.0570000 1.1090000
OBS: 53463.310  g  NULL 1.0720000 0.8730000
OBS: 53469.340  g  NULL 1.4170000 0.6130000
OBS: 53474.380  g  NULL -0.5440000 0.8510000
OBS: 53329.590  i  NULL -2.8380000 2.2780000
OBS: 53330.580  i  NULL -6.4870000 2.0560000
OBS: 53349.580  i  NULL 16.0210000 1.6490000
OBS: 53352.540  i  NULL 37.8360000 1.9080000
OBS: 53355.590  i  NULL 62.2830000 2.0810000
OBS: 53357.620  i  NULL 79.7110000 4.2490000
OBS: 53358.520  i  NULL 83.0390000 2.1500000
OBS: 53374.610  i  NULL 134.4880000 2.4080000
OBS: 53378.460  i  NULL 125.7080000 2.8600000
OBS: 53385.550  i  NULL 91.5990000 1.5370000
OBS: 53390.430  i  NULL 74.4430000 2.1860000
OBS: 53408.440  i  NULL 29.1050000 2.1390000
OBS: 53411.480  i  NULL 22.3470000 1.4170000
OBS: 53416.450  i  NULL 21.6900000 2.5100000
OBS: 53418.390  i  NULL 18.5930000 2.2360000
OBS: 53440.410  i  NULL 14.6520000 2.0310000
OBS: 53446.250  i  NULL 14.8490000 2.3900000
OBS: 53448.270  i  NULL 24.4180000 19.6670000
