SURVEY: SNLS
SNID: 06D3cc
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.381668 deg
DECL: 52.912473 deg
MWEBV: 0.008 MW E(B-V)
REDSHIFT_HELIO: 0.683 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.683 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53760.708
FILTERS: griz
SNR: [ 5.4730e+00  5.8000e+00  7.8990e+00  4.2060e+00  7.5300e-01 -9.0000e+00
OBS: 53743.650  r  NULL 17.8990000 0.9620000
OBS: 53766.640  r  NULL 27.6520000 0.8910000
OBS: 53769.560  r  NULL 24.7140000 1.4650000
OBS: 53772.640  r  NULL 23.4670000 2.3970000
OBS: 53791.620  r  NULL 7.7670000 1.5510000
OBS: 53799.460  r  NULL 3.1510000 1.1820000
OBS: 53848.450  r  NULL 4.5820000 1.6300000
OBS: 53851.400  r  NULL 0.6870000 1.1320000
OBS: 53855.400  r  NULL -0.0260000 1.0820000
OBS: 53859.350  r  NULL 2.4870000 1.2410000
OBS: 53875.510  r  NULL 3.6520000 2.3370000
OBS: 53879.290  r  NULL 3.3920000 1.1730000
OBS: 53883.370  r  NULL 1.8370000 1.2520000
OBS: 53888.390  r  NULL 1.0080000 1.2760000
OBS: 53892.360  r  NULL 1.9830000 1.5480000
OBS: 53906.350  r  NULL 1.8630000 1.3910000
OBS: 53911.290  r  NULL -2.1410000 1.2500000
OBS: 53916.340  r  NULL 1.3000000 1.4380000
OBS: 53919.310  r  NULL 1.2920000 1.5820000
OBS: 53935.340  r  NULL -3.1550000 2.3520000
OBS: 53939.290  r  NULL 1.6680000 1.2930000
OBS: 53943.320  r  NULL 0.3200000 1.4120000
OBS: 53799.570  z  NULL 16.6610000 4.0200000
OBS: 53848.470  z  NULL 6.4490000 6.3060000
OBS: 53855.450  z  NULL 9.3610000 4.0970000
OBS: 53859.400  z  NULL 1.4670000 3.6270000
OBS: 53875.400  z  NULL 7.1530000 4.9160000
OBS: 53883.420  z  NULL 11.7200000 5.8780000
OBS: 53892.410  z  NULL 0.6220000 2.8840000
OBS: 53906.400  z  NULL -7.2260000 8.5220000
OBS: 53915.380  z  NULL -7.2130000 7.6880000
OBS: 53919.270  z  NULL 2.4070000 3.9570000
END_PHOTOMETRY:

# =============================================
