SURVEY: DES
SNID: 1317286
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 36.007900               # deg
DECL: -6.810610               # deg
MWEBV: 0.025                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57011.621
REDSHIFT_FINAL: 0.2790 +-  0.0100    # (CMB)
REDSHIFT_HELIO: 0.2800 +-  0.0100    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.0000 +-  2.0000 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: 0.49     1.24     1.45     2.31    # griz
PRIVATE(DES_mjd_latest_ml): 57052.042
PRIVATE(DES_mjd_trigger): 57005.072
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.772 30.793 31.036 30.722 29.84  29.7   30.225 30.763 30.993 30.665
 30.716 30.777 31.035 30.775 30.653 30.723 30.982 30.655 30.818 30.795
 31.019 30.721 30.551 30.637 31.004 30.707 30.757 30.762 31.011 30.708
 30.742 30.769 31.006 30.684 30.703 30.709 30.968 30.631 30.737 30.765
 31.001 30.706 30.776 30.763 30.994 30.711 30.708 30.766 31.007 30.709
 30.673 30.71  30.962 30.641]
PSF: [2.19  2.06  1.83  1.858 2.45  2.26  1.85  4.53  4.32  4.159 2.46  2.22
 2.08  2.053 2.61  2.37  2.16  2.409 3.35  2.77  2.94  2.705 4.27  3.96
 3.87  3.557 2.49  2.3   2.19  2.14  3.16  3.1   2.54  2.476 2.29  2.12
 1.96  1.854 2.46  2.22  1.96  1.84  3.25  2.45  2.25  2.24  3.3   2.96
 2.96  2.891 2.27  2.18  1.93  1.9  ]
SKYSIG: [ 8.14 11.71 22.1  21.8  20.17 28.1  34.87 17.12 26.34 24.2  20.95 20.59
 28.   24.93 25.09 23.22 29.08 23.45  7.75 11.12 22.49 23.51  7.67 10.61
 18.58 17.93  7.99 10.86 19.42 19.62 13.71 14.98 21.26 18.62 34.17 30.72
 35.14 25.81 14.58 14.99 26.58 26.24 10.66 11.28 20.17 19.82  8.96 12.59
 26.06 26.55 26.74 25.56 29.81 22.39]
GAIN: [4.15  3.99  4.04  4.105 4.36  4.13  4.12  4.02  4.    4.056 4.36  4.11
 4.12  4.079 4.33  4.07  4.09  4.094 4.11  3.94  4.04  4.084 4.15  3.95
 3.97  4.08  4.16  3.95  4.02  4.135 4.31  4.01  4.07  4.12  4.37  4.12
 4.09  4.11  4.3   4.02  4.04  4.1   4.25  3.97  4.04  4.125 4.16  4.
 4.    4.104 4.42  4.06  4.09  4.12 ]
PHOTFLAG: [    0     0     0     0     0     0 32768     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0]
PHOTPROB: [0.93 0.96 0.99 0.99 1.03 1.02 1.02 0.96 0.91 1.04 1.06 0.97 1.03 0.88
 1.01 1.   0.81 0.98 0.94 0.95 0.94 0.86 1.12 0.97 1.03 0.94 1.12 0.97
 0.89 0.89 1.06 1.11 0.89 0.94 1.06 0.99 1.01 0.94 1.04 0.98 0.88 0.87
 1.03 0.98 0.99 0.98 0.94 1.04 0.97 0.94 1.02 0.97 1.07 0.93]
SPECTRA: {}

NOBS: 54
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56987.071  g  NULL 2.7560000 4.0491000
OBS: 56987.073  r  NULL -8.2920000 4.5433000
OBS: 56987.075  i  NULL 6.4070000 5.8726000
OBS: 56987.077  z  NULL -26.3400000 7.8889000
OBS: 56990.071  g  NULL -9.2100000 28.1390000
OBS: 56990.074  r  NULL 4.6267000 28.4150000
OBS: 56990.080  z  NULL -31.3820000 19.2380000
OBS: 56991.125  r  NULL -18.4290000 14.3910000
OBS: 56991.127  i  NULL -5.2050000 18.1980000
OBS: 56991.130  z  NULL -39.0400000 21.4010000
OBS: 56992.061  g  NULL -5.4140000 11.3660000
OBS: 56992.064  r  NULL 9.4400000 8.9002000
OBS: 56992.066  i  NULL 3.4167000 8.0986000
OBS: 56992.068  z  NULL 19.9710000 9.6126000
OBS: 57001.226  g  NULL 124.5800000 17.1700000
OBS: 57001.228  r  NULL 138.6000000 10.9340000
OBS: 57001.230  i  NULL 138.9500000 9.6011000
OBS: 57001.232  z  NULL 106.1600000 11.2690000
OBS: 57005.072  g  NULL 233.9100000 6.8151000
OBS: 57005.074  r  NULL 252.0600000 6.8721000
OBS: 57005.076  i  NULL 206.4200000 10.1120000
OBS: 57005.079  z  NULL 176.5700000 12.8450000
OBS: 57012.054  g  NULL 336.2600000 10.1610000
OBS: 57012.056  r  NULL 357.8500000 10.8730000
OBS: 57012.058  i  NULL 306.8900000 12.7560000
OBS: 57012.061  z  NULL 200.4500000 12.5540000
OBS: 57014.056  g  NULL 340.7400000 6.1096000
OBS: 57014.058  r  NULL 374.9800000 6.6804000
OBS: 57014.060  i  NULL 323.4100000 7.5821000
OBS: 57014.062  z  NULL 211.4200000 8.5815000
OBS: 57019.084  g  NULL 292.2900000 10.0410000
OBS: 57019.087  r  NULL 338.8700000 10.0630000
OBS: 57019.089  i  NULL 345.8500000 8.8324000
OBS: 57019.091  z  NULL 182.7500000 9.1620000
OBS: 57026.091  g  NULL 202.3900000 21.6700000
OBS: 57026.094  r  NULL 314.6500000 13.8260000
OBS: 57026.096  i  NULL 266.3200000 10.9330000
OBS: 57026.098  z  NULL 143.0600000 10.0070000
OBS: 57033.040  g  NULL 113.2400000 7.9049000
OBS: 57033.042  r  NULL 223.0700000 7.1718000
OBS: 57033.044  i  NULL 202.7800000 8.1703000
OBS: 57033.047  z  NULL 117.7500000 9.6677000
OBS: 57040.043  g  NULL 65.7340000 7.5506000
OBS: 57040.049  r  NULL 159.3000000 6.1901000
OBS: 57040.052  i  NULL 173.5100000 7.1619000
OBS: 57040.054  z  NULL 109.0800000 9.3562000
OBS: 57045.046  g  NULL 37.0500000 6.5928000
OBS: 57045.048  r  NULL 130.1700000 7.2481000
OBS: 57045.050  i  NULL 151.3300000 9.9341000
OBS: 57045.053  z  NULL 130.9000000 14.4180000
OBS: 57052.035  g  NULL 55.1710000 13.8660000
OBS: 57052.037  r  NULL 77.4690000 11.2320000
OBS: 57052.039  i  NULL 141.5800000 8.6438000
OBS: 57052.042  z  NULL 110.7700000 9.0426000
END_PHOTOMETRY:

# =============================================
