# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0
5999389 3.70005e-10 -9.5846 2.3332 54174.50 0.00 1.44190e-04 1.1203 0.0886 54174.50
5999390 2.70105e-08 -1092.8447 -0.0319 54265.15 0.00 1.31190e-04 0.7707 0.0514 54265.15
5999393 6.70456e-09 -7.8170 1.3321 54383.78 0.00 1.66970e-04 1.3088 -0.0036 54383.78
5999394 3.21283e-08 -8.6338 0.5763 54612.64 0.00 2.44200e-04 -0.6215 -0.0111 54612.64
5999395 1.24165e-08 -20.6015 0.5468 54948.12 0.00 2.70500e-04 -1.1339 -0.1411 54948.12
5999397 4.04695e-08 -211.1382 0.4352 55277.16 0.00 1.31020e-04 0.0666 0.0629 55277.16
5999399 3.33288e-08 -582.3921 0.0493 53265.09 0.00 2.12130e-04 0.5131 -0.1936 53265.09
5999400 1.17921e-08 -12.2337 0.7267 53355.91 0.00 1.49280e-04 0.4813 0.0656 53355.91
5999401 3.26910e-11 1429.8432 0.8605 53362.52 0.00 1.14680e-04 -0.6891 0.0206 53362.52
5999402 5.18276e-09 -950.6358 -0.0539 53379.93 0.00 1.37880e-04 0.0031 -0.0081 53379.93
5999405 -5.19321e-20 15.6293 -0.6552 53412.27 0.00 3.39420e-04 0.0367 -0.0520 53412.27
5999406 1.21130e-07 0.1080 0.4974 53833.60 0.00 1.01760e-03 1.0076 -0.1814 53833.60
5999409 3.58211e-11 -157.1539 -0.4021 54051.01 0.00 1.93250e-04 0.3995 -0.0989 54051.01
5999411 3.32023e-08 -3.5998 0.7521 54174.50 0.00 3.73790e-04 0.5215 -0.1605 54174.50
5999413 1.51790e-07 2.0029 0.1236 54419.77 0.00 1.30980e-03 -0.3874 -0.0814 54419.77
5999419 2.09611e-08 -1141.4874 -0.0375 54265.15 0.00 1.21790e-04 -0.1584 0.0532 54265.15
5999423 1.49346e-08 -7.3071 0.8965 54383.78 0.00 1.17020e-04 0.1645 0.0171 54383.78
5999424 1.07442e-07 0.9320 0.6406 54612.64 0.00 1.15740e-03 0.9183 -0.2241 54612.64
5999425 1.80942e-12 -5.3531 5.5501 54948.12 0.00 8.18860e-05 -1.2024 0.1676 54948.12
5999427 3.23815e-08 -285.2202 0.3384 55277.16 0.00 1.26910e-04 -0.6170 -0.0271 55277.16
5999429 5.19070e-08 -1.7330 0.5954 53265.09 0.00 3.93920e-04 -0.1033 0.0972 53265.09
5999430 1.32287e-08 0.3326 1.0526 53355.91 0.00 1.87190e-04 0.3077 0.1276 53355.91
5999431 -7.41884e-12 -77.4435 2.5378 53362.52 0.00 8.26230e-05 0.1391 0.1411 53362.52
5999432 7.27332e-09 -89.8842 0.4530 53379.93 0.00 1.57980e-04 0.3063 -0.0039 53379.93
5999435 3.59362e-09 -4.7090 -0.5963 53412.27 0.00 1.46020e-04 0.1914 -0.0761 53412.27
5999436 7.98063e-09 2.2261 1.5268 53833.60 0.00 2.66620e-04 0.0737 0.0700 53833.60
