# Created by makemaps.py - Dillon Brout
DEFINE_FIELDGROUP: SHALLOW E1+E2+S1+S2+C1+C2+X1+X2
DEFINE_FIELDGROUP: DEEP C3+X3

MAPNAME: FLUXERR_SCALE_HSB
BAND: g    FIELD: DEEP
NVAR: 2
VARNAMES:  SBMAG ERRSCALE
ROW:        21.5000    3.0658
ROW:        22.5000    2.9721
ROW:        23.5000    1.6938
ROW:        24.5000    1.4629
ROW:        25.5000    1.2256
ROW:        26.5000    1.2195
ROW:        27.5000    1.2504
ROW:        28.5000    1.2407
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: r    FIELD: DEEP
NVAR: 2
VARNAMES:  SBMAG ERRSCALE
ROW:        21.5000    4.4123
ROW:        22.5000    2.9809
ROW:        23.5000    2.0959
ROW:        24.5000    1.5961
ROW:        25.5000    1.2786
ROW:        26.5000    1.2022
ROW:        27.5000    1.1882
ROW:        28.5000    1.1820
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: i    FIELD: DEEP
NVAR: 2
VARNAMES:  SBMAG  ERRSCALE
ROW:        20.5000    3.3943
ROW:        21.5000    3.6346
ROW:        22.5000    2.7625
ROW:        23.5000    1.8784
ROW:        24.5000    1.5250
ROW:        25.5000    1.2972
ROW:        26.5000    1.1426
ROW:        27.5000    1.1112
ROW:        28.5000    1.2453
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: z    FIELD: DEEP
NVAR: 2
VARNAMES:    SBMAG    ERRSCALE
ROW:        20.5000    4.3800
ROW:        21.5000    3.3821
ROW:        22.5000    2.0448
ROW:        23.5000    1.8518
ROW:        24.5000    1.4706
ROW:        25.5000    1.2531
ROW:        26.5000    1.1504
ROW:        27.5000    1.1516
ROW:        28.5000    1.1364
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: g    FIELD: SHALLOW
NVAR: 2
VARNAMES:    SBMAG    ERRSCALE
ROW:        21.5000    4.0241
ROW:        22.5000    2.0559
ROW:        23.5000    1.5298
ROW:        24.5000    1.4471
ROW:        25.5000    1.3221
ROW:        26.5000    1.2627
ROW:        27.5000    1.2458
ROW:        28.5000    1.2685
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: r    FIELD: SHALLOW
NVAR: 2
VARNAMES:    SBMAG    ERRSCALE
ROW:        20.5000    4.5799
ROW:        21.5000    3.0729
ROW:        22.5000    1.9929
ROW:        23.5000    1.7060
ROW:        24.5000    1.4619
ROW:        25.5000    1.2397
ROW:        26.5000    1.1704
ROW:        27.5000    1.1911
ROW:        28.5000    1.2457
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: i    FIELD: SHALLOW
NVAR: 2
VARNAMES:    SBMAG    ERRSCALE
ROW:        19.5000    5.1458
ROW:        20.5000    3.8699
ROW:        21.5000    2.8073
ROW:        22.5000    2.0421
ROW:        23.5000    1.5382
ROW:        24.5000    1.3752
ROW:        25.5000    1.1664
ROW:        26.5000    1.1055
ROW:        27.5000    1.0982
ROW:        28.5000    1.0757
ENDMAP:

MAPNAME: FLUXERR_SCALE_HSB
BAND: z    FIELD: SHALLOW
NVAR: 2
VARNAMES:    SBMAG    ERRSCALE
ROW:        19.5000    4.6794
ROW:        20.5000    3.3693
ROW:        21.5000    2.1313
ROW:        22.5000    1.7524
ROW:        23.5000    1.3889
ROW:        24.5000    1.2631
ROW:        25.5000    1.1665
ROW:        26.5000    1.0972
ROW:        27.5000    1.0849
ROW:        28.5000    1.0468
ENDMAP:

