# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0
5999389 1.31860e-04 -0.1124 0.0553 54174.36 0.14 1.44190e-04 1.1203 0.0886 54174.50
5999390 1.05696e-04 0.1132 0.1110 54265.03 0.12 1.31190e-04 0.7707 0.0514 54265.15
5999393 1.04415e-04 0.0781 0.2027 54384.12 -0.35 1.66970e-04 1.3088 -0.0036 54383.78
5999394 1.93384e-04 0.1125 0.0107 54612.56 0.07 2.44200e-04 -0.6215 -0.0111 54612.64
5999395 2.02445e-04 -0.0581 -0.0477 54948.24 -0.13 2.70500e-04 -1.1339 -0.1411 54948.12
5999397 1.38315e-04 -0.2011 -0.0978 55277.26 -0.09 1.31020e-04 0.0666 0.0629 55277.16
5999399 1.80459e-04 0.3406 -0.2135 53264.95 0.14 2.12130e-04 0.5131 -0.1936 53265.09
5999400 1.22972e-04 -0.1884 0.0967 53355.59 0.32 1.49280e-04 0.4813 0.0656 53355.91
5999401 1.02483e-04 -0.1061 -0.0693 53362.10 0.42 1.14680e-04 -0.6891 0.0206 53362.52
5999402 1.10325e-04 0.0720 0.0319 53379.88 0.05 1.37880e-04 0.0031 -0.0081 53379.93
5999405 2.80655e-04 -0.0820 0.0015 53412.23 0.04 3.39420e-04 0.0367 -0.0520 53412.27
5999406 8.80780e-04 0.0373 -0.1935 53834.13 -0.53 1.01760e-03 1.0076 -0.1814 53833.60
5999409 1.41448e-04 -0.0112 0.0138 54051.03 -0.01 1.93250e-04 0.3995 -0.0989 54051.01
5999411 2.12029e-04 0.0533 0.1459 54174.78 -0.28 3.73790e-04 0.5215 -0.1605 54174.50
5999413 9.84559e-04 0.0963 -0.0030 54419.56 0.21 1.30980e-03 -0.3874 -0.0814 54419.77
5999419 1.16273e-04 -0.0306 -0.0937 54264.99 0.16 1.21790e-04 -0.1584 0.0532 54265.15
5999423 9.35569e-05 -0.0451 0.0701 54383.60 0.17 1.17020e-04 0.1645 0.0171 54383.78
5999424 6.69825e-04 0.4439 0.1041 54612.40 0.24 1.15740e-03 0.9183 -0.2241 54612.64
5999425 1.41054e-04 -0.3994 -0.2061 54948.19 -0.07 8.18860e-05 -1.2024 0.1676 54948.12
5999427 1.20180e-04 -0.1190 -0.0594 55277.13 0.03 1.26910e-04 -0.6170 -0.0271 55277.16
5999429 3.08707e-04 -0.1271 0.1654 53264.74 0.35 3.93920e-04 -0.1033 0.0972 53265.09
5999430 1.44542e-04 -0.0550 0.2132 53356.47 -0.56 1.87190e-04 0.3077 0.1276 53355.91
5999431 8.68483e-05 0.1747 -0.0944 53362.35 0.17 8.26230e-05 0.1391 0.1411 53362.52
5999432 1.27816e-04 0.3280 -0.0042 53379.90 0.03 1.57980e-04 0.3063 -0.0039 53379.93
5999435 1.05331e-04 0.2748 0.0969 53412.21 0.06 1.46020e-04 0.1914 -0.0761 53412.27
5999436 2.15540e-04 0.0233 0.1055 53833.47 0.14 2.66620e-04 0.0737 0.0700 53833.60
