# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0
5999389 1.38951e-04 -0.0942 -0.0316 54174.50 0.01 1.44190e-04 1.1203 0.0886 54174.50
5999390 1.31199e-04 0.1415 -0.0638 54265.24 -0.09 1.31190e-04 0.7707 0.0514 54265.15
5999393 1.32824e-04 -0.1516 0.0143 54383.78 -0.00 1.66970e-04 1.3088 -0.0036 54383.78
5999394 2.01629e-04 -0.0247 -0.0741 54612.46 0.18 2.44200e-04 -0.6215 -0.0111 54612.64
5999395 2.32026e-04 0.0842 -0.0073 54948.14 -0.02 2.70500e-04 -1.1339 -0.1411 54948.12
5999397 1.38190e-04 0.0317 -0.0471 55277.25 -0.09 1.31020e-04 0.0666 0.0629 55277.16
5999399 1.75679e-04 0.0340 -0.0777 53264.97 0.12 2.12130e-04 0.5131 -0.1936 53265.09
5999400 1.30516e-04 -0.1996 0.0401 53355.71 0.20 1.49280e-04 0.4813 0.0656 53355.91
5999401 9.74609e-05 0.0132 -0.1313 53362.41 0.11 1.14680e-04 -0.6891 0.0206 53362.52
5999402 1.09988e-04 0.0714 -0.0729 53379.95 -0.02 1.37880e-04 0.0031 -0.0081 53379.93
5999405 2.47875e-04 0.1066 0.0541 53412.17 0.09 3.39420e-04 0.0367 -0.0520 53412.27
5999406 8.22885e-04 0.1780 -0.0756 53833.64 -0.04 1.01760e-03 1.0076 -0.1814 53833.60
5999409 1.25388e-04 -0.0220 0.0015 54051.11 -0.10 1.93250e-04 0.3995 -0.0989 54051.01
5999411 2.30013e-04 -0.0482 0.0305 54174.54 -0.04 3.73790e-04 0.5215 -0.1605 54174.50
5999413 9.49131e-04 0.0421 0.0447 54419.75 0.02 1.30980e-03 -0.3874 -0.0814 54419.77
5999419 1.30502e-04 -0.1403 0.0560 54265.31 -0.16 1.21790e-04 -0.1584 0.0532 54265.15
5999423 8.41602e-05 -0.0831 0.0656 54383.54 0.24 1.17020e-04 0.1645 0.0171 54383.78
5999424 6.25906e-04 -0.2169 0.1519 54612.49 0.15 1.15740e-03 0.9183 -0.2241 54612.64
5999425 1.56344e-04 0.0066 -0.1455 54948.12 -0.00 8.18860e-05 -1.2024 0.1676 54948.12
5999427 1.22087e-04 0.0777 0.0562 55277.16 0.01 1.26910e-04 -0.6170 -0.0271 55277.16
5999429 2.97779e-04 0.1628 0.1441 53265.03 0.06 3.93920e-04 -0.1033 0.0972 53265.09
5999430 1.68550e-04 0.0344 0.0667 53355.73 0.19 1.87190e-04 0.3077 0.1276 53355.91
5999431 9.34941e-05 -0.0782 0.0933 53362.53 -0.01 8.26230e-05 0.1391 0.1411 53362.52
5999432 1.37367e-04 0.0571 -0.0525 53379.92 0.01 1.57980e-04 0.3063 -0.0039 53379.93
5999435 9.47785e-05 -0.1097 0.0601 53412.28 -0.01 1.46020e-04 0.1914 -0.0761 53412.27
5999436 2.40426e-04 0.1113 -0.0970 53833.68 -0.08 2.66620e-04 0.0737 0.0700 53833.60
