# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0
5999389 1.3516106953e-04 -0.1890102814 0.0287211020 54174.4890764047 0.0149235953 1.4419000000e-04 1.1203000000 0.0886000000 54174.50
5999390 1.1294499621e-04 -1.3738440267 0.0698880506 54264.9550212489 0.1929787511 1.3119000000e-04 0.7707000000 0.0514000000 54265.15
5999393 1.2032541694e-04 -1.0484706577 -0.1795463837 54384.1376132975 -0.3606132975 1.6697000000e-04 1.3088000000 -0.0036000000 54383.78
5999394 1.9212247407e-04 -2.8526881591 -0.2179541323 54612.6117892232 0.0252107768 2.4420000000e-04 -0.6215000000 -0.0111000000 54612.64
5999395 1.9837858149e-04 0.3021823245 -0.3004273334 54948.3521448323 -0.2351448323 2.7050000000e-04 -1.1339000000 -0.1411000000 54948.12
5999397 8.0637017954e-05 1.8684121268 0.3133545925 55277.1951590211 -0.0311590211 1.3102000000e-04 0.0666000000 0.0629000000 55277.16
5999399 1.7106037348e-04 -0.4351927284 -0.3608725528 53265.0022537738 0.0917462262 2.1213000000e-04 0.5131000000 -0.1936000000 53265.09
5999400 1.2757283691e-04 -0.3845770604 0.0873256349 53355.6914338796 0.2225661204 1.4928000000e-04 0.4813000000 0.0656000000 53355.91
5999401 1.1333418924e-04 0.0723754493 -0.2737166698 53362.1595888303 0.3604111697 1.1468000000e-04 -0.6891000000 0.0206000000 53362.52
5999402 1.0455843626e-04 -0.0980230408 -0.1165898039 53379.4127106899 0.5172893101 1.3788000000e-04 0.0031000000 -0.0081000000 53379.93
5999405 2.2916732151e-04 0.4220933336 0.8253054668 53412.0611269025 0.2048730976 3.3942000000e-04 0.0367000000 -0.0520000000 53412.27
5999406 7.8601027706e-04 0.3734188052 -0.4030169188 53833.2030196368 0.3989803632 1.0176000000e-03 1.0076000000 -0.1814000000 53833.60
5999409 1.1604947973e-04 0.1695232732 -0.2596815880 54050.8819420320 0.1300579680 1.9325000000e-04 0.3995000000 -0.0989000000 54051.01
5999411 1.8307536862e-04 -0.1017497425 -0.4665360668 54174.7922740202 -0.2882740202 3.7379000000e-04 0.5215000000 -0.1605000000 54174.50
5999413 9.0992372646e-04 -0.0928171008 0.0003483351 54419.8602625100 -0.0872625100 1.3098000000e-03 -0.3874000000 -0.0814000000 54419.77
5999419 8.7459670130e-05 1.5145822261 -0.2160737418 54265.0832281614 0.0647718386 1.2179000000e-04 -0.1584000000 0.0532000000 54265.15
5999423 9.2028974958e-05 -0.3695015053 0.1670941752 54382.9690304880 0.8079695120 1.1702000000e-04 0.1645000000 0.0171000000 54383.78
5999424 6.4165242572e-04 -0.5295173255 -0.6119966743 54612.5944029719 0.0425970281 1.1574000000e-03 0.9183000000 -0.2241000000 54612.64
5999425 1.1506945244e-04 2.5880380132 0.4221397651 54948.0509559103 0.0660440897 8.1886000000e-05 -1.2024000000 0.1676000000 54948.12
5999427 7.8876422419e-05 -0.6242838749 0.0469039835 55277.3673062897 -0.2033062897 1.2691000000e-04 -0.6170000000 -0.0271000000 55277.16
5999429 2.9007540628e-04 -0.2435115325 -0.0910197668 53265.4130895487 -0.3190895487 3.9392000000e-04 -0.1033000000 0.0972000000 53265.09
5999430 1.5573761349e-04 -0.1324548713 -0.1630802816 53355.8648919837 0.0491080163 1.8719000000e-04 0.3077000000 0.1276000000 53355.91
5999431 7.5031477764e-05 0.0284207290 -0.0423054254 53362.3500146762 0.1699853238 8.2623000000e-05 0.1391000000 0.1411000000 53362.52
5999432 1.3624845996e-04 -0.3354544747 -0.1632923265 53380.5187830421 -0.5887830421 1.5798000000e-04 0.3063000000 -0.0039000000 53379.93
5999435 1.0449622368e-04 -2.2101814976 -0.2244067212 53411.9651095857 0.3008904143 1.4602000000e-04 0.1914000000 -0.0761000000 53412.27
5999436 2.3520660867e-04 -0.1181000397 -0.3449872948 53833.2895858353 0.3124141647 2.6662000000e-04 0.0737000000 0.0700000000 53833.60
