Parameter Name                 Value
m0                             9.726772728970924e-02
m0                             7.755901008850423e-02
m0                             6.687960369031995e-02
m0                             7.129058668622572e-02
m0                             9.663991767098844e-02
m0                             8.649887844386092e-02
m0                             9.572751189084447e-02
m0                             5.892210189552217e-02
m0                             9.001487743076761e-02
m0                             5.070731095616025e-02
m0                             8.145996026467418e-02
m0                             5.986282479541952e-02
m0                             7.085136938849729e-02
m0                             6.294965129679811e-02
m0                             5.379066468180931e-02
m0                             5.786366384027376e-02
m0                             6.551391718486506e-02
m0                             4.261241407098623e-02
m0                             2.723839685012656e-02
m0                             2.681744382303229e-02
m0                             6.486436253367044e-02
m0                             6.194342094579944e-02
m0                             6.005539035893475e-02
m0                             5.359401182367860e-02
m0                             5.264612088623478e-02
m0                             5.254344499659337e-02
m0                             4.745834586941649e-02
m0                             4.973182321477439e-02
m0                             4.638124862545390e-02
m0                             4.847878564611807e-02
m0                             5.309345406693534e-02
m0                             4.798723792145110e-02
m0                             4.219624353269660e-02
m0                             4.566469744844168e-02
m0                             4.300253957619014e-02
m0                             4.262435537041365e-02
m0                             4.518361084629748e-02
m0                             4.272727864215928e-02
m0                             4.041507266344682e-02
m0                             4.202682016916139e-02
m0                             4.113319270341477e-02
m0                             4.252201231123982e-02
m0                             3.509554004663348e-02
m0                             3.596777547288597e-02
m0                             1.897044063418543e-02
m0                             1.497108086681224e-02
m0                             1.374777100876776e-02
m0                             2.383962805705154e-02
m0                             2.153488096371192e-02
m0                             2.246885007267395e-02
m0                             2.806245629798651e-02
m0                             2.949648292589820e-02
m0                             2.658348530660230e-02
m0                             1.991352704203514e-02
m0                             2.438143705341211e-02
m0                             2.725986469305201e-02
m0                             2.666972905584384e-02
m0                             2.528311598725301e-02
m0                             2.087273691975971e-02
m0                             3.382069682054718e-02
m0                             -2.606354903570684e-04
m0                             -3.583129130036181e-02
m0                             3.106962337126309e-02
m0                             4.996297855146865e-02
m0                             4.959091537542623e-02
m0                             5.007647981262672e-02
m0                             4.790101835061684e-02
m0                             5.038194162657628e-02
m0                             4.012915833887902e-02
m0                             6.707223029316514e-02
m0                             1.086983464030490e-02
m0                             1.438338299211913e-01
m0                             9.923684578281908e-02
m0                             2.240068353259154e-01
m0                             2.137534103990227e-01
m0                             2.325434326133970e-01
m0                             1.970791632625218e-01
m0                             3.489486000971371e-01
m0                             1.990025781161132e-01
m0                             2.131026374148352e-01
m0                             2.340509633495555e-01
m0                             3.734230703802365e-01
m0                             4.599608899552793e-01
m0                             5.469578426594898e-01
m0                             2.666730324281273e-01
m0                             9.763827691880075e-02
m0                             2.677974386966475e-01
m0                             2.976277187803525e-01
m0                             5.746003204490803e-01
m0                             4.259756375896483e-01
m0                             5.099972555101124e-01
m0                             4.864137924084127e-01
m0                             3.987887691282793e-01
m0                             2.414477147118716e-01
m0                             2.971498783815218e-01
m0                             3.035216011844264e-01
m0                             3.278544096831525e-01
m0                             3.654874966939513e-01
m0                             3.218645872336635e-01
m0                             2.584263637221367e-01
m0                             2.531506674802645e-01
m0                             2.355241539395272e-01
m0                             1.833401754740440e-01
m0                             1.975908656709035e-01
m0                             2.023731067823158e-01
m0                             2.404087873404514e-01
m0                             2.499018002557004e-01
m0                             1.983948647421155e-01
m0                             1.669987670680602e-01
m0                             1.961238139897389e-01
m0                             1.365289543255514e-01
m0                             2.032327924778163e-01
m0                             1.790020800768081e-01
m0                             1.947020062872708e-01
m0                             1.757908387485800e-01
m0                             1.720312232764526e-01
m0                             1.743686851777960e-01
m0                             1.769381263696253e-01
m0                             1.592316569691385e-01
m0                             1.064678398953689e-01
m0                             8.316545508995518e-02
m0                             1.245176727825612e-01
m0                             1.490243118774967e-01
m0                             1.483937823023071e-01
m0                             1.417966618339886e-01
m0                             1.219020341421095e-01
m0                             1.311773899298073e-01
m0                             1.151901666717529e-01
m0                             1.104692288352005e-01
m0                             1.071088546489769e-01
m0                             9.596189253595372e-02
m0                             8.984116496010107e-02
m0                             8.939484091506943e-02
m0                             8.863257009822852e-02
m0                             8.458492822600593e-02
m0                             7.900527512114375e-02
m0                             7.608403177741369e-02
m0                             7.357715860479809e-02
m0                             7.155157971139575e-02
m0                             6.490270056471877e-02
m0                             5.836185103870193e-02
m0                             5.650189512723516e-02
m0                             6.173309883189063e-02
m0                             6.628345791222741e-02
m0                             6.783402736402037e-02
m0                             5.150638700767324e-02
m0                             5.004676405541891e-02
m0                             4.795893243485908e-02
m0                             4.802774227717101e-02
m0                             4.649580730534034e-02
m0                             4.239078181380344e-02
m0                             4.183931416835245e-02
m0                             4.872839147069703e-02
m0                             5.559858245500526e-02
m0                             5.080401588905592e-02
m0                             4.512037647503384e-02
m0                             4.786481377759191e-02
m0                             4.777396445553845e-02
m0                             4.807935222559308e-02
m0                             3.459552806946720e-02
m0                             4.940549984898911e-02
m0                             8.638807849677552e-02
m0                             3.347522081080428e-02
m0                             4.340164832775720e-04
m0                             1.163113893834954e-03
m0                             -9.652157458773939e-04
m0                             2.384720683513274e-03
m0                             -3.548971495630390e-03
m0                             1.709375044590839e-02
m0                             -1.720442249866523e-02
m0                             4.508412678846699e-02
m0                             1.031093583604733e-03
m0                             5.131188957382517e-02
m0                             1.879911135919096e-02
m0                             1.735590048613421e-01
m0                             1.598583474654368e-01
m0                             9.817641332382107e-02
m0                             2.832556658570246e-01
m0                             2.171024381889680e-01
m0                             1.605731464963606e-01
m0                             3.322715450238986e-01
m0                             2.108676262219763e-01
m0                             3.613019336582686e-01
m0                             3.761654209518781e-01
m0                             5.586443497468594e-01
m0                             2.546940692368883e-01
m0                             1.991919667698914e-01
m0                             2.273412905998222e-01
m0                             5.249372786462845e-01
m0                             4.489528961162100e-01
m0                             4.779240922343841e-01
m0                             5.598113988601078e-01
m0                             4.629468388804236e-01
m0                             3.373042100838817e-01
m0                             2.205015775950342e-01
m0                             3.657170841656391e-01
m0                             3.340697327311703e-01
m0                             4.122521031297219e-01
m0                             3.956352928241805e-01
m0                             3.154548118894736e-01
m0                             2.576870661477950e-01
m0                             2.501708306160786e-01
m0                             1.708179875189039e-01
m0                             1.958821958283287e-01
m0                             1.994793150434962e-01
m0                             2.843062210235635e-01
m0                             2.817913191139608e-01
m0                             2.763559255001368e-01
m0                             1.188264383316896e-01
m0                             2.416153687219087e-01
m0                             1.476085447541322e-01
m0                             1.726981944713421e-01
m0                             2.382226656533913e-01
m0                             2.274205429132393e-01
m0                             2.293924919054904e-01
m0                             1.655041446575753e-01
m0                             2.131397783552794e-01
m0                             1.861330300837279e-01
m0                             2.241882823306338e-01
m0                             1.329197928969706e-01
m0                             9.558528405185581e-03
m0                             1.114484280502596e-01
m0                             1.661484874121630e-01
m0                             1.796968856004824e-01
m0                             1.597006930724112e-01
m0                             1.365016211287343e-01
m0                             1.213746544874781e-01
m0                             1.227736688115388e-01
m0                             1.049791312758027e-01
m0                             9.760848489809444e-02
m0                             9.453891535606053e-02
m0                             8.149101447827131e-02
m0                             8.248962128872112e-02
m0                             7.926303720552504e-02
m0                             8.142935642162520e-02
m0                             8.007899777828047e-02
m0                             6.928588573722894e-02
m0                             6.921607032097127e-02
m0                             6.533876824996965e-02
m0                             5.823285769741842e-02
m0                             2.678257625356950e-02
m0                             3.858718122797337e-02
m0                             6.997344663833313e-02
m0                             7.072268158639856e-02
m0                             7.219277156894169e-02
m0                             7.960461972019302e-02
m0                             6.367083848662176e-02
m0                             4.268870900866831e-02
m0                             3.979783510045484e-02
m0                             3.813504188378165e-02
m0                             3.524742362293715e-02
m0                             4.632808249214183e-02
m0                             6.490170855302536e-02
m0                             7.825722035806706e-02
m0                             5.142904068676683e-02
m0                             3.504987374871978e-02
m0                             4.627229492853756e-02
m0                             6.646882912337232e-02
m0                             6.245420720866104e-02
m0                             5.530777284482850e-02
m0                             2.956209020127313e-02
m0                             4.969942409457639e-02
m0                             4.645501136627309e-02
m0                             4.031955971819967e-02
m0                             4.029186202529143e-02
m0                             4.057626810818029e-02
m0                             4.063082173777013e-02
m0                             4.089774274479243e-02
m0                             3.797120505807093e-02
m0                             3.711375667448385e-02
m0                             2.307426059520364e-02
m0                             4.557434952081837e-02
m0                             4.162690635263616e-02
m0                             9.296850294672281e-02
m0                             1.966017054409499e-01
m0                             1.694266108862796e-01
m0                             1.798354532169855e-01
m0                             1.327920809777066e-01
m0                             2.699399964943097e-01
m0                             9.969314966037790e-02
m0                             1.888781678131895e-01
m0                             2.490162208290131e-01
m0                             2.939394325078846e-01
m0                             3.057990065344929e-01
m0                             4.594197064290381e-01
m0                             2.416901996667923e-01
m0                             2.003451184874732e-01
m0                             1.872129646881208e-01
m0                             5.948653486707676e-01
m0                             4.642274007348892e-01
m0                             4.484908392769575e-01
m0                             5.509471539354545e-01
m0                             4.308554217966958e-01
m0                             3.820482518756915e-01
m0                             2.360439197117397e-01
m0                             3.290105495883672e-01
m0                             3.255137022481716e-01
m0                             4.248930433091852e-01
m0                             3.639066902792742e-01
m0                             3.251071967247621e-01
m0                             2.454383174115581e-01
m0                             2.555313095220419e-01
m0                             2.141199563700936e-01
m0                             2.457357991534222e-01
m0                             1.998379576679205e-01
m0                             2.695906061030798e-01
m0                             3.083605500176424e-01
m0                             2.566310232028073e-01
m0                             1.787852146843136e-01
m0                             2.133627713208119e-01
m0                             1.753492468326260e-01
m0                             1.759335590919379e-01
m0                             2.539509704906523e-01
m0                             2.196774015214207e-01
m0                             2.040393786594767e-01
m0                             2.105598241990656e-01
m0                             2.139219859132993e-01
m0                             2.085093844648247e-01
m0                             2.041874254688951e-01
m0                             1.147067713308479e-01
m0                             9.617938159056373e-02
m0                             1.421233546738349e-01
m0                             1.821619332339599e-01
m0                             1.618063815141631e-01
m0                             1.690678767340920e-01
m0                             1.328543717729577e-01
m0                             1.565870133257705e-01
m0                             1.136130355309786e-01
m0                             1.054691239016616e-01
m0                             1.054489772882304e-01
m0                             9.397055367011745e-02
m0                             9.432206162708706e-02
m0                             7.902441436885038e-02
m0                             7.905315012379045e-02
m0                             7.371870057933014e-02
m0                             7.065545880134409e-02
m0                             6.702759821214811e-02
m0                             5.623119219940056e-02
m0                             4.694905352003530e-02
m0                             4.795039280307844e-02
m0                             4.410917254855704e-02
m0                             4.344890862195425e-02
m0                             5.076835021262537e-02
m0                             4.974756316642107e-02
m0                             5.314761169981874e-02
m0                             5.202750834224289e-02
m0                             5.009238396170614e-02
m0                             4.688455846882238e-02
m0                             4.897618508925750e-02
m0                             4.844852769008888e-02
m0                             4.055256799197986e-02
m0                             3.476883934178237e-02
m0                             3.758384112395154e-02
m0                             4.039637699846425e-02
m0                             5.720916946948080e-02
m0                             6.412268621357772e-02
m0                             6.155004542023006e-02
m0                             5.076452198002215e-02
m0                             5.583051476999391e-02
m0                             5.239919549464572e-02
m0                             7.440622965733565e-02
m0                             7.427657449540935e-02
m0                             7.905640590006535e-02
m0                             -2.039117418163800e-02
m0                             -2.063725965904240e-02
m0                             -2.007255115719940e-02
m0                             -2.136059555870045e-02
m0                             -1.921124509201781e-02
m0                             -2.173852992507023e-02
m0                             -1.296478772064827e-02
m0                             -1.928112093820181e-02
m0                             2.548259894190037e-02
m0                             5.101695476160180e-02
m0                             1.842326365791633e-02
m0                             9.816064656741386e-02
m0                             9.781259611841304e-02
m0                             -7.874873335197727e-02
m0                             2.102671879083084e-01
m0                             3.882725304923831e-02
m0                             1.057359089228348e-01
m0                             1.918639501225705e-01
m0                             3.416320265459433e-02
m0                             1.375291594565921e-01
m0                             3.840621670229876e-01
m0                             4.043076952545386e-01
m0                             1.730511718581821e-01
m0                             1.590829386384960e-01
m0                             1.527501462704163e-01
m0                             5.355203718297310e-01
m0                             3.489880511067346e-01
m0                             3.972654069295394e-01
m0                             4.305339284807462e-01
m0                             3.885099689634496e-01
m0                             3.343529478519512e-01
m0                             2.054041338351993e-01
m0                             2.455606184081078e-01
m0                             3.168403369534576e-01
m0                             3.782820059390645e-01
m0                             3.505220249292416e-01
m0                             2.866484364448459e-01
m0                             2.201229371450119e-01
m0                             2.042920778480084e-01
m0                             1.813765230038995e-01
m0                             2.230370055687143e-01
m0                             1.708883153371767e-01
m0                             2.344359955639042e-01
m0                             2.649051696386319e-01
m0                             2.763602621741409e-01
m0                             1.691231240328581e-01
m0                             2.166452387058666e-01
m0                             1.858251760938469e-01
m0                             1.661412528435065e-01
m0                             2.477885406757058e-01
m0                             2.274664932516088e-01
m0                             2.092829401717375e-01
m0                             1.676951572252588e-01
m0                             2.183748049309656e-01
m0                             1.956103407344828e-01
m0                             1.937011373703721e-01
m0                             1.213181557198534e-01
m0                             7.489576633386434e-02
m0                             1.097449547957474e-01
m0                             1.689470706319968e-01
m0                             1.624755947457699e-01
m0                             1.664286903769875e-01
m0                             1.391791662279113e-01
m0                             1.441882485484695e-01
m0                             1.205952606221831e-01
m0                             1.052263715030216e-01
m0                             1.020384822381786e-01
m0                             9.461638067617298e-02
m0                             8.008893743437372e-02
m0                             8.178351651908948e-02
m0                             7.249005922888604e-02
m0                             6.913951767552960e-02
m0                             6.903363293704712e-02
m0                             7.484093322741278e-02
m0                             5.959178527744911e-02
m0                             5.017371044783436e-02
m0                             4.549015496281102e-02
m0                             5.074470708272163e-02
m0                             5.219662180402526e-02
m0                             4.930202163633504e-02
m0                             5.032330998952333e-02
m0                             5.131893003130433e-02
m0                             6.548228390372375e-02
m0                             5.228579057048659e-02
m0                             3.820879262066777e-02
m0                             3.702255951484087e-02
m0                             3.496828718174440e-02
m0                             2.923888268932455e-02
m0                             2.735452462247080e-02
m0                             3.182068185846106e-02
m0                             4.061856594580530e-02
m0                             4.938936725457222e-02
m0                             5.629989076671401e-02
m0                             4.819157038272583e-02
m0                             5.459844033966847e-02
m0                             3.574109440234523e-02
m0                             4.486319232461487e-02
m0                             -2.001512735289927e-03
m0                             1.975304501040552e-02
m0                             3.388592289049908e-02
m0                             2.975920408038483e-02
m0                             2.964206789601915e-02
m0                             3.006841210606991e-02
m0                             2.960150486697987e-02
m0                             3.093806560479119e-02
m0                             2.865187945861792e-02
m0                             2.729468051868874e-02
m0                             3.120988801794809e-02
m0                             5.716760939746661e-03
m0                             -7.091066644948761e-02
m0                             1.137190813223241e-01
