SURVEY: DES
SNID: 1317286
IAUC:       NULL                
FILTERS: griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            36.007900               # deg
DEC:          -6.810610               # deg
MWEBV: 0.025 # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57011.621
REDSHIFT_HELIO: 0.28000 +- 0.01000
REDSHIFT_CMB: 0.27920 +- 0.00997
VPEC: 65.925
VPEC_ERR: 250.000
  
HOSTGAL_OBJID:         -888
HOSTGAL_PHOTOZ:   -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ:    -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:    -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.000 +- 2.000
HOSTGAL_MAG:           888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL:      0.49     1.24     1.45     2.31    # griz
  
# Private variables
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
#==============================
NOBS:  54
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 56987.071 DES-g X2 2.7560 4.0491 30.772 2.190 8.14 4.150 0 0.930
OBS: 56987.073 DES-r X2 -8.2920 4.5433 30.793 2.060 11.71 3.990 0 0.960
OBS: 56987.075 DES-i X2 6.4070 5.8726 31.036 1.830 22.10 4.040 0 0.990
OBS: 56987.077 DES-z X2 -26.340 7.8889 30.722 1.858 21.80 4.105 0 0.990
OBS: 56990.071 DES-g X2 -9.2100 28.139 29.840 2.450 20.17 4.360 0 1.030
OBS: 56990.074 DES-r X2 4.6267 28.415 29.700 2.260 28.10 4.130 0 1.020
OBS: 56990.080 DES-z X2 -31.382 19.238 30.225 1.850 34.87 4.120 32768 1.020
OBS: 56991.125 DES-r X2 -18.429 14.391 30.763 4.530 17.12 4.020 0 0.960
OBS: 56991.127 DES-i X2 -5.2050 18.198 30.993 4.320 26.34 4.000 0 0.910
OBS: 56991.130 DES-z X2 -39.040 21.401 30.665 4.159 24.20 4.056 0 1.040
OBS: 56992.061 DES-g X2 -5.4140 11.366 30.716 2.460 20.95 4.360 0 1.060
OBS: 56992.064 DES-r X2 9.4400 8.9002 30.777 2.220 20.59 4.110 0 0.970
OBS: 56992.066 DES-i X2 3.4167 8.0986 31.035 2.080 28.00 4.120 0 1.030
OBS: 56992.068 DES-z X2 19.971 9.6126 30.775 2.053 24.93 4.079 0 0.880
OBS: 57001.226 DES-g X2 124.58 17.170 30.653 2.610 25.09 4.330 0 1.010
OBS: 57001.228 DES-r X2 138.60 10.934 30.723 2.370 23.22 4.070 0 1.000
OBS: 57001.230 DES-i X2 138.95 9.6011 30.982 2.160 29.08 4.090 0 0.810
OBS: 57001.232 DES-z X2 106.16 11.269 30.655 2.409 23.45 4.094 0 0.980
OBS: 57005.072 DES-g X2 233.91 6.8151 30.818 3.350 7.75 4.110 0 0.940
OBS: 57005.074 DES-r X2 252.06 6.8721 30.795 2.770 11.12 3.940 0 0.950
OBS: 57005.076 DES-i X2 206.42 10.112 31.019 2.940 22.49 4.040 0 0.940
OBS: 57005.079 DES-z X2 176.57 12.845 30.721 2.705 23.51 4.084 0 0.860
OBS: 57012.054 DES-g X2 336.26 10.161 30.551 4.270 7.67 4.150 0 1.120
OBS: 57012.056 DES-r X2 357.85 10.873 30.637 3.960 10.61 3.950 0 0.970
OBS: 57012.058 DES-i X2 306.89 12.756 31.004 3.870 18.58 3.970 0 1.030
OBS: 57012.061 DES-z X2 200.45 12.554 30.707 3.557 17.93 4.080 0 0.940
OBS: 57014.056 DES-g X2 340.74 6.1096 30.757 2.490 7.99 4.160 0 1.120
OBS: 57014.058 DES-r X2 374.98 6.6804 30.762 2.300 10.86 3.950 0 0.970
OBS: 57014.060 DES-i X2 323.41 7.5821 31.011 2.190 19.42 4.020 0 0.890
OBS: 57014.062 DES-z X2 211.42 8.5815 30.708 2.140 19.62 4.135 0 0.890
OBS: 57019.084 DES-g X2 292.29 10.041 30.742 3.160 13.71 4.310 0 1.060
OBS: 57019.087 DES-r X2 338.87 10.063 30.769 3.100 14.98 4.010 0 1.110
OBS: 57019.089 DES-i X2 345.85 8.8324 31.006 2.540 21.26 4.070 0 0.890
OBS: 57019.091 DES-z X2 182.75 9.1620 30.684 2.476 18.62 4.120 0 0.940
OBS: 57026.091 DES-g X2 202.39 21.670 30.703 2.290 34.17 4.370 0 1.060
OBS: 57026.094 DES-r X2 314.65 13.826 30.709 2.120 30.72 4.120 0 0.990
OBS: 57026.096 DES-i X2 266.32 10.933 30.968 1.960 35.14 4.090 0 1.010
OBS: 57026.098 DES-z X2 143.06 10.007 30.631 1.854 25.81 4.110 0 0.940
OBS: 57033.040 DES-g X2 113.24 7.9049 30.737 2.460 14.58 4.300 0 1.040
OBS: 57033.042 DES-r X2 223.07 7.1718 30.765 2.220 14.99 4.020 0 0.980
OBS: 57033.044 DES-i X2 202.78 8.1703 31.001 1.960 26.58 4.040 0 0.880
OBS: 57033.047 DES-z X2 117.75 9.6677 30.706 1.840 26.24 4.100 0 0.870
OBS: 57040.043 DES-g X2 65.734 7.5506 30.776 3.250 10.66 4.250 0 1.030
OBS: 57040.049 DES-r X2 159.30 6.1901 30.763 2.450 11.28 3.970 0 0.980
OBS: 57040.052 DES-i X2 173.51 7.1619 30.994 2.250 20.17 4.040 0 0.990
OBS: 57040.054 DES-z X2 109.08 9.3562 30.711 2.240 19.82 4.125 0 0.980
OBS: 57045.046 DES-g X2 37.050 6.5928 30.708 3.300 8.96 4.160 0 0.940
OBS: 57045.048 DES-r X2 130.17 7.2481 30.766 2.960 12.59 4.000 0 1.040
OBS: 57045.050 DES-i X2 151.33 9.9341 31.007 2.960 26.06 4.000 0 0.970
OBS: 57045.053 DES-z X2 130.90 14.418 30.709 2.891 26.55 4.104 0 0.940
OBS: 57052.035 DES-g X2 55.171 13.866 30.673 2.270 26.74 4.420 0 1.020
OBS: 57052.037 DES-r X2 77.469 11.232 30.710 2.180 25.56 4.060 0 0.970
OBS: 57052.039 DES-i X2 141.58 8.6438 30.962 1.930 29.81 4.090 0 1.070
OBS: 57052.042 DES-z X2 110.77 9.0426 30.641 1.900 22.39 4.120 0 0.930
END: 
