SURVEY:     DES                                     
SNID:       1343401             
IAUC:       NULL                
FILTERS:    griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            34.572121               # deg
DECL:          -5.654875               # deg
MWEBV:        0.021                    # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57393.004
REDSHIFT_FINAL:   0.3829 +-  0.0050    # (CMB)
REDSHIFT_HELIO:   0.3840 +-  0.0050    # (HELIO)
  
HOSTGAL_OBJID:        44626
HOSTGAL_PHOTOZ:    0.3934 +-  0.0425   # (HELIO)
HOSTGAL_SPECZ:     0.3840 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.9700              # arcSec
HOSTGAL_LOGMASS:    10.7400 +-  0.0730 # log10(M/Msolar)
HOSTGAL_MAG:            22.54    20.87    20.23    19.92    # griz
HOSTGAL_SB_FLUXCAL:     19.57   100.63   168.74   227.42    # griz
  
# Private variables
PRIVATE(DES_mjd_latest_ml):         57427.057
PRIVATE(DES_mjd_trigger):           57379.061
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  24
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 57372.046  g  X1    1.0355      5.3275    30.690 2.290  10.13 3.520      0 1.170 
OBS: 57372.048  r  X1    12.355      8.2013    30.715 2.150  12.00 3.440      0 1.190 
OBS: 57372.051  i  X1    13.776      16.135    30.957 2.270  20.00 3.600      0 0.930 
OBS: 57372.053  z  X1    19.097      13.909    30.644 2.071  18.66 3.739      0 0.990 
OBS: 57379.058  g  X1    15.976      27.866    30.769 2.310  38.65 3.670      0 0.990 
OBS: 57379.061  r  X1    95.650      28.001    30.742 2.140  37.39 3.620      0 1.010 
OBS: 57379.063  i  X1    60.808      23.951    30.988 2.070  44.14 3.730      0 0.840 
OBS: 57379.066  z  X1    65.226      21.810    30.656 1.791  32.03 3.765      0 1.050 
OBS: 57388.042  g  X1    132.25      6.8396    30.574 2.040  11.43 3.580      0 0.950 
OBS: 57388.045  r  X1    176.31      12.039    30.459 1.930  14.13 3.500      0 0.960 
OBS: 57388.047  i  X1    164.83      16.256    30.918 1.990  21.51 3.670      0 1.150 
OBS: 57388.049  z  X1    137.31      18.401    30.469 1.947  21.15 3.780      0 0.980 
OBS: 57395.094  g  X1    120.61      7.6528    30.693 3.280   8.16 3.450      0 1.000 
OBS: 57395.096  r  X1    203.48      11.767    30.722 2.870  11.99 3.420      0 1.030 
OBS: 57395.098  i  X1    187.45      31.297    30.966 3.450  23.87 3.640      0 1.130 
OBS: 57395.100  z  X1    148.02      38.333    30.560 3.684  23.67 3.763      0 1.000 
OBS: 57402.048  g  X1    90.271      5.9582    30.649 1.720  13.28 3.590      0 1.030 
OBS: 57402.051  r  X1    182.42      8.8144    30.711 1.560  15.02 3.500      0 1.070 
OBS: 57402.053  i  X1    184.81      12.218    30.962 1.420  23.57 3.660      0 1.050 
OBS: 57402.056  z  X1    140.71      12.281    30.612 1.380  21.83 3.785      0 1.080 
OBS: 57427.050  g  X1    14.711      10.623    30.571 3.760   9.59 3.520      0 1.090 
OBS: 57427.052  r  X1    46.093      14.365    30.640 3.170  14.20 3.460      0 1.070 
OBS: 57427.054  i  X1    60.831      26.091    30.930 3.130  26.64 3.620      0 1.050 
OBS: 57427.057  z  X1    76.170      31.737    30.558 2.945  26.44 3.796      0 1.010 
END: 
