SURVEY: OTHER_LOWZ_LC
SNID: sn1996bl
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: OTHER_LOWZ_LC
MWEBV: 0.105 MW E(B-V)
REDSHIFT_HELIO: 0.036 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50376.506
FILTERS: UBVRIfhjkl

NOBS: 44
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   3850.81   3852.88 1.43991e-01 1.44406e-02 1
SPEC:   3852.88   3854.96 1.09322e-01 1.38873e-02 1
SPEC:   3854.96   3857.03 5.23913e-02 1.31804e-02 1
SPEC:   3857.03   3859.10 6.21831e-02 1.34135e-02 1
SPEC:   3859.10   3861.17 8.65873e-02 1.32433e-02 1
SPEC:   3861.17   3863.24 1.09322e-01 1.38427e-02 1
SPEC:   3863.24   3865.32 1.05998e-01 1.37124e-02 1
SPEC:   3865.32   3867.39 1.17675e-01 1.38371e-02 1
SPEC:   3867.39   3869.46 1.09216e-01 1.30212e-02 1
SPEC:   3869.46   3871.53 9.99731e-02 1.29790e-02 1
SPEC:   3871.53   3873.60 9.79834e-02 1.29360e-02 1
SPEC:   3873.60   3875.68 1.00415e-01 1.31959e-02 1
SPEC:   3875.68   3877.75 1.02704e-01 1.39381e-02 1
SPEC:   3877.75   3879.82 1.04956e-01 1.35246e-02 1
SPEC:   3879.82   3881.89 1.07215e-01 1.44759e-02 1
SPEC:   3881.89   3883.96 1.09475e-01 1.34114e-02 1
SPEC:   3883.96   3886.04 1.11734e-01 1.46960e-02 1
SPEC:   3886.04   3888.11 1.13994e-01 1.70973e-02 1
SPEC:   3888.11   3890.18 1.16253e-01 2.09835e-02 1
SPEC:   3890.18   3892.25 1.18513e-01 1.42029e-02 1
SPEC:   3892.25   3894.32 1.20772e-01 1.33589e-02 1
SPEC:   3894.32   3896.40 1.23031e-01 1.30541e-02 1
SPEC:   3896.40   3898.47 1.25290e-01 1.27366e-02 1
SPEC:   3898.47   3900.54 1.27562e-01 1.28964e-02 1
SPEC:   3900.54   3902.61 1.29476e-01 1.25471e-02 1
SPEC:   3902.61   3904.68 1.29844e-01 1.25212e-02 1
SPEC:   3904.68   3906.76 1.36262e-01 1.26838e-02 1
SPEC:   3906.76   3908.83 1.51313e-01 1.32039e-02 1
SPEC:   3908.83   3910.90 1.50296e-01 1.28629e-02 1
SPEC:   3910.90   3912.97 1.93393e-01 1.34432e-02 1
SPEC:   3912.97   3915.04 2.05609e-01 1.44291e-02 1
SPEC:   3915.04   3917.12 1.57350e-01 1.43454e-02 1
SPEC:   3917.12   3919.19 1.93939e-01 1.32313e-02 1
SPEC:   3919.19   3921.26 2.42190e-01 1.29224e-02 1
SPEC:   3921.26   3923.33 2.15151e-01 1.28255e-02 1
SPEC:   3923.33   3925.40 1.90887e-01 1.25668e-02 1
SPEC:   3925.40   3927.48 1.81097e-01 1.25367e-02 1
SPEC:   3927.48   3929.55 1.97453e-01 1.27101e-02 1
SPEC:   3929.55   3931.62 1.49432e-01 1.21966e-02 1
SPEC:   3931.62   3933.69 1.30015e-01 1.20201e-02 1
SPEC:   3933.69   3935.76 1.66443e-01 1.19329e-02 1
SPEC:   3935.76   3937.84 1.71453e-01 1.21629e-02 1
SPEC:   3937.84   3939.91 1.78832e-01 1.26071e-02 1
SPEC:   3939.91   3941.98 1.65326e-01 1.22404e-02 1
SPEC:   3941.98   3944.05 1.68994e-01 1.23255e-02 1
SPEC:   3944.05   3946.12 1.75087e-01 1.23599e-02 1
SPEC:   3946.12   3948.20 1.82297e-01 1.23062e-02 1
SPEC:   3948.20   3950.27 1.89276e-01 1.24301e-02 1
SPEC:   3950.27   3952.34 1.86467e-01 1.22326e-02 1
SPEC:   3952.34   3954.41 1.87869e-01 1.22676e-02 1
SPEC:   3954.41   3956.48 2.16637e-01 1.26594e-02 1
SPEC:   3956.48   3958.56 2.22694e-01 1.27856e-02 1
SPEC:   3958.56   3960.63 2.19284e-01 1.23892e-02 1
SPEC:   3960.63   3962.70 1.99518e-01 1.25142e-02 1
SPEC:   3962.70   3964.77 1.96679e-01 1.19719e-02 1
SPEC:   3964.77   3966.84 2.45914e-01 1.26587e-02 1
SPEC:   3966.84   3968.92 2.04673e-01 1.20710e-02 1
SPEC:   3968.92   3970.99 2.03077e-01 1.21375e-02 1
SPEC:   3970.99   3973.06 1.99617e-01 1.20104e-02 1
SPEC:   3973.06   3975.13 2.08635e-01 1.21994e-02 1
