SURVEY: Hicken2009_LC
SNID: sn2005eq
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.074 MW E(B-V)
REDSHIFT_HELIO: 0.028977 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53654.769
FILTERS: UBVRIfhjklabcde

NOBS: 0
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53648.368 k  NULL    20304.8614 280.5117
OBS: 53650.410 k  NULL    22972.0649 296.2018
OBS: 53656.367 k  NULL    25327.9492 326.5786
OBS: 53663.360 k  NULL    20816.1315 364.2615
OBS: 53664.457 k  NULL    19715.1473 490.2566
OBS: 53665.375 k  NULL    18672.3955 412.7346
OBS: 53666.444 k  NULL    17635.9978 276.1268
OBS: 53667.361 k  NULL    17029.4269 282.3138
OBS: 53667.440 k  NULL    16873.3002 264.1853
OBS: 53671.313 k  NULL    14177.5120 235.0348
OBS: 53676.342 k  NULL    13025.6690 191.9463
OBS: 53677.353 k  NULL    12325.3719 238.3850
OBS: 53678.363 k  NULL    12670.6834 175.0455
OBS: 53679.353 k  NULL    12612.4670 185.8573
OBS: 53680.364 k  NULL    11912.4213 164.5701
OBS: 53681.315 k  NULL    11705.7716 204.8393
OBS: 53682.356 k  NULL    11846.7724 207.3067
OBS: 53683.356 k  NULL    11355.3367 198.7070
OBS: 53685.349 k  NULL    10754.7429 198.1024
OBS: 53686.319 k  NULL    10442.3927 201.9663
OBS: 53687.342 k  NULL    9799.4124 261.7325
OBS: 53688.316 k  NULL    9341.1435 215.0798
OBS: 53694.317 k  NULL    6680.3626 203.0363
OBS: 53695.317 k  NULL    6631.3207 171.0085
OBS: 53696.334 k  NULL    6131.9701 158.1312
OBS: 53706.347 k  NULL    4458.6156 98.5532
OBS: 53710.305 k  NULL    3756.6439 110.7158
OBS: 53713.278 k  NULL    3382.2058 610.5423
OBS: 53729.221 k  NULL    2305.6853 95.5591
OBS: 53730.270 k  NULL    1781.5583 100.0897
OBS: 53731.263 k  NULL    2342.0709 112.1665
OBS: 53737.254 k  NULL    1816.3521 100.3716
OBS:      53650.3     t      md      16811.2    184.924    16.9360    0.0110000
OBS:      53655.3     t      md      14955.5    194.421    17.0630    0.0130000
OBS:      53658.2     t      md      13134.1    183.877    17.2040    0.0140000
OBS:      53659.2     t      md      11695.0    257.290    17.3300    0.0220000
OBS:      53662.2     t      md      9835.59    206.547    17.5180    0.0210000
OBS:      53663.2     t      md      9136.93    164.465    17.5980    0.0180000
OBS:      53665.2     t      md      7066.43    113.063    17.8770    0.0160000
OBS:      53666.3     t      md      6438.72    96.5808    17.9780    0.0150000
OBS:      53669.2     t      md      4613.18    87.6503    18.3400    0.0190000
OBS:      53671.3     t      md      3522.09    73.9639    18.6330    0.0210000
OBS:      53673.3     t      md      2831.39    62.2906    18.8700    0.0220000
OBS:      53675.2     t      md      2095.08    58.6621    19.1970    0.0280000
OBS:      53683.2     t      md      1094.46    51.4396    19.9020    0.0470000
OBS:      53687.2     t      md      901.987    77.5709    20.1120    0.0860000
OBS:      53694.2     t      md      570.690    68.4828    20.6090    0.120000
OBS:      53698.2     t      md      592.652    59.8579    20.5680    0.101000
OBS:      53699.2     t      md      555.137    35.5288    20.6390    0.0640000
OBS:      53707.2     t      md      480.839    81.2618    20.7950    0.169000
OBS:      53712.2     t      md      395.185    41.0992    21.0080    0.104000
OBS:      53650.3     u      md      22761.5    182.092    16.6070    0.00800000
OBS:      53655.3     u      md      23420.7    210.786    16.5760    0.00900000
OBS:      53658.2     u      md      21857.5    218.575    16.6510    0.0100000
OBS:      53659.2     u      md      21301.0    191.709    16.6790    0.00900000
OBS:      53662.2     u      md      19142.6    172.283    16.7950    0.00900000
OBS:      53663.2     u      md      17914.3    161.229    16.8670    0.00900000
