SURVEY:   PS1_LOWZ_COMBINED(CSP)
PHOTOMETRY_VERSION:  PS1_LOWZ_COMBINED(CSP)DR2
SNTYPE: 1
SNID:  2006bh
IAUC:  2006bh
IAUC:    UNKNOWN
RA:   340.067  deg
DECL:    -66.4851  deg
FILTERS:     abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # uBomngri -> tuvwxyzA
REDSHIFT_HELIO: 0.0107679826403 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0104218274355 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0104218274355 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.915 +- 0.352000
MWEBV:    0.0260000  MW E(B-V)
SEARCH_PEAKMJD: 53833.602
NOBS: 143
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      53891.3     t      md      2132.06    110.867    19.1780    0.0520000
OBS:      53892.3     t      md      1991.59    69.7056    19.2520    0.0350000
OBS:      53893.3     t      md      1928.41    57.8524    19.2870    0.0300000
OBS:      53828.4     u      md      127409.    509.636    14.7370    0.00400000
OBS:      53829.4     u      md      139959.    699.794    14.6350    0.00500000
OBS:      53830.4     u      md      151635.    606.541    14.5480    0.00400000
OBS:      53831.4     u      md      160398.    641.593    14.4870    0.00400000
OBS:      53832.4     u      md      165348.    661.394    14.4540    0.00400000
OBS:      53833.4     u      md      167340.    836.700    14.4410    0.00500000
OBS:      53835.4     u      md      157906.    947.439    14.5040    0.00600000
OBS:      53838.4     u      md      134772.    539.088    14.6760    0.00400000
OBS:      53841.4     u      md      103086.    515.431    14.9670    0.00500000
OBS:      53845.4     u      md      65222.9    326.115    15.4640    0.00500000
OBS:      53846.4     u      md      57174.2    343.045    15.6070    0.00600000
OBS:      53850.3     u      md      34865.9    244.061    16.1440    0.00700000
OBS:      53853.4     u      md      25142.0    175.994    16.4990    0.00700000
OBS:      53858.4     u      md      15645.9    438.085    17.0140    0.0280000
OBS:      53861.4     u      md      12882.5    115.942    17.2250    0.00900000
OBS:      53862.3     u      md      12167.5    109.507    17.2870    0.00900000
OBS:      53866.3     u      md      10261.2    133.396    17.4720    0.0130000
OBS:      53867.3     u      md      9853.71    147.806    17.5160    0.0150000
OBS:      53870.3     u      md      9255.51    166.599    17.5840    0.0180000
OBS:      53871.3     u      md      8986.70    143.787    17.6160    0.0160000
OBS:      53872.3     u      md      8677.61    121.487    17.6540    0.0140000
OBS:      53886.3     u      md      6649.66    39.8980    17.9430    0.00600000
OBS:      53891.3     u      md      6309.57    88.3340    18.0000    0.0140000
OBS:      53892.3     u      md      6223.01    43.5611    18.0150    0.00700000
OBS:      53893.3     u      md      6070.16    42.4911    18.0420    0.00700000
OBS:     53828.4     x     md     123823.     123.823     14.7680     0.00100000
OBS:     53829.4     x     md     136270.     408.810     14.6640     0.00300000
