SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007hj
IAUC:  2007hj
IAUC:    UNKNOWN
RA:   345.44950  deg
DECL:    15.586453  deg
MWEBV: 0.088300000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.014100000 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.012878423 +- 0.000500000  (CMB)
REDSHIFT_FINAL:  0.012878423 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 10.5740 +- 0.444
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54351.4
NOBS: 145
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54346.5     B      md      38547.8    1314.48    16.0350    0.0341000
OBS:      54348.3     B      md      44340.4    744.919    15.8830    0.0168000
OBS:      54351.4     B      md      43551.2    727.305    15.9025    0.0167000
OBS:      54352.2     B      md      39774.1    942.646    16.0010    0.0237000
OBS:      54353.3     B      md      37966.5    926.382    16.0515    0.0244000
OBS:      54354.3     B      md      34103.6    600.223    16.1680    0.0176000
OBS:      54355.3     B      md      30227.4    486.660    16.2990    0.0161000
OBS:      54356.3     B      md      26915.4    462.944    16.4250    0.0172000
OBS:      54357.3     B      md      23966.2    599.156    16.5510    0.0250000
OBS:      54358.3     B      md      19934.3    434.567    16.7510    0.0218000
OBS:      54361.4     B      md      13103.9    315.804    17.2065    0.0241000
OBS:      54363.2     B      md      10294.4    262.507    17.4685    0.0255000
OBS:      54368.1     B      md      6911.95    354.583    17.9010    0.0513000
OBS:      54372.4     B      md      4583.53    457.436    18.3470    0.0998000
OBS:      54377.3     B      md      3097.42    166.641    18.7725    0.0538000
OBS:      54379.2     B      md      2932.24    172.709    18.8320    0.0589000
OBS:      54380.1     B      md      2798.98    158.143    18.8825    0.0565000
OBS:      54381.1     B      md      2868.14    183.847    18.8560    0.0641000
OBS:      54383.2     B      md      2666.86    163.745    18.9350    0.0614000
OBS:      54402.2     B      md      1748.24    179.369    19.3935    0.102600
OBS:      54404.2     B      md      1798.04    197.964    19.3630    0.110100
OBS:      54405.1     B      md      1722.66    185.186    19.4095    0.107500
OBS:      54408.1     B      md      1768.48    219.999    19.3810    0.124400
OBS:      54411.1     B      md      1494.86    243.662    19.5635    0.163000
OBS:      54412.1     B      md      1513.56    422.889    19.5500    0.279400
OBS:      54415.2     B      md      1489.36    178.426    19.5675    0.119800
OBS:      54427.1     B      md      1627.80    397.833    19.4710    0.244400
OBS:      54429.1     B      md      1727.43    493.526    19.4065    0.285700
OBS:      54432.1     B      md      1190.14    375.848    19.8110    0.315800
OBS:      54433.1     B      md      1168.42    310.100    19.8310    0.265400
OBS:      54440.2     B      md      838.687    160.357    20.1910    0.191200
OBS:      54456.1     B      md      1453.45    484.580    19.5940    0.333400
OBS:      54477.1     B      md      797.260    174.122    20.2460    0.218400
OBS:      54346.5     V      md      43873.3    864.303    15.8945    0.0197000
OBS:      54348.3     V      md      50419.7    796.631    15.7435    0.0158000
OBS:      54351.4     V      md      54150.2    969.289    15.6660    0.0179000
OBS:      54352.1     V      md      54450.3    1110.79    15.6600    0.0204000
OBS:      54353.3     V      md      52966.4    900.429    15.6900    0.0170000
OBS:      54354.3     V      md      51713.1    1008.40    15.7160    0.0195000
OBS:      54355.3     V      md      48797.8    897.879    15.7790    0.0184000
OBS:      54356.3     V      md      46046.8    787.401    15.8420    0.0171000
OBS:      54357.3     V      md      43191.7    729.940    15.9115    0.0169000
OBS:      54358.3     V      md      40457.6    873.884    15.9825    0.0216000
OBS:      54361.4     V      md      32195.9    560.209    16.2305    0.0174000
OBS:      54363.2     V      md      27415.7    515.416    16.4050    0.0188000
OBS:      54368.1     V      md      18603.7    805.541    16.8260    0.0433000
OBS:      54372.4     V      md      14388.0    716.522    17.1050    0.0498000
OBS:      54377.3     V      md      9620.55    289.579    17.5420    0.0301000
OBS:      54379.2     V      md      8645.69    293.954    17.6580    0.0340000
OBS:      54380.1     V      md      8472.27    334.655    17.6800    0.0395000
OBS:      54381.1     V      md      8264.18    267.759    17.7070    0.0324000
OBS:      54383.2     V      md      7406.28    344.392    17.8260    0.0465000
OBS:      54400.3     V      md      5195.17    325.737    18.2110    0.0627000
OBS:      54402.2     V      md      4111.50    209.686    18.4650    0.0510000
OBS:      54404.2     V      md      4107.71    247.695    18.4660    0.0603000
OBS:      54405.1     V      md      4222.79    203.961    18.4360    0.0483000
OBS:      54408.1     V      md      4006.82    227.588    18.4930    0.0568000
OBS:      54411.1     V      md      3470.56    212.398    18.6490    0.0612000
OBS:      54412.1     V      md      3622.43    266.611    18.6025    0.0736000
OBS:      54415.2     V      md      3262.87    217.634    18.7160    0.0667000
OBS:      54424.1     V      md      2989.51    253.510    18.8110    0.0848000
OBS:      54425.1     V      md      3689.78    269.723    18.5825    0.0731000
OBS:      54427.1     V      md      2445.68    246.770    19.0290    0.100900
OBS:      54429.1     V      md      2708.95    449.414    18.9180    0.165900
OBS:      54431.1     V      md      2905.36    504.080    18.8420    0.173500
OBS:      54432.1     V      md      2342.07    261.375    19.0760    0.111600
OBS:      54433.1     V      md      2195.84    272.503    19.1460    0.124100
OBS:      54440.2     V      md      1526.16    211.831    19.5410    0.138800
OBS:      54455.1     V      md      1164.13    210.823    19.8350    0.181100
OBS:      54456.1     V      md      903.233    286.867    20.1105    0.317600
OBS:      54457.1     V      md      1048.09    292.628    19.9490    0.279200
OBS:      54477.1     V      md      548.277    195.570    20.6525    0.356700
OBS:      54346.4     r      md      48128.3    948.127    15.7940    0.0197000
OBS:      54348.3     r      md      53951.0    933.353    15.6700    0.0173000
OBS:      54351.4     r      md      58049.7    957.820    15.5905    0.0165000
OBS:      54352.1     r      md      57597.1    1065.55    15.5990    0.0185000
OBS:      54353.3     r      md      56156.5    915.351    15.6265    0.0163000
OBS:      54354.3     r      md      54325.1    858.336    15.6625    0.0158000
OBS:      54355.3     r      md      50769.2    837.692    15.7360    0.0165000
OBS:      54356.3     r      md      47467.9    830.689    15.8090    0.0175000
OBS:      54357.3     r      md      45373.3    812.182    15.8580    0.0179000
OBS:      54358.3     r      md      43691.8    1074.82    15.8990    0.0246000
OBS:      54361.4     r      md      37153.5    683.624    16.0750    0.0184000
OBS:      54363.2     r      md      35220.9    612.843    16.1330    0.0174000
OBS:      54368.1     r      md      26497.2    718.074    16.4420    0.0271000
OBS:      54372.4     r      md      18450.2    463.099    16.8350    0.0251000
OBS:      54377.3     r      md      12971.8    307.431    17.2175    0.0237000
OBS:      54379.2     r      md      11481.5    297.372    17.3500    0.0259000
OBS:      54380.1     r      md      11261.6    332.217    17.3710    0.0295000
OBS:      54381.1     r      md      10864.3    262.915    17.4100    0.0242000
OBS:      54383.2     r      md      10242.4    268.350    17.4740    0.0262000
OBS:      54400.3     r      md      5571.86    235.690    18.1350    0.0423000
OBS:      54402.2     r      md      5053.59    215.788    18.2410    0.0427000
OBS:      54404.2     r      md      4489.53    219.089    18.3695    0.0488000
OBS:      54405.1     r      md      4401.49    294.900    18.3910    0.0670000
OBS:      54408.1     r      md      3999.45    181.975    18.4950    0.0455000
OBS:      54411.1     r      md      3708.52    198.777    18.5770    0.0536000
OBS:      54412.1     r      md      3522.09    361.719    18.6330    0.102700
OBS:      54415.2     r      md      3121.76    161.083    18.7640    0.0516000
OBS:      54425.1     r      md      2314.19    277.703    19.0890    0.120000
OBS:      54427.1     r      md      2230.49    228.179    19.1290    0.102300
OBS:      54429.1     r      md      2032.36    368.060    19.2300    0.181100
OBS:      54431.1     r      md      2032.36    204.252    19.2300    0.100500
OBS:      54432.1     r      md      1786.49    224.204    19.3700    0.125500
OBS:      54433.1     r      md      1828.10    214.071    19.3450    0.117100
OBS:      54440.2     r      md      1541.70    181.458    19.5300    0.117700
OBS:      54455.1     r      md      761.378    159.813    20.2960    0.209900
OBS:      54456.1     r      md      665.274    206.900    20.4425    0.311000
OBS:      54457.1     r      md      642.688    202.575    20.4800    0.315200
OBS:      54477.1     r      md      370.510    136.200    21.0780    0.367600
OBS:      54348.3     i      md      39048.1    741.914    16.0210    0.0190000
OBS:      54351.4     i      md      38654.5    977.959    16.0320    0.0253000
OBS:      54352.1     i      md      37670.4    719.505    16.0600    0.0191000
OBS:      54353.3     i      md      36982.8    891.287    16.0800    0.0241000
OBS:      54354.3     i      md      35514.0    681.869    16.1240    0.0192000
OBS:      54355.3     i      md      32047.9    791.583    16.2355    0.0247000
OBS:      54356.3     i      md      29744.1    761.448    16.3165    0.0256000
OBS:      54357.3     i      md      28562.8    836.889    16.3605    0.0293000
OBS:      54358.3     i      md      28549.6    1127.71    16.3610    0.0395000
OBS:      54361.4     i      md      28015.6    644.359    16.3815    0.0230000
OBS:      54363.2     i      md      29120.6    655.213    16.3395    0.0225000
OBS:      54368.1     i      md      28523.3    718.788    16.3620    0.0252000
OBS:      54372.4     i      md      19824.4    507.505    16.7570    0.0256000
OBS:      54375.4     i      md      18399.3    868.445    16.8380    0.0472000
OBS:      54377.3     i      md      13464.8    387.786    17.1770    0.0288000
OBS:      54379.2     i      md      11879.6    460.927    17.3130    0.0388000
OBS:      54380.1     i      md      12022.7    480.906    17.3000    0.0400000
OBS:      54381.1     i      md      10602.3    320.189    17.4365    0.0302000
OBS:      54383.2     i      md      9475.45    307.005    17.5585    0.0324000
OBS:      54400.3     i      md      5260.17    354.536    18.1975    0.0674000
OBS:      54402.2     i      md      4205.33    252.320    18.4405    0.0600000
OBS:      54404.2     i      md      4138.09    372.014    18.4580    0.0899000
OBS:      54405.1     i      md      3935.50    255.020    18.5125    0.0648000
OBS:      54408.1     i      md      3515.60    225.702    18.6350    0.0642000
OBS:      54411.1     i      md      3179.80    181.249    18.7440    0.0570000
OBS:      54412.1     i      md      3315.89    283.509    18.6985    0.0855000
OBS:      54415.2     i      md      2802.85    177.420    18.8810    0.0633000
OBS:      54427.1     i      md      1684.23    288.676    19.4340    0.171400
OBS:      54429.1     i      md      1444.11    388.032    19.6010    0.268700
OBS:      54431.1     i      md      2124.22    182.046    19.1820    0.0857000
OBS:      54440.2     i      md      1131.36    181.583    19.8660    0.160500
OBS:      54455.1     i      md      1172.74    198.075    19.8270    0.168900
OBS:      54456.1     i      md      806.492    230.657    20.2335    0.286000
OBS:      54457.1     i      md      1354.57    237.320    19.6705    0.175200
OBS:      54477.1     i      md      788.860    172.997    20.2575    0.219300
END: 
