SURVEY: Jha2006_LC
SNID: sn1997do
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.063 MW E(B-V)
REDSHIFT_HELIO: 0.01012 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50766.469
FILTERS: UBVRIfhjkl

NOBS: 31
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   3863.25   3864.75 3.58341e-15 1.34206e-16 1
SPEC:   3864.75   3866.25 3.41040e-15 1.34206e-16 1
SPEC:   3866.25   3867.75 3.71885e-15 1.34206e-16 1
SPEC:   3867.75   3869.25 3.50597e-15 1.34206e-16 1
SPEC:   3869.25   3870.75 3.22429e-15 1.34206e-16 1
SPEC:   3870.75   3872.25 3.31420e-15 1.34206e-16 1
SPEC:   3872.25   3873.75 3.47032e-15 1.34206e-16 1
SPEC:   3873.75   3875.25 3.60646e-15 1.34206e-16 1
SPEC:   3875.25   3876.75 3.72221e-15 1.34206e-16 1
SPEC:   3876.75   3878.25 3.79847e-15 1.34206e-16 1
SPEC:   3878.25   3879.75 3.71730e-15 1.34206e-16 1
SPEC:   3879.75   3881.25 3.65041e-15 1.34206e-16 1
SPEC:   3881.25   3882.75 3.64677e-15 1.34206e-16 1
SPEC:   3882.75   3884.25 3.56682e-15 1.34206e-16 1
SPEC:   3884.25   3885.75 3.66129e-15 1.34206e-16 1
SPEC:   3885.75   3887.25 3.58684e-15 1.34206e-16 1
SPEC:   3887.25   3888.75 3.62144e-15 1.34206e-16 1
SPEC:   3888.75   3890.25 3.75772e-15 1.34206e-16 1
SPEC:   3890.25   3891.75 3.70631e-15 1.34206e-16 1
SPEC:   3891.75   3893.25 3.63957e-15 1.34206e-16 1
SPEC:   3893.25   3894.75 3.84346e-15 1.34206e-16 1
SPEC:   3894.75   3896.25 3.95148e-15 1.34206e-16 1
SPEC:   3896.25   3897.75 3.82154e-15 1.34206e-16 1
SPEC:   3897.75   3899.25 3.72942e-15 1.34206e-16 1
SPEC:   3899.25   3900.75 3.91567e-15 1.34206e-16 1
SPEC:   3900.75   3902.25 3.96980e-15 1.34206e-16 1
SPEC:   3902.25   3903.75 3.80801e-15 1.34206e-16 1
SPEC:   3903.75   3905.25 3.89396e-15 1.34206e-16 1
SPEC:   3905.25   3906.75 3.80966e-15 1.34206e-16 1
