SPEC:   3924.75   3930.25 1.80252e-15 2.27164e-17 1
SPEC:   3930.25   3935.75 1.89740e-15 2.25327e-17 1
SPEC:   3935.75   3941.25 2.06042e-15 2.23983e-17 1
SPEC:   3941.35   3946.85 2.14643e-15 2.23182e-17 1
SPEC:   3946.85   3952.35 2.21374e-15 2.22963e-17 1
SPEC:   3952.35   3957.85 2.32517e-15 2.23351e-17 1
SPEC:   3957.85   3963.35 2.36890e-15 2.24354e-17 1
SPEC:   3963.35   3968.85 2.41997e-15 2.25969e-17 1
SPEC:   3968.85   3974.35 2.44380e-15 2.28175e-17 1
SPEC:   3974.45   3979.95 2.46621e-15 2.30938e-17 1
SPEC:   3979.95   3985.45 2.51212e-15 2.34212e-17 1
SPEC:   3985.45   3990.95 2.52985e-15 2.37936e-17 1
SPEC:   3990.95   3996.45 2.59848e-15 2.42039e-17 1
SPEC:   3996.45   4001.95 2.66540e-15 2.46442e-17 1
SPEC:   4002.05   4007.55 2.68141e-15 2.52792e-17 1
SPEC:   4007.55   4013.05 2.69406e-15 2.56741e-17 1
SPEC:   4013.05   4018.55 2.71086e-15 2.60507e-17 1
SPEC:   4018.55   4024.05 2.76037e-15 2.65266e-17 1
SPEC:   4024.05   4029.55 2.79671e-15 2.70636e-17 1
SPEC:   4029.55   4035.05 2.85400e-15 2.75159e-17 1
SPEC:   4035.15   4040.65 2.81961e-15 2.78919e-17 1
SPEC:   4040.65   4046.15 2.79685e-15 2.82135e-17 1
SPEC:   4046.15   4051.65 2.63889e-15 2.85761e-17 1
SPEC:   4051.65   4057.15 2.53631e-15 2.86241e-17 1
SPEC:   4057.15   4062.65 2.46008e-15 2.89271e-17 1
SPEC:   4062.65   4068.15 2.41148e-15 2.91736e-17 1
SPEC:   4068.25   4073.75 2.40013e-15 2.92334e-17 1
SPEC:   4073.75   4079.25 2.40215e-15 2.92429e-17 1
SPEC:   4079.25   4084.75 2.36404e-15 2.92152e-17 1
SPEC:   4084.75   4090.25 2.27262e-15 2.91427e-17 1
SPEC:   4090.25   4095.75 2.28338e-15 2.89000e-17 1
SPEC:   4095.85   4101.35 2.33678e-15 2.87065e-17 1
SPEC:   4101.35   4106.85 2.37751e-15 2.84530e-17 1
SPEC:   4106.85   4112.35 2.38447e-15 2.81661e-17 1
SPEC:   4112.35   4117.85 2.48119e-15 2.79008e-17 1
SPEC:   4117.85   4123.35 2.45568e-15 2.76511e-17 1
SPEC:   4123.35   4128.85 2.48764e-15 2.72625e-17 1
SPEC:   4128.95   4134.45 2.52525e-15 2.68269e-17 1
SPEC:   4134.45   4139.95 2.57291e-15 2.63980e-17 1
SPEC:   4139.95   4145.45 2.60367e-15 2.58491e-17 1
SPEC:   4145.45   4150.95 2.70715e-15 2.54115e-17 1
SPEC:   4150.95   4156.45 2.70866e-15 2.49300e-17 1
SPEC:   4156.45   4161.95 2.73944e-15 2.46035e-17 1
SPEC:   4162.05   4167.55 2.74595e-15 2.42514e-17 1
SPEC:   4167.55   4173.05 2.68703e-15 2.36824e-17 1
SPEC:   4173.05   4178.55 2.66781e-15 2.31497e-17 1
SPEC:   4178.55   4184.05 2.68410e-15 2.26288e-17 1
SPEC:   4184.05   4189.55 2.67887e-15 2.22013e-17 1
SPEC:   4189.65   4195.15 2.64956e-15 2.16883e-17 1
SPEC:   4195.15   4200.65 2.59421e-15 2.12131e-17 1
SPEC:   4200.65   4206.15 2.57486e-15 2.07289e-17 1
SPEC:   4206.15   4211.65 2.49448e-15 2.03405e-17 1
SPEC:   4211.65   4217.15 2.42268e-15 1.99557e-17 1
SPEC:   4217.15   4222.65 2.42811e-15 1.95818e-17 1
SPEC:   4222.75   4228.25 2.39412e-15 1.91785e-17 1
SPEC:   4228.25   4233.75 2.34734e-15 1.89846e-17 1
SPEC:   4233.75   4239.25 2.33264e-15 1.86818e-17 1
SPEC:   4239.25   4244.75 2.31698e-15 1.85073e-17 1
SPEC:   4244.75   4250.25 2.25565e-15 1.83085e-17 1
SPEC:   4250.35   4255.85 2.22525e-15 1.82551e-17 1
SPEC:   4255.85   4261.35 2.18366e-15 1.81590e-17 1
SPEC:   4261.35   4266.85 2.17177e-15 1.81277e-17 1
SPEC:   4266.85   4272.35 2.15268e-15 1.81489e-17 1
SPEC:   4272.35   4277.85 2.12895e-15 1.81801e-17 1
SPEC:   4277.85   4283.35 2.10159e-15 1.82457e-17 1
SPEC:   4283.45   4288.95 2.03963e-15 1.82525e-17 1
SPEC:   4288.95   4294.45 1.97341e-15 1.83762e-17 1
SPEC:   4294.45   4299.95 1.92122e-15 1.85680e-17 1
SPEC:   4299.95   4305.45 1.85455e-15 1.86613e-17 1
SPEC:   4305.45   4310.95 1.82437e-15 1.89840e-17 1
SPEC:   4311.05   4316.55 1.74088e-15 1.93572e-17 1
SPEC:   4316.55   4322.05 1.65493e-15 1.97039e-17 1
SPEC:   4322.05   4327.55 1.67587e-15 1.98633e-17 1
SPEC:   4327.55   4333.05 1.60022e-15 2.03266e-17 1
SPEC:   4333.05   4338.55 1.57443e-15 2.06088e-17 1
SPEC:   4338.55   4344.05 1.51906e-15 2.09124e-17 1
SPEC:   4344.15   4349.65 1.47562e-15 2.12685e-17 1
SPEC:   4349.65   4355.15 1.40841e-15 2.15559e-17 1
SPEC:   4355.15   4360.65 1.41104e-15 2.19724e-17 1
SPEC:   4360.65   4366.15 1.40028e-15 2.23308e-17 1
SPEC:   4366.15   4371.65 1.30218e-15 2.26728e-17 1
SPEC:   4371.65   4377.15 1.31009e-15 2.29512e-17 1
SPEC:   4377.25   4382.75 1.27203e-15 2.32042e-17 1
SPEC:   4382.75   4388.25 1.24544e-15 2.33862e-17 1
SPEC:   4388.25   4393.75 1.24279e-15 2.37532e-17 1
SPEC:   4393.75   4399.25 1.21808e-15 2.39676e-17 1
SPEC:   4399.25   4404.75 1.25329e-15 2.42737e-17 1
SPEC:   4404.85   4410.35 1.33926e-15 2.45524e-17 1
SPEC:   4410.35   4415.85 1.32962e-15 2.48381e-17 1
SPEC:   4415.85   4421.35 1.35845e-15 2.49733e-17 1
SPEC:   4421.35   4426.85 1.43349e-15 2.51557e-17 1
SPEC:   4426.85   4432.35 1.48139e-15 2.52399e-17 1
SPEC:   4432.35   4437.85 1.53438e-15 2.53046e-17 1
SPEC:   4437.95   4443.45 1.52245e-15 2.54624e-17 1
SPEC:   4443.45   4448.95 1.58545e-15 2.55524e-17 1
SPEC:   4448.95   4454.45 1.61683e-15 2.56154e-17 1
SPEC:   4454.45   4459.95 1.63928e-15 2.56686e-17 1
SPEC:   4459.95   4465.45 1.62645e-15 2.57804e-17 1
SPEC:   4465.55   4471.05 1.75479e-15 2.57908e-17 1
SPEC:   4471.05   4476.55 1.72257e-15 2.58796e-17 1
SPEC:   4476.55   4482.05 1.70964e-15 2.58665e-17 1
SPEC:   4482.05   4487.55 1.71384e-15 2.58426e-17 1
SPEC:   4487.55   4493.05 1.70599e-15 2.58461e-17 1
SPEC:   4493.05   4498.55 1.70743e-15 2.57953e-17 1
