SPEC: 3866.15 3871.65 5.42635e-16 3.31622e-17 1
SPEC: 3871.65 3877.15 5.24642e-16 3.25419e-17 1
SPEC: 3877.15 3882.65 5.48079e-16 3.20033e-17 1
SPEC: 3882.65 3888.15 5.07414e-16 3.15504e-17 1
SPEC: 3888.25 3893.75 5.08455e-16 3.11856e-17 1
SPEC: 3893.75 3899.25 4.59106e-16 3.09097e-17 1
SPEC: 3899.25 3904.75 4.45897e-16 3.07218e-17 1
SPEC: 3904.75 3910.25 4.78311e-16 3.06198e-17 1
SPEC: 3910.35 3915.85 4.64115e-16 3.06001e-17 1
SPEC: 3915.85 3921.35 5.04842e-16 3.06578e-17 1
SPEC: 3921.35 3926.85 4.44620e-16 3.07874e-17 1
SPEC: 3926.85 3932.35 5.14265e-16 3.09820e-17 1
SPEC: 3932.45 3937.95 4.94588e-16 3.12347e-17 1
SPEC: 3937.95 3943.45 5.46368e-16 3.15376e-17 1
SPEC: 3943.45 3948.95 5.26992e-16 3.18827e-17 1
SPEC: 3948.95 3954.45 5.54710e-16 3.22618e-17 1
SPEC: 3954.45 3959.95 6.31124e-16 3.26666e-17 1
SPEC: 3960.05 3965.55 6.72653e-16 3.30889e-17 1
SPEC: 3965.55 3971.05 6.97699e-16 3.35206e-17 1
SPEC: 3971.05 3976.55 7.28621e-16 3.39539e-17 1
SPEC: 3976.55 3982.05 8.00325e-16 3.43814e-17 1
SPEC: 3982.15 3987.65 8.96391e-16 3.47962e-17 1
SPEC: 3987.65 3993.15 9.92966e-16 3.51918e-17 1
SPEC: 3993.15 3998.65 1.01808e-15 3.55624e-17 1
SPEC: 3998.65 4004.15 1.07389e-15 3.62064e-17 1
SPEC: 4004.25 4009.75 1.20098e-15 3.64102e-17 1
SPEC: 4009.75 4015.25 1.28063e-15 3.65947e-17 1
SPEC: 4015.25 4020.75 1.21908e-15 3.67208e-17 1
SPEC: 4020.75 4026.25 1.23185e-15 3.69198e-17 1
SPEC: 4026.35 4031.85 1.32356e-15 3.71885e-17 1
SPEC: 4031.85 4037.35 1.32132e-15 3.71181e-17 1
SPEC: 4037.35 4042.85 1.37344e-15 3.73130e-17 1
SPEC: 4042.85 4048.35 1.32367e-15 3.73219e-17 1
SPEC: 4048.45 4053.95 1.40526e-15 3.71542e-17 1
SPEC: 4053.95 4059.45 1.46810e-15 3.70083e-17 1
SPEC: 4059.45 4064.95 1.44929e-15 3.68764e-17 1
SPEC: 4064.95 4070.45 1.45869e-15 3.67709e-17 1
SPEC: 4070.45 4075.95 1.50359e-15 3.65352e-17 1
SPEC: 4076.05 4081.55 1.53653e-15 3.62951e-17 1
SPEC: 4081.55 4087.05 1.50866e-15 3.60686e-17 1
SPEC: 4087.05 4092.55 1.45059e-15 3.57083e-17 1
SPEC: 4092.55 4098.05 1.43409e-15 3.53834e-17 1
SPEC: 4098.15 4103.65 1.32408e-15 3.49811e-17 1
SPEC: 4103.65 4109.15 1.33678e-15 3.46589e-17 1
SPEC: 4109.15 4114.65 1.33476e-15 3.43174e-17 1
SPEC: 4114.65 4120.15 1.27801e-15 3.39515e-17 1
SPEC: 4120.25 4125.75 1.18999e-15 3.37138e-17 1
SPEC: 4125.75 4131.25 1.18946e-15 3.34160e-17 1
SPEC: 4131.25 4136.75 1.19114e-15 3.30217e-17 1
SPEC: 4136.75 4142.25 1.20021e-15 3.27730e-17 1
SPEC: 4142.35 4147.85 1.17918e-15 3.21757e-17 1
SPEC: 4147.85 4153.35 1.21182e-15 3.19252e-17 1
SPEC: 4153.35 4158.85 1.21598e-15 3.18122e-17 1
SPEC: 4158.85 4164.35 1.21850e-15 3.16799e-17 1
SPEC: 4164.35 4169.85 1.19167e-15 3.15642e-17 1
SPEC: 4169.95 4175.45 1.23876e-15 3.12049e-17 1
SPEC: 4175.45 4180.95 1.30996e-15 3.08987e-17 1
SPEC: 4180.95 4186.45 1.33773e-15 3.06475e-17 1
SPEC: 4186.45 4191.95 1.37399e-15 3.04089e-17 1
SPEC: 4192.05 4197.55 1.44250e-15 3.01783e-17 1
SPEC: 4197.55 4203.05 1.45959e-15 2.98336e-17 1
SPEC: 4203.05 4208.55 1.41455e-15 2.96791e-17 1
SPEC: 4208.65 4214.15 1.46225e-15 2.94181e-17 1
SPEC: 4214.15 4219.65 1.49625e-15 2.91703e-17 1
SPEC: 4219.65 4225.15 1.45705e-15 2.88579e-17 1
SPEC: 4225.15 4230.65 1.45991e-15 2.85502e-17 1
SPEC: 4230.65 4236.15 1.49002e-15 2.83961e-17 1
SPEC: 4236.25 4241.75 1.41755e-15 2.79394e-17 1
SPEC: 4241.75 4247.25 1.37347e-15 2.76352e-17 1
SPEC: 4247.25 4252.75 1.42594e-15 2.73094e-17 1
SPEC: 4252.75 4258.25 1.42177e-15 2.70260e-17 1
SPEC: 4258.35 4263.85 1.40772e-15 2.65526e-17 1
SPEC: 4263.85 4269.35 1.34794e-15 2.62169e-17 1
SPEC: 4269.35 4274.85 1.33592e-15 2.57521e-17 1
SPEC: 4274.85 4280.35 1.29675e-15 2.54453e-17 1
SPEC: 4280.45 4285.95 1.29916e-15 2.48044e-17 1
SPEC: 4285.95 4291.45 1.29234e-15 2.43204e-17 1
SPEC: 4291.45 4296.95 1.29263e-15 2.39238e-17 1
SPEC: 4296.95 4302.45 1.29259e-15 2.33383e-17 1
SPEC: 4302.45 4307.95 1.26153e-15 2.29466e-17 1
SPEC: 4308.05 4313.55 1.24231e-15 2.25281e-17 1
SPEC: 4313.55 4319.05 1.29150e-15 2.22833e-17 1
SPEC: 4319.05 4324.55 1.27659e-15 2.18379e-17 1
SPEC: 4324.65 4330.15 1.25159e-15 2.14648e-17 1
SPEC: 4330.15 4335.65 1.22914e-15 2.11573e-17 1
SPEC: 4335.65 4341.15 1.21638e-15 2.06830e-17 1
SPEC: 4341.15 4346.65 1.22367e-15 2.04281e-17 1
SPEC: 4346.65 4352.15 1.17635e-15 2.00660e-17 1
SPEC: 4352.25 4357.75 1.13484e-15 1.97546e-17 1
SPEC: 4357.75 4363.25 1.11903e-15 1.95437e-17 1
SPEC: 4363.25 4368.75 1.09744e-15 1.92971e-17 1
SPEC: 4368.75 4374.25 1.11585e-15 1.91161e-17 1
SPEC: 4374.35 4379.85 1.01123e-15 1.87494e-17 1
SPEC: 4379.85 4385.35 1.00884e-15 1.84934e-17 1
SPEC: 4385.35 4390.85 9.99714e-16 1.82723e-17 1
SPEC: 4390.85 4396.35 9.88950e-16 1.81143e-17 1
SPEC: 4396.45 4401.95 9.81191e-16 1.80789e-17 1
SPEC: 4401.95 4407.45 9.57957e-16 1.79783e-17 1
SPEC: 4407.45 4412.95 9.34356e-16 1.80150e-17 1
SPEC: 4412.95 4418.45 9.14981e-16 1.79695e-17 1
SPEC: 4418.55 4424.05 9.08489e-16 1.79331e-17 1
SPEC: 4424.05 4429.55 8.63643e-16 1.78669e-17 1
SPEC: 4429.55 4435.05 8.32257e-16 1.78245e-17 1
SPEC: 4435.05 4440.55 8.25539e-16 1.78647e-17 1
SPEC: 4440.65 4446.15 8.25527e-16 1.79482e-17 1
SPEC: 4446.15 4451.65 8.18900e-16 1.81419e-17 1
SPEC: 4451.65 4457.15 8.09785e-16 1.81547e-17 1
SPEC: 4457.15 4462.65 8.20302e-16 1.82997e-17 1
SPEC: 4462.65 4468.15 7.90837e-16 1.85086e-17 1
SPEC: 4468.25 4473.75 8.07958e-16 1.87338e-17 1
SPEC: 4473.75 4479.25 7.97262e-16 1.89788e-17 1
SPEC: 4479.25 4484.75 8.17034e-16 1.91632e-17 1
SPEC: 4484.75 4490.25 8.44593e-16 1.95027e-17 1
SPEC: 4490.35 4495.85 8.55216e-16 1.97957e-17 1
SPEC: 4495.85 4501.35 8.43571e-16 2.01491e-17 1
SPEC: 4501.35 4506.85 8.54687e-16 2.03707e-17 1
SPEC: 4506.85 4512.35 8.30285e-16 2.06622e-17 1
SPEC: 4512.45 4517.95 8.43761e-16 2.09214e-17 1
SPEC: 4517.95 4523.45 9.11777e-16 2.12317e-17 1
SPEC: 4523.45 4528.95 9.08023e-16 2.15041e-17 1
SPEC: 4528.95 4534.45 8.99949e-16 2.17556e-17 1
SPEC: 4534.55 4540.05 9.09584e-16 2.20794e-17 1
SPEC: 4540.05 4545.55 9.16162e-16 2.22771e-17 1
SPEC: 4545.55 4551.05 9.32704e-16 2.24795e-17 1
SPEC: 4551.05 4556.55 9.27074e-16 2.26417e-17 1
SPEC: 4556.65 4562.15 9.40779e-16 2.28552e-17 1
SPEC: 4562.15 4567.65 8.58461e-16 2.29576e-17 1
SPEC: 4567.65 4573.15 8.70123e-16 2.30285e-17 1
SPEC: 4573.15 4578.65 8.77403e-16 2.31652e-17 1
SPEC: 4578.65 4584.15 8.64021e-16 2.31817e-17 1
SPEC: 4584.25 4589.75 8.47230e-16 2.32389e-17 1
SPEC: 4589.75 4595.25 8.33038e-16 2.32481e-17 1
SPEC: 4595.25 4600.75 8.78785e-16 2.32465e-17 1
SPEC: 4600.85 4606.35 9.30396e-16 2.31544e-17 1
SPEC: 4606.35 4611.85 8.80720e-16 2.31754e-17 1
SPEC: 4611.85 4617.35 9.08016e-16 2.30982e-17 1
SPEC: 4617.35 4622.85 9.52061e-16 2.30445e-17 1
SPEC: 4622.85 4628.35 9.81592e-16 2.29510e-17 1
SPEC: 4628.45 4633.95 1.01871e-15 2.27801e-17 1
SPEC: 4633.95 4639.45 1.01992e-15 2.26668e-17 1
SPEC: 4639.45 4644.95 1.02573e-15 2.25310e-17 1
SPEC: 4644.95 4650.45 1.03610e-15 2.23953e-17 1
SPEC: 4650.55 4656.05 1.06615e-15 2.22816e-17 1
SPEC: 4656.05 4661.55 1.06277e-15 2.21573e-17 1
SPEC: 4661.55 4667.05 1.05705e-15 2.20464e-17 1
SPEC: 4667.05 4672.55 1.12716e-15 2.18811e-17 1
SPEC: 4672.65 4678.15 1.04296e-15 2.17746e-17 1
SPEC: 4678.15 4683.65 1.09501e-15 2.16383e-17 1
SPEC: 4683.65 4689.15 1.07146e-15 2.15365e-17 1
SPEC: 4689.15 4694.65 1.08486e-15 2.13851e-17 1
SPEC: 4694.65 4700.15 1.06026e-15 2.13284e-17 1
SPEC: 4700.25 4705.75 1.06409e-15 2.11942e-17 1
SPEC: 4705.75 4711.25 1.07750e-15 2.11326e-17 1
SPEC: 4711.25 4716.75 1.04757e-15 2.10869e-17 1
SPEC: 4716.85 4722.35 1.03295e-15 2.10289e-17 1
SPEC: 4722.35 4727.85 1.03470e-15 2.10043e-17 1
SPEC: 4727.85 4733.35 1.02252e-15 2.09395e-17 1
SPEC: 4733.35 4738.85 1.07704e-15 2.09421e-17 1
SPEC: 4738.85 4744.35 1.07162e-15 2.09129e-17 1
SPEC: 4744.45 4749.95 1.04893e-15 2.09209e-17 1
SPEC: 4749.95 4755.45 1.06096e-15 2.09001e-17 1
SPEC: 4755.45 4760.95 1.04626e-15 2.09531e-17 1
SPEC: 4760.95 4766.45 1.04474e-15 2.09133e-17 1
SPEC: 4766.55 4772.05 1.05013e-15 2.09938e-17 1
SPEC: 4772.05 4777.55 1.04422e-15 2.11035e-17 1
SPEC: 4777.55 4783.05 1.00750e-15 2.11153e-17 1
SPEC: 4783.05 4788.55 1.00393e-15 2.11364e-17 1
SPEC: 4788.65 4794.15 9.63983e-16 2.12142e-17 1
SPEC: 4794.15 4799.65 9.79798e-16 2.13296e-17 1
SPEC: 4799.65 4805.15 9.22308e-16 2.13861e-17 1
SPEC: 4805.15 4810.65 9.52037e-16 2.14146e-17 1
SPEC: 4810.75 4816.25 8.63081e-16 2.15348e-17 1
SPEC: 4816.25 4821.75 8.85982e-16 2.15937e-17 1
SPEC: 4821.75 4827.25 8.39502e-16 2.16889e-17 1
SPEC: 4827.25 4832.75 8.34818e-16 2.17955e-17 1
SPEC: 4832.85 4838.35 7.60778e-16 2.18847e-17 1
SPEC: 4838.35 4843.85 8.23289e-16 2.18844e-17 1
SPEC: 4843.85 4849.35 7.93568e-16 2.20254e-17 1
SPEC: 4849.35 4854.85 8.11810e-16 2.21147e-17 1
SPEC: 4854.85 4860.35 8.03302e-16 2.21524e-17 1
SPEC: 4860.45 4865.95 8.06537e-16 2.22715e-17 1
SPEC: 4865.95 4871.45 8.02802e-16 2.23651e-17 1
SPEC: 4871.45 4876.95 8.01638e-16 2.24147e-17 1
SPEC: 4876.95 4882.45 8.14076e-16 2.25645e-17 1
SPEC: 4882.55 4888.05 8.17701e-16 2.26423e-17 1
SPEC: 4888.05 4893.55 7.93710e-16 2.27404e-17 1
SPEC: 4893.55 4899.05 7.54851e-16 2.28357e-17 1
SPEC: 4899.05 4904.55 7.22475e-16 2.28998e-17 1
SPEC: 4904.65 4910.15 7.58214e-16 2.29970e-17 1
SPEC: 4910.15 4915.65 7.13470e-16 2.29829e-17 1
SPEC: 4915.65 4921.15 6.85768e-16 2.34127e-17 1
SPEC: 4921.15 4926.65 7.30891e-16 2.31364e-17 1
SPEC: 4926.75 4932.25 7.29124e-16 2.32136e-17 1
SPEC: 4932.25 4937.75 7.05778e-16 2.32912e-17 1
SPEC: 4937.75 4943.25 7.32119e-16 2.33311e-17 1
SPEC: 4943.25 4948.75 6.97034e-16 2.32980e-17 1
SPEC: 4948.85 4954.35 6.83724e-16 2.34039e-17 1
SPEC: 4954.35 4959.85 7.15925e-16 2.33200e-17 1
SPEC: 4959.85 4965.35 7.59090e-16 2.33381e-17 1
SPEC: 4965.35 4970.85 7.19568e-16 2.32955e-17 1
SPEC: 4970.85 4976.35 7.43775e-16 2.32609e-17 1
SPEC: 4976.45 4981.95 6.90798e-16 2.31809e-17 1
SPEC: 4981.95 4987.45 7.04075e-16 2.31039e-17 1
SPEC: 4987.45 4992.95 7.06305e-16 2.30404e-17 1
SPEC: 4993.05 4998.55 6.64122e-16 2.29187e-17 1
SPEC: 4998.55 5004.05 6.68700e-16 2.28568e-17 1
SPEC: 5004.05 5009.55 6.10338e-16 2.26937e-17 1
SPEC: 5009.55 5015.05 6.15258e-16 2.25389e-17 1
SPEC: 5015.05 5020.55 5.80746e-16 2.24511e-17 1
SPEC: 5020.65 5026.15 5.95825e-16 2.22608e-17 1
SPEC: 5026.15 5031.65 5.82708e-16 2.20983e-17 1
SPEC: 5031.65 5037.15 5.49913e-16 2.19061e-17 1
SPEC: 5037.15 5042.65 5.64625e-16 2.16145e-17 1
SPEC: 5042.75 5048.25 5.40145e-16 2.14261e-17 1
SPEC: 5048.25 5053.75 5.83558e-16 2.12567e-17 1
SPEC: 5053.75 5059.25 5.89293e-16 2.10408e-17 1
SPEC: 5059.25 5064.75 6.36936e-16 2.08085e-17 1
SPEC: 5064.85 5070.35 6.68052e-16 2.06330e-17 1
SPEC: 5070.35 5075.85 6.62220e-16 2.02827e-17 1
SPEC: 5075.85 5081.35 6.78291e-16 2.00601e-17 1
SPEC: 5081.35 5086.85 6.65229e-16 1.98139e-17 1
SPEC: 5086.85 5092.35 6.60396e-16 1.96103e-17 1
SPEC: 5092.45 5097.95 6.41669e-16 1.93793e-17 1
SPEC: 5097.95 5103.45 6.80957e-16 1.91127e-17 1
SPEC: 5103.45 5108.95 6.68708e-16 1.89354e-17 1
SPEC: 5109.05 5114.55 6.64913e-16 1.87022e-17 1
SPEC: 5114.55 5120.05 6.63161e-16 1.85545e-17 1
SPEC: 5120.05 5125.55 6.72609e-16 1.83317e-17 1
SPEC: 5125.55 5131.05 6.88142e-16 1.81736e-17 1
SPEC: 5131.05 5136.55 6.51194e-16 1.80154e-17 1
SPEC: 5136.65 5142.15 6.55257e-16 1.78216e-17 1
SPEC: 5142.15 5147.65 6.58580e-16 1.77779e-17 1
SPEC: 5147.65 5153.15 6.30697e-16 1.76705e-17 1
SPEC: 5153.15 5158.65 6.30074e-16 1.75458e-17 1
SPEC: 5158.75 5164.25 6.49444e-16 1.74941e-17 1
SPEC: 5164.25 5169.75 6.32906e-16 1.73649e-17 1
SPEC: 5169.75 5175.25 6.43866e-16 1.73435e-17 1
SPEC: 5175.25 5180.75 6.84806e-16 1.73685e-17 1
SPEC: 5180.85 5186.35 6.79640e-16 1.72581e-17 1
SPEC: 5186.35 5191.85 6.63521e-16 1.74275e-17 1
SPEC: 5191.85 5197.35 6.82975e-16 1.76566e-17 1
SPEC: 5197.35 5202.85 7.08191e-16 1.82953e-17 1
SPEC: 5202.95 5208.45 7.07423e-16 1.74999e-17 1
SPEC: 5208.45 5213.95 6.99217e-16 1.75004e-17 1
SPEC: 5213.95 5219.45 7.01600e-16 1.75915e-17 1
SPEC: 5219.45 5224.95 7.08865e-16 1.77325e-17 1
SPEC: 5225.05 5230.55 7.03737e-16 1.76733e-17 1
SPEC: 5230.55 5236.05 7.22407e-16 1.78051e-17 1
SPEC: 5236.05 5241.55 7.55197e-16 1.80448e-17 1
SPEC: 5241.55 5247.05 7.38640e-16 1.80289e-17 1
SPEC: 5247.15 5252.65 7.33090e-16 1.82120e-17 1
SPEC: 5252.65 5258.15 8.05901e-16 1.84163e-17 1
SPEC: 5258.15 5263.65 8.02601e-16 1.84679e-17 1
SPEC: 5263.65 5269.15 8.17580e-16 1.85382e-17 1
SPEC: 5269.15 5274.65 8.21638e-16 1.87234e-17 1
SPEC: 5274.75 5280.25 8.45818e-16 1.89263e-17 1
SPEC: 5280.25 5285.75 8.44713e-16 1.89878e-17 1
SPEC: 5285.75 5291.25 8.68629e-16 1.91555e-17 1
SPEC: 5291.25 5296.75 8.69795e-16 1.92993e-17 1
SPEC: 5296.85 5302.35 8.28983e-16 1.94794e-17 1
SPEC: 5302.35 5307.85 8.48989e-16 1.96679e-17 1
SPEC: 5307.85 5313.35 8.36444e-16 1.97965e-17 1
SPEC: 5313.35 5318.85 8.36392e-16 1.99465e-17 1
SPEC: 5318.95 5324.45 8.08812e-16 2.00800e-17 1
SPEC: 5324.45 5329.95 7.90916e-16 2.01822e-17 1
SPEC: 5329.95 5335.45 8.29512e-16 2.03492e-17 1
SPEC: 5335.45 5340.95 8.17261e-16 2.05065e-17 1
SPEC: 5341.05 5346.55 8.04626e-16 2.06391e-17 1
SPEC: 5346.55 5352.05 7.75159e-16 2.08297e-17 1
SPEC: 5352.05 5357.55 7.92851e-16 2.09641e-17 1
SPEC: 5357.55 5363.05 7.93672e-16 2.10433e-17 1
SPEC: 5363.15 5368.65 8.33741e-16 2.11650e-17 1
SPEC: 5368.65 5374.15 7.94984e-16 2.12763e-17 1
SPEC: 5374.15 5379.65 8.05451e-16 2.13611e-17 1
SPEC: 5379.65 5385.15 7.98449e-16 2.14191e-17 1
SPEC: 5385.15 5390.65 8.00670e-16 2.15089e-17 1
SPEC: 5390.75 5396.25 8.34426e-16 2.15360e-17 1
SPEC: 5396.25 5401.75 7.80831e-16 2.15881e-17 1
SPEC: 5401.75 5407.25 7.60487e-16 2.16077e-17 1
SPEC: 5407.25 5412.75 7.07632e-16 2.16634e-17 1
SPEC: 5412.85 5418.35 6.61124e-16 2.16834e-17 1
SPEC: 5418.35 5423.85 6.64928e-16 2.16818e-17 1
SPEC: 5423.85 5429.35 6.28973e-16 2.16751e-17 1
SPEC: 5429.35 5434.85 6.12749e-16 2.15760e-17 1
SPEC: 5434.95 5440.45 5.74963e-16 2.16031e-17 1
SPEC: 5440.45 5445.95 5.65941e-16 2.15453e-17 1
SPEC: 5445.95 5451.45 5.06702e-16 2.14607e-17 1
SPEC: 5451.45 5456.95 4.58023e-16 2.13706e-17 1
SPEC: 5457.05 5462.55 5.21941e-16 2.13220e-17 1
SPEC: 5462.55 5468.05 4.99217e-16 2.12192e-17 1
SPEC: 5468.05 5473.55 4.86849e-16 2.10922e-17 1
SPEC: 5473.55 5479.05 5.40694e-16 2.10182e-17 1
SPEC: 5479.15 5484.65 4.99128e-16 2.09319e-17 1
SPEC: 5484.65 5490.15 5.10753e-16 2.07884e-17 1
