SURVEY: FOUNDATION
SNTYPE: 1
SNID: iPTF16auf
RA: 217.7884472
DECL: 27.2360178
MWEBV: 0.0131 +- 0.0007
FILTERS: griz
REDSHIFT_HELIO: 0.0150180 +- 0.0000050
REDSHIFT_FINAL: 0.0156540 +- 0.0000050
SEARCH_PEAKMJD: 57538.43921
HOSTGAL_LOGMASS: 9.067 +- 0.017
VPEC: -98.463
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 41
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57523.30907      g    NULL    12037.109        235.468    17.299     0.021  2.20
OBS:  57527.32031      g    NULL    31367.976        537.152    16.259     0.019  2.94
OBS:  57536.26593      g    NULL    73937.378       1074.583    15.328     0.016  1.50
OBS:  57538.43921      g    NULL    77177.020       1115.485    15.281     0.016  1.58
OBS:  57543.26244      g    NULL    69804.650       1019.195    15.390     0.016  2.26
OBS:  57555.26941      g    NULL    28553.697        464.325    16.361     0.018  2.03
OBS:  57566.34738      g    NULL    12001.620        220.030    17.302     0.020  1.67
OBS:  57523.30946      r    NULL    11892.600        216.510    17.312     0.020  1.99
OBS:  57527.32070      r    NULL    28162.340        453.573    16.376     0.017  2.38
OBS:  57536.26633      r    NULL    65470.653        944.077    15.460     0.016  1.47
OBS:  57538.43961      r    NULL    73701.285       1054.214    15.331     0.016  1.50
OBS:  57543.26284      r    NULL    74349.864       1069.353    15.322     0.016  1.99
OBS:  57555.26979      r    NULL    44387.851        677.549    15.882     0.017  1.92
OBS:  57566.34778      r    NULL    32943.918        495.779    16.206     0.016  1.55
OBS:  57535.41715      r    NULL    69878.015        978.386    15.389     0.015  1.94
OBS:  57535.42788      r    NULL    70692.484        989.678    15.377     0.015  2.01
OBS:  57535.43924      r    NULL    70388.225        986.267    15.381     0.015  2.15
OBS:  57535.44999      r    NULL    70286.438        985.717    15.383     0.015  2.30
OBS:  57549.39003      r    NULL    53184.106        747.011    15.686     0.015  2.79
OBS:  57549.40161      r    NULL    52179.615        733.223    15.706     0.015  2.82
OBS:  57549.41320      r    NULL    53776.940        754.558    15.674     0.015  2.12
OBS:  57549.42477      r    NULL    52646.634        739.449    15.697     0.015  2.48
OBS:  57523.30982      i    NULL     9263.553        187.968    17.583     0.022  1.89
OBS:  57527.32107      i    NULL    23337.635        392.824    16.580     0.018  2.34
OBS:  57536.26669      i    NULL    46968.372        693.190    15.820     0.016  1.57
OBS:  57538.43997      i    NULL    47118.204        689.297    15.817     0.016  1.66
OBS:  57543.26320      i    NULL    42425.669        629.233    15.931     0.016  1.72
OBS:  57555.27015      i    NULL    30238.076        483.666    16.299     0.017  1.76
OBS:  57566.34814      i    NULL    29718.686        450.308    16.317     0.016  1.41
OBS:  57558.33890      i    NULL    28822.872        420.338    16.351     0.016  2.29
OBS:  57558.35043      i    NULL    29223.116        422.533    16.336     0.016  1.96
OBS:  57558.36197      i    NULL    28771.963        419.026    16.353     0.016  1.93
OBS:  57558.37345      i    NULL    29582.328        428.966    16.322     0.016  2.00
OBS:  57523.31018      z    NULL     9110.571        232.967    17.601     0.028  2.01
OBS:  57527.32142      z    NULL    21187.547        401.813    16.685     0.021  2.18
OBS:  57536.26704      z    NULL    49129.341        747.050    15.772     0.016  1.35
OBS:  57538.44033      z    NULL    49920.606        746.722    15.754     0.016  1.28
OBS:  57543.26356      z    NULL    45122.416        694.861    15.864     0.017  1.57
OBS:  57555.27053      z    NULL    36576.617        597.118    16.092     0.018  2.01
OBS:  57566.34850      z    NULL    30766.820        488.558    16.280     0.017  1.40
OBS:  57493.62478      z    NULL     -276.374        133.293       nan     0.521  2.27
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57521.00
SPEC: 3436.25 3438.95 6.85520e-17 1.37990e-16 0
SPEC: 3438.95 3441.65 2.53111e-16 1.38605e-16 0
SPEC: 3441.65 3444.35 2.25581e-16 1.39188e-16 0
SPEC: 3444.35 3447.05 2.34007e-16 1.39738e-16 0
SPEC: 3447.05 3449.75 1.45367e-16 1.40250e-16 0
SPEC: 3449.75 3452.45 2.29948e-16 1.40722e-16 0
SPEC: 3452.45 3455.15 2.07240e-16 1.41153e-16 0
SPEC: 3455.15 3457.85 3.26643e-16 1.41538e-16 0
SPEC: 3457.85 3460.55 3.19841e-16 1.41876e-16 0
SPEC: 3460.55 3463.25 3.43202e-16 1.42164e-16 0
SPEC: 3463.25 3465.95 5.81941e-16 1.42400e-16 0
SPEC: 3465.95 3468.65 1.47806e-16 1.42582e-16 0
SPEC: 3468.65 3471.35 3.93469e-16 1.42707e-16 0
SPEC: 3471.35 3474.05 5.46615e-18 1.42774e-16 0
SPEC: 3474.05 3476.75 1.81521e-16 1.42780e-16 0
SPEC: 3476.75 3479.45 3.38612e-16 1.42725e-16 0
SPEC: 3479.45 3482.15 3.18657e-16 1.42607e-16 0
SPEC: 3482.25 3484.95 3.31822e-16 1.42425e-16 0
SPEC: 3484.95 3487.65 5.06694e-16 1.42178e-16 0
SPEC: 3487.65 3490.35 3.81635e-16 1.41865e-16 0
SPEC: 3490.35 3493.05 1.57106e-16 1.41487e-16 0
SPEC: 3493.05 3495.75 6.32449e-17 1.41044e-16 0
SPEC: 3495.85 3498.55 1.22951e-16 1.40535e-16 0
SPEC: 3498.55 3501.25 1.36863e-16 1.39961e-16 0
SPEC: 3501.25 3503.95 4.54487e-16 1.39324e-16 0
SPEC: 3503.95 3506.65 2.80738e-16 1.38624e-16 0
SPEC: 3506.75 3509.45 4.34963e-16 1.37864e-16 0
SPEC: 3509.45 3512.15 5.50518e-17 1.37045e-16 0
SPEC: 3512.25 3514.95 3.07309e-16 1.36169e-16 0
SPEC: 3514.95 3517.65 2.88364e-16 1.35240e-16 0
SPEC: 3517.65 3520.35 3.95134e-16 1.34258e-16 0
SPEC: 3520.45 3523.15 1.52126e-16 1.33229e-16 0
SPEC: 3523.15 3525.85 2.26715e-16 1.32154e-16 0
SPEC: 3525.95 3528.65 2.96762e-16 1.31038e-16 0
SPEC: 3528.65 3531.35 2.55876e-16 1.29883e-16 0
SPEC: 3531.45 3534.15 -1.94456e-17 1.28693e-16 0
SPEC: 3534.15 3536.85 3.47461e-16 1.27473e-16 0
SPEC: 3536.95 3539.65 2.37165e-16 1.26225e-16 0
SPEC: 3539.65 3542.35 2.17112e-16 1.24954e-16 0
SPEC: 3542.45 3545.15 -4.17917e-17 1.23662e-16 0
SPEC: 3545.25 3547.95 2.06487e-16 1.22355e-16 0
SPEC: 3547.95 3550.65 2.87023e-16 1.21035e-16 0
SPEC: 3550.75 3553.45 2.61505e-16 1.19707e-16 0
SPEC: 3553.55 3556.25 3.33938e-16 1.18372e-16 0
SPEC: 3556.25 3558.95 2.57253e-16 1.17035e-16 0
SPEC: 3559.05 3561.75 1.82076e-16 1.15699e-16 0
SPEC: 3561.85 3564.55 2.21850e-16 1.14366e-16 0
SPEC: 3564.55 3567.25 3.67147e-16 1.13039e-16 0
SPEC: 3567.35 3570.05 3.99177e-16 1.11720e-16 0
SPEC: 3570.15 3572.85 2.07656e-16 1.10411e-16 0
SPEC: 3572.95 3575.65 4.32450e-16 1.09115e-16 0
SPEC: 3575.75 3578.45 2.41667e-16 1.07832e-16 0
SPEC: 3578.45 3581.15 2.92418e-16 1.06565e-16 0
SPEC: 3581.25 3583.95 3.12173e-16 1.05313e-16 0
SPEC: 3584.05 3586.75 3.75240e-16 1.04078e-16 0
SPEC: 3586.85 3589.55 2.97009e-16 1.02862e-16 0
