SURVEY: SNLS3_LC
SNID: 05D4fo
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0262 MW E(B-V)
REDSHIFT_HELIO: 0.373 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53658.214
FILTERS: griz

NOBS: 75
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53617.420 g  NULL    0.2181 0.8726
OBS: 53622.340 g  NULL    0.2339 0.9958
OBS: 53624.390 g  NULL    -2.8881 1.2066
OBS: 53639.310 g  NULL    5.6659 1.0959
OBS: 53642.290 g  NULL    18.5421 0.8845
OBS: 53648.310 g  NULL    64.9667 0.9592
OBS: 53651.300 g  NULL    82.2630 1.0029
OBS: 53654.290 g  NULL    91.2387 2.1755
OBS: 53666.340 g  NULL    53.8232 1.1884
OBS: 53670.230 g  NULL    41.1261 0.8991
OBS: 53674.290 g  NULL    27.7730 0.9913
OBS: 53678.270 g  NULL    18.5410 1.0428
OBS: 53700.200 g  NULL    4.5004 0.7280
OBS: 53705.240 g  NULL    4.0048 0.9976
OBS: 53915.560 g  NULL    2.6707 2.2629
OBS: 53916.510 g  NULL    0.0167 1.3457
OBS: 53921.510 g  NULL    -0.1664 1.3804
OBS: 53617.370 i  NULL    2.9276 2.0686
OBS: 53622.340 i  NULL    -0.6517 2.0319
OBS: 53624.320 i  NULL    -6.6084 1.9829
OBS: 53639.290 i  NULL    15.5509 2.0179
OBS: 53642.250 i  NULL    30.6427 2.0716
OBS: 53647.340 i  NULL    74.1562 1.3448
OBS: 53651.260 i  NULL    108.5466 2.1987
OBS: 53654.240 i  NULL    126.3162 2.4518
OBS: 53666.270 i  NULL    123.4591 2.3935
OBS: 53667.330 i  NULL    124.8030 3.1428
OBS: 53670.210 i  NULL    110.5179 2.1503
OBS: 53674.230 i  NULL    90.9279 1.6803
OBS: 53678.200 i  NULL    81.1063 2.7788
OBS: 53681.210 i  NULL    72.0323 1.5042
OBS: 53699.220 i  NULL    36.1408 1.3601
OBS: 53705.220 i  NULL    23.6802 1.8460
OBS: 53709.200 i  NULL    23.7370 3.4962
OBS: 53888.600 i  NULL    5.3592 2.0566
OBS: 53908.600 i  NULL    2.3456 6.8153
OBS: 53909.550 i  NULL    3.1036 2.1886
OBS: 53913.520 i  NULL    7.5537 3.8057
OBS: 53914.540 i  NULL    5.0298 7.4838
OBS: 53915.540 i  NULL    5.2704 3.0483
OBS: 53920.500 i  NULL    2.2533 1.9242
OBS: 53617.400 r  NULL    1.0236 1.0337
OBS: 53622.390 r  NULL    -0.2529 1.6296
OBS: 53624.360 r  NULL    -0.1482 1.6557
OBS: 53639.350 r  NULL    14.8497 1.6841
OBS: 53642.270 r  NULL    33.5433 1.3760
OBS: 53648.260 r  NULL    91.0016 1.6566
OBS: 53651.280 r  NULL    124.8479 1.4597
OBS: 53654.270 r  NULL    138.2604 2.0413
OBS: 53666.320 r  NULL    118.8069 1.8482
OBS: 53670.250 r  NULL    95.3766 1.5128
OBS: 53674.270 r  NULL    73.4847 1.5503
OBS: 53678.240 r  NULL    58.1924 1.9240
OBS: 53681.250 r  NULL    42.7418 1.5156
