SURVEY:     DES                                     
SNID:       1300516             
IAUC:       NULL                
FILTERS:    griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            34.546364               # deg
DECL:          -5.010114               # deg
MWEBV:        0.018                    # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     56948.355
REDSHIFT_FINAL:   0.3104 +-  0.0050    # (CMB)
REDSHIFT_HELIO:   0.3115 +-  0.0050    # (HELIO)
  
HOSTGAL_OBJID:        34657
HOSTGAL_PHOTOZ:    0.4494 +-  0.0500   # (HELIO)
HOSTGAL_SPECZ:     0.3115 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.2500              # arcSec
HOSTGAL_LOGMASS:     9.5570 +-  0.0975 # log10(M/Msolar)
HOSTGAL_MAG:            23.38    22.12    21.66    21.34    # griz
HOSTGAL_SB_FLUXCAL:      9.02    29.28    47.32    62.20    # griz
  
# Private variables
PRIVATE(DES_mjd_latest_ml):         57037.091
PRIVATE(DES_mjd_trigger):           56934.355
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  69
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 56980.059  z  X1    95.740      11.548    30.644 1.569  25.13 4.100      0 1.050 
OBS: 56986.172  r  X1    39.317      56.943    27.989 1.960  13.83 3.900 131072 0.930 
OBS: 56987.057  g  X1    9.9009      4.1463    30.742 2.250   8.69 3.720      0 0.950 
OBS: 56987.059  r  X1    43.456      6.8774    30.807 2.240  12.12 3.850      0 0.980 
OBS: 56987.061  i  X1    96.433      10.694    31.029 2.000  23.05 4.040      0 0.910 
OBS: 56987.064  z  X1    109.63      13.144    30.713 1.997  23.77 4.060      0 1.000 
OBS: 56990.062  i  X1    72.836      25.602    30.501 2.070  32.49 4.120      0 1.020 
OBS: 56990.063  z  X1    174.64      54.442    29.673 2.311  31.35 4.110 131072 1.040 
OBS: 57001.037  g  X1    2.7804      4.7152    30.742 2.100  10.48 3.860      0 1.060 
OBS: 57001.039  r  X1    25.297      6.0009    30.793 2.000  11.66 3.830      0 0.990 
OBS: 57001.041  i  X1    40.564      10.164    31.006 1.900  21.86 4.070      0 0.940 
OBS: 57001.044  z  X1    47.200      12.140    30.662 1.880  21.82 4.080      0 1.030 
OBS: 57005.035  g  X1   -1.5490      8.0069    30.757 2.580  13.85 3.990      0 0.980 
OBS: 57005.037  r  X1    19.067      7.1354    30.790 2.190  13.44 3.890      0 1.150 
OBS: 57005.039  i  X1    56.401      11.143    31.013 1.980  23.17 4.030      0 0.990 
OBS: 57005.042  z  X1    36.521      14.099    30.711 2.094  23.36 4.081      0 1.040 
OBS: 57012.040  g  X1    7.5010      9.6597    30.592 3.560  11.32 3.910      0 0.980 
OBS: 57012.043  r  X1    15.330      17.315    30.181 3.290  12.65 3.870      0 1.150 
OBS: 57012.045  i  X1    20.105      26.125    30.472 3.480  19.88 4.100      0 0.990 
OBS: 57012.047  z  X1    5.4710      23.146    30.444 3.479  18.24 4.117      0 1.000 
OBS: 57014.042  g  X1    11.087      6.2211    30.720 2.720  11.12 3.900      0 1.110 
OBS: 57014.044  r  X1    16.405      8.9466    30.803 2.750  12.60 3.870      0 1.040 
OBS: 57014.046  i  X1    41.017      11.058    31.005 2.230  20.12 4.100      0 1.020 
OBS: 57014.049  z  X1    31.717      11.944    30.693 2.203  19.42 4.095      0 1.140 
OBS: 57018.085  g  X1    8.2860      6.6753    30.669 2.740  11.43 3.910      0 0.910 
OBS: 57018.088  r  X1    14.087      8.3641    30.771 2.500  13.57 3.890      0 0.950 
OBS: 57018.090  i  X1    43.806      11.858    30.993 2.210  23.87 4.040      0 1.020 
OBS: 57018.093  z  X1    41.442      12.941    30.636 1.955  23.49 4.085      0 1.000 
OBS: 57025.086  g  X1   -18.948      25.754    30.801 2.480  33.19 4.130      0 1.000 
OBS: 57025.090  i  X1    38.854      17.668    30.992 2.180  37.61 4.140      0 1.110 
OBS: 57025.093  z  X1    33.114      19.397    30.642 2.133  31.27 4.076      0 0.940 
END: 
