SURVEY: Hicken2009_LC
SNID: sn2006s
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.017 MW E(B-V)
REDSHIFT_HELIO: 0.032102 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53770.116
FILTERS: UBVRIfhjklabcde

NOBS: 143
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53764.469 h  NULL    15121.6735 292.4683
OBS: 53765.415 h  NULL    15966.1377 264.6866
OBS: 53766.417 h  NULL    16795.7679 324.8469
OBS: 53767.525 h  NULL    17426.0865 288.8897
OBS: 53768.494 h  NULL    17619.7549 275.8725
OBS: 53771.407 h  NULL    17410.0439 288.6237
OBS: 53778.491 h  NULL    9880.9765 364.0152
OBS: 53786.493 h  NULL    6570.5218 145.2348
OBS: 53796.499 h  NULL    2383.4161 318.2933
OBS: 53797.502 h  NULL    2452.4483 313.9600
OBS: 53798.433 h  NULL    2191.7947 135.2491
OBS: 53799.490 h  NULL    2064.4286 91.2643
OBS: 53800.489 h  NULL    1879.3162 77.8883
OBS: 53803.497 h  NULL    1468.2495 75.7264
OBS: 53818.392 h  NULL    935.8363 70.6762
OBS: 53832.391 h  NULL    428.5484 110.5141
OBS: 53841.276 h  NULL    430.5265 118.9545
OBS: 53858.327 h  NULL    539.5105 126.2098
OBS: 53859.336 h  NULL    421.1142 99.2886
OBS: 53764.472 f  NULL    20455.0243 753.5909
OBS: 53764.476 f  NULL    20342.2974 768.1739
OBS: 53765.418 f  NULL    21958.3650 808.9761
OBS: 53765.421 f  NULL    21897.7756 847.0811
OBS: 53766.420 f  NULL    22908.6765 907.2858
OBS: 53766.424 f  NULL    23313.0986 815.9420
OBS: 53768.497 f  NULL    23637.4161 870.8346
OBS: 53768.501 f  NULL    23768.4029 941.3348
OBS: 53771.410 f  NULL    15995.5803 677.6938
OBS: 53786.486 f  NULL    2716.4393 225.1740
OBS: 53788.523 f  NULL    2805.4336 232.5510
OBS: 53796.492 f  NULL    970.0631 167.0772
OBS: 53796.495 f  NULL    968.2779 164.9861
OBS: 53797.478 f  NULL    834.8338 166.8535
OBS: 53797.498 f  NULL    945.3660 160.2114
OBS: 53798.437 f  NULL    977.2372 162.0124
OBS: 53798.440 f  NULL    1090.4355 161.6968
OBS: 53799.486 f  NULL    782.7084 165.0863
OBS: 53803.504 f  NULL    708.5981 174.2557
OBS: 53818.395 f  NULL    601.4507 151.2301
OBS: 53818.399 f  NULL    565.9786 147.0025
OBS: 53859.329 f  NULL    334.8112 135.9923
OBS: 53859.332 f  NULL    343.8745 142.2073
OBS: 53764.463 j  NULL    15631.4710 201.5522
OBS: 53765.409 j  NULL    16657.1173 214.7769
OBS: 53766.412 j  NULL    17831.9915 279.1955
OBS: 53767.520 j  NULL    18080.0597 233.1243
OBS: 53768.489 j  NULL    18862.5260 243.2134
OBS: 53771.401 j  NULL    18949.5920 279.2412
OBS: 53774.439 j  NULL    18230.5534 302.2261
OBS: 53774.482 j  NULL    18063.4149 282.8189
OBS: 53776.463 j  NULL    16951.1768 265.4046
OBS: 53777.450 j  NULL    16780.3050 247.2746
OBS: 53778.485 j  NULL    16010.3138 309.6555
OBS: 53779.451 j  NULL    15445.4248 298.7300
OBS: 53786.484 j  NULL    10539.0107 223.2479
OBS: 53788.515 j  NULL    9808.4381 162.6043
OBS: 53796.489 j  NULL    6969.4716 121.9588
OBS: 53797.475 j  NULL    6680.3598 153.8153
OBS: 53797.492 j  NULL    6711.1950 129.8012
OBS: 53798.428 j  NULL    6234.4746 120.5810
OBS: 53799.481 j  NULL    6160.2715 119.1458
OBS: 53800.479 j  NULL    5551.3660 143.1586
OBS: 53803.491 j  NULL    4970.4975 105.2900
OBS: 53807.425 j  NULL    2854.9589 155.1356
OBS: 53812.516 j  NULL    2357.2186 162.8249
OBS: 53813.452 j  NULL    2744.0996 116.2565
OBS: 53818.386 j  NULL    2502.6485 103.7223
OBS: 53832.386 j  NULL    2051.1615 68.0083
OBS: 53834.272 j  NULL    2173.7013 102.1009
OBS: 53841.266 j  NULL    1757.1137 148.8838
OBS: 53858.317 j  NULL    1072.5063 77.0467
OBS: 53859.326 j  NULL    984.4640 64.3751
OBS: 53862.174 j  NULL    995.4051 88.9265
OBS: 53867.247 j  NULL    950.6045 120.8199
OBS: 53764.467 l  NULL    11251.2303 227.9724
OBS: 53765.413 l  NULL    11313.5793 177.1367
OBS: 53766.416 l  NULL    11303.1634 187.3838
OBS: 53767.524 l  NULL    10995.1215 212.6566
OBS: 53768.493 l  NULL    10894.3173 190.6397
OBS: 53776.462 l  NULL    9196.0225 177.8603
OBS: 53777.448 l  NULL    8120.8226 186.9819
OBS: 53779.449 l  NULL    7331.6213 270.0969
OBS: 53779.463 l  NULL    7564.8448 188.1150
OBS: 53781.461 l  NULL    6956.6479 230.6546
OBS: 53786.482 l  NULL    5035.0064 166.9407
OBS: 53788.519 l  NULL    5058.2470 144.4180
OBS: 53796.488 l  NULL    5986.8727 148.8756
OBS: 53797.474 l  NULL    5706.8969 215.4981
OBS: 53797.491 l  NULL    5802.2979 181.6932
OBS: 53798.432 l  NULL    6086.9540 112.1217
OBS: 53799.479 l  NULL    6171.6321 147.7859
OBS: 53800.477 l  NULL    6103.7962 168.6479
OBS: 53803.495 l  NULL    5861.3820 145.7550
OBS: 53807.424 l  NULL    4920.3956 172.2040
OBS: 53807.440 l  NULL    4479.1956 123.7602
OBS: 53808.339 l  NULL    4184.0805 200.3840
OBS: 53811.421 l  NULL    3847.6895 283.4978
OBS: 53812.515 l  NULL    3732.5018 199.3828
OBS: 53813.450 l  NULL    3627.4383 183.7479
OBS: 53818.390 l  NULL    2992.2649 115.7468
OBS: 53832.390 l  NULL    1541.7006 224.3452
OBS: 53834.271 l  NULL    1693.5578 263.6006
OBS: 53838.244 l  NULL    1077.4572 227.2454
OBS: 53841.264 l  NULL    917.9098 161.4704
OBS: 53858.316 l  NULL    643.2800 68.1330
OBS: 53859.325 l  NULL    626.3254 83.6426
OBS: 53862.172 l  NULL    543.0002 96.0198
OBS: 53866.297 l  NULL    534.5644 97.4821
OBS: 53764.466 k  NULL    14791.0853 217.9614
OBS: 53765.411 k  NULL    15995.5816 235.7109
OBS: 53766.414 k  NULL    16565.3275 244.1067
OBS: 53767.522 k  NULL    17458.2228 241.1853
OBS: 53768.491 k  NULL    17864.8774 246.8033
OBS: 53776.460 k  NULL    16474.0370 318.6243
OBS: 53777.447 k  NULL    16383.2491 241.4236
OBS: 53778.481 k  NULL    16010.3210 294.9101
OBS: 53779.448 k  NULL    14561.2956 254.8081
OBS: 53779.461 k  NULL    14941.7005 316.5100
OBS: 53781.459 k  NULL    13073.7458 252.8593
OBS: 53786.480 k  NULL    10289.6367 170.5816
OBS: 53788.517 k  NULL    9808.4421 198.7387
OBS: 53796.486 k  NULL    8613.9040 158.6681
OBS: 53797.472 k  NULL    8765.9706 145.3223
OBS: 53797.489 k  NULL    8356.0307 169.3099
OBS: 53798.430 k  NULL    8332.9745 145.8187
OBS: 53799.477 k  NULL    8165.8246 165.4559
OBS: 53800.476 k  NULL    7461.0514 158.0474
OBS: 53803.494 k  NULL    6717.3818 142.2943
OBS: 53807.422 k  NULL    5576.9922 159.2287
OBS: 53808.337 k  NULL    4911.3404 176.4104
OBS: 53812.513 k  NULL    4409.6084 215.2462
OBS: 53813.448 k  NULL    3955.4877 138.4342
OBS: 53818.389 k  NULL    3422.9459 104.0336
OBS: 53829.444 k  NULL    2037.9806 161.4203
OBS: 53832.388 k  NULL    2167.7042 105.8121
OBS: 53834.269 k  NULL    1833.1586 96.2353
OBS: 53838.243 k  NULL    1865.5205 323.0111
OBS: 53841.263 k  NULL    1881.0486 102.2143
OBS: 53858.314 k  NULL    1026.1245 68.0444
OBS: 53859.323 k  NULL    1140.7751 73.5458
OBS: 53862.169 k  NULL    1082.4305 84.7381
OBS: 53866.295 k  NULL    901.9865 116.3021
OBS: 53867.243 k  NULL    989.9199 127.6403
END_PHOTOMETRY:

# =============================================
# =============================================
NSPECTRA: 3

NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ


SPECTRUM_ID: 1
SPECTRUM_MJD:  53765.38
SPECTRUM_NLAM:      3470
SPEC:   3384.26   3386.33 4.97100e-01 5.59825e-02 1
SPEC:   3386.33   3388.39 3.99507e-01 5.58837e-02 1
SPEC:   3388.39   3390.46 4.16068e-01 5.57986e-02 1
SPEC:   3390.46   3392.52 5.06793e-01 5.56045e-02 1
SPEC:   3392.52   3394.58 5.24693e-01 5.55421e-02 1
SPEC:   3394.58   3396.65 4.97246e-01 5.54766e-02 1
SPEC:   3396.65   3398.71 4.99968e-01 5.53978e-02 1
SPEC:   3398.71   3400.78 4.39218e-01 5.53712e-02 1
SPEC:   3400.78   3402.84 4.28897e-01 5.52327e-02 1
SPEC:   3402.84   3404.90 4.90601e-01 5.51645e-02 1
SPEC:   3404.90   3406.97 5.63147e-01 5.50978e-02 1
SPEC:   3406.97   3409.03 5.08436e-01 5.50039e-02 1
SPEC:   3409.03   3411.10 5.15658e-01 5.49658e-02 1
SPEC:   3411.10   3413.16 4.32705e-01 5.49916e-02 1
SPEC:   3413.16   3415.23 4.24288e-01 5.50137e-02 1
SPEC:   3415.23   3417.29 4.26069e-01 5.50235e-02 1
SPEC:   3417.29   3419.35 4.25966e-01 5.49623e-02 1
SPEC:   3419.35   3421.42 4.24164e-01 5.49223e-02 1
SPEC:   3421.42   3423.48 4.35674e-01 5.49431e-02 1
SPEC:   3423.48   3425.55 4.50533e-01 5.49165e-02 1
