SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007fb
IAUC:  2007fb
IAUC:    UNKNOWN
RA:   359.21826  deg
DECL:    5.5088611  deg
MWEBV: 0.055600000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.0176 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0163872262159 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0163872262159 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 10.2720 +- 3.866
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54288.5
NOBS: 115
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54288.5     B      md      50816.0    1595.62    15.7350    0.0314000
OBS:      54292.4     B      md      42383.8    885.822    15.9320    0.0209000
OBS:      54297.5     B      md      28379.2    618.666    16.3675    0.0218000
OBS:      54298.5     B      md      26351.2    777.360    16.4480    0.0295000
OBS:      54300.4     B      md      19660.7    381.418    16.7660    0.0194000
OBS:      54310.5     B      md      6237.35    518.323    18.0125    0.0831000
OBS:      54312.5     B      md      6367.96    379.530    17.9900    0.0596000
OBS:      54346.4     B      md      1555.97    352.426    19.5200    0.226500
OBS:      54348.4     B      md      1782.38    187.685    19.3725    0.105300
OBS:      54350.4     B      md      1623.30    391.865    19.4740    0.241400
OBS:      54351.4     B      md      1609.16    150.135    19.4835    0.0933000
OBS:      54352.2     B      md      1576.16    334.776    19.5060    0.212400
OBS:      54353.4     B      md      1631.55    184.202    19.4685    0.112900
OBS:      54354.3     B      md      1488.67    225.534    19.5680    0.151500
OBS:      54355.3     B      md      1571.09    170.306    19.5095    0.108400
OBS:      54357.3     B      md      1411.89    192.440    19.6255    0.136300
OBS:      54361.4     B      md      1360.19    210.014    19.6660    0.154400
OBS:      54363.3     B      md      1332.91    230.993    19.6880    0.173300
OBS:      54372.4     B      md      1532.50    456.224    19.5365    0.297700
OBS:      54375.4     B      md      1332.29    247.674    19.6885    0.185900
OBS:      54377.3     B      md      1190.14    160.074    19.8110    0.134500
OBS:      54379.3     B      md      1702.16    408.177    19.4225    0.239800
OBS:      54394.2     B      md      894.540    244.478    20.1210    0.273300
OBS:      54401.3     B      md      1068.56    297.595    19.9280    0.278500
OBS:      54404.2     B      md      646.249    193.099    20.4740    0.298800
OBS:      54406.2     B      md      727.444    151.745    20.3455    0.208600
OBS:      54407.3     B      md      593.199    170.663    20.5670    0.287700
OBS:      54408.2     B      md      656.447    138.313    20.4570    0.210700
OBS:      54292.4     V      md      48439.6    770.189    15.7870    0.0159000
OBS:      54297.5     V      md      36677.5    575.837    16.0890    0.0157000
OBS:      54298.5     V      md      34450.9    2139.40    16.1570    0.0621000
OBS:      54300.4     V      md      30338.9    543.066    16.2950    0.0179000
OBS:      54310.5     V      md      15212.5    412.258    17.0445    0.0271000
OBS:      54311.5     V      md      12647.4    1104.11    17.2450    0.0873000
OBS:      54312.5     V      md      12882.5    426.411    17.2250    0.0331000
OBS:      54346.4     V      md      3620.76    250.557    18.6030    0.0692000
OBS:      54348.3     V      md      3574.37    201.595    18.6170    0.0564000
OBS:      54350.4     V      md      3107.42    170.598    18.7690    0.0549000
OBS:      54351.4     V      md      3262.87    188.920    18.7160    0.0579000
OBS:      54352.2     V      md      3265.88    214.242    18.7150    0.0656000
OBS:      54353.4     V      md      3198.90    187.775    18.7375    0.0587000
OBS:      54354.3     V      md      2844.46    196.837    18.8650    0.0692000
OBS:      54355.3     V      md      2926.85    183.513    18.8340    0.0627000
OBS:      54357.3     V      md      2764.40    190.467    18.8960    0.0689000
OBS:      54361.4     V      md      2652.16    186.447    18.9410    0.0703000
OBS:      54363.3     V      md      2544.49    194.399    18.9860    0.0764000
OBS:      54368.2     V      md      2524.65    295.384    18.9945    0.117000
OBS:      54372.4     V      md      1803.02    315.889    19.3600    0.175200
OBS:      54375.4     V      md      1687.33    213.954    19.4320    0.126800
OBS:      54377.3     V      md      1545.97    171.911    19.5270    0.111200
OBS:      54379.3     V      md      1855.24    280.698    19.3290    0.151300
OBS:      54394.2     V      md      1212.27    266.821    19.7910    0.220100
OBS:      54401.3     V      md      1564.59    197.295    19.5140    0.126100
OBS:      54406.2     V      md      1053.90    199.503    19.9430    0.189300
OBS:      54407.3     V      md      860.597    162.653    20.1630    0.189000
OBS:      54408.2     V      md      875.791    189.083    20.1440    0.215900
OBS:      54415.2     V      md      756.485    178.152    20.3030    0.235500
OBS:      54292.4     r      md      48039.7    802.263    15.7960    0.0167000
OBS:      54297.5     r      md      32033.2    618.240    16.2360    0.0193000
OBS:      54300.4     r      md      27014.7    540.294    16.4210    0.0200000
OBS:      54310.5     r      md      20464.5    546.401    16.7225    0.0267000
OBS:      54311.5     r      md      19861.0    764.647    16.7550    0.0385000
OBS:      54312.4     r      md      17555.0    416.053    16.8890    0.0237000
OBS:      54313.4     r      md      16550.1    584.218    16.9530    0.0353000
OBS:      54346.4     r      md      3770.51    330.297    18.5590    0.0876000
OBS:      54348.3     r      md      3644.18    209.176    18.5960    0.0574000
OBS:      54350.4     r      md      3637.48    198.970    18.5980    0.0547000
OBS:      54351.4     r      md      3480.17    187.581    18.6460    0.0539000
OBS:      54352.2     r      md      3634.12    209.689    18.5990    0.0577000
OBS:      54353.4     r      md      3047.89    182.569    18.7900    0.0599000
OBS:      54354.3     r      md      3087.45    201.611    18.7760    0.0653000
OBS:      54355.3     r      md      2910.72    197.929    18.8400    0.0680000
OBS:      54357.3     r      md      2744.10    193.185    18.9040    0.0704000
OBS:      54361.4     r      md      2165.71    182.569    19.1610    0.0843000
OBS:      54363.3     r      md      2370.28    169.949    19.0630    0.0717000
OBS:      54372.4     r      md      1684.23    324.719    19.4340    0.192800
OBS:      54375.4     r      md      1520.55    147.645    19.5450    0.0971000
OBS:      54377.3     r      md      1457.47    182.913    19.5910    0.125500
OBS:      54394.2     r      md      650.430    212.040    20.4670    0.326000
OBS:      54401.3     r      md      839.846    230.622    20.1895    0.274600
OBS:      54404.2     r      md      458.353    136.635    20.8470    0.298100
OBS:      54406.2     r      md      550.554    131.692    20.6480    0.239200
OBS:      54407.3     r      md      474.461    151.211    20.8095    0.318700
OBS:      54408.2     r      md      517.369    164.006    20.7155    0.317000
OBS:      54415.2     r      md      298.676    86.5861    21.3120    0.289900
OBS:      54292.4     i      md      28002.7    593.658    16.3820    0.0212000
OBS:      54297.5     i      md      16504.4    458.823    16.9560    0.0278000
OBS:      54298.4     i      md      15332.1    786.534    17.0360    0.0513000
OBS:      54300.4     i      md      15431.2    424.359    17.0290    0.0275000
OBS:      54310.5     i      md      19408.8    677.369    16.7800    0.0349000
OBS:      54311.5     i      md      17266.3    851.231    16.9070    0.0493000
OBS:      54312.4     i      md      18272.6    509.805    16.8455    0.0279000
OBS:      54348.3     i      md      3232.96    250.878    18.7260    0.0776000
OBS:      54350.4     i      md      2997.78    254.512    18.8080    0.0849000
OBS:      54351.4     i      md      3060.56    180.573    18.7855    0.0590000
OBS:      54352.2     i      md      3250.88    343.943    18.7200    0.105800
OBS:      54353.4     i      md      2718.94    236.820    18.9140    0.0871000
OBS:      54354.3     i      md      2723.95    226.905    18.9120    0.0833000
OBS:      54355.3     i      md      2484.28    198.991    19.0120    0.0801000
OBS:      54357.3     i      md      1957.04    216.644    19.2710    0.110700
OBS:      54361.4     i      md      2036.10    219.288    19.2280    0.107700
