SURVEY:     DES                                     
SNID:       1345594             
IAUC:       NULL                
FILTERS:    griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            33.898705               # deg
DECL:          -5.599823               # deg
MWEBV:        0.020                    # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57394.059
REDSHIFT_FINAL:   0.4224 +-  0.0010    # (CMB)
REDSHIFT_HELIO:   0.4236 +-  0.0010    # (HELIO)
  
HOSTGAL_OBJID:        45280
HOSTGAL_PHOTOZ:    0.4247 +-  0.0518   # (HELIO)
HOSTGAL_SPECZ:     0.4236 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.4300              # arcSec
HOSTGAL_LOGMASS:    11.1900 +-  0.1540 # log10(M/Msolar)
HOSTGAL_MAG:            22.78    21.01    20.33    19.90    # griz
HOSTGAL_SB_FLUXCAL:     18.87    97.37   178.74   257.57    # griz
  
# Private variables
PRIVATE(DES_mjd_latest_ml):         57402.056
PRIVATE(DES_mjd_trigger):           57395.094
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  23
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 57372.046  g  X1    4.6940      6.6418    30.677 2.380   9.80 3.790      0 0.870 
OBS: 57372.048  r  X1   -2.3550      10.351    30.717 2.230  11.64 3.650      0 1.150 
OBS: 57372.051  i  X1    1.6576      16.817    30.954 2.300  19.66 3.760      0 1.150 
OBS: 57372.053  z  X1   0.79193      19.718    30.635 2.144  18.11 3.990      0 0.950 
OBS: 57379.058  g  X1    85.601      41.405    30.649 2.400  37.55 3.920      0 0.800 
OBS: 57379.061  r  X1    13.465      27.514    30.734 2.200  36.85 3.760      0 0.880 
OBS: 57379.063  i  X1   -20.660      28.306    30.983 2.140  43.70 3.860      0 0.950 
OBS: 57379.066  z  X1    14.480      26.669    30.651 1.861  31.42 3.961      0 1.060 
OBS: 57388.042  g  X1    90.299      7.8752    30.582 2.150  11.18 3.770      0 1.040 
OBS: 57388.045  r  X1    122.38      14.231    30.451 2.030  13.74 3.700      0 1.070 
OBS: 57388.047  i  X1    94.893      17.181    30.913 2.080  21.11 3.830      0 0.920 
OBS: 57388.049  z  X1    73.740      23.742    30.471 2.040  20.57 4.027      0 1.040 
OBS: 57395.094  g  X1    99.182      7.9566    30.658 3.370   7.93 3.680      0 1.120 
OBS: 57395.096  r  X1    157.97      13.806    30.706 2.950  11.66 3.630      0 0.990 
OBS: 57395.098  i  X1    163.08      27.970    30.920 3.520  23.56 3.790      0 1.000 
OBS: 57395.100  z  X1    115.26      41.688    30.530 3.682  23.06 4.004      0 1.000 
OBS: 57402.048  g  X1    80.423      7.6054    30.660 1.880  12.96 3.830      0 0.790 
OBS: 57402.053  i  X1    158.43      14.746    30.958 1.540  23.26 3.810      0 1.110 
OBS: 57402.056  z  X1    119.19      16.743    30.595 1.465  21.31 4.025      0 0.990 
OBS: 57427.050  g  X1    8.6160      10.336    30.529 3.800   9.34 3.780      0 1.000 
OBS: 57427.052  r  X1    34.529      18.363    30.645 3.220  13.85 3.690      0 1.030 
OBS: 57427.054  i  X1    44.361      27.509    30.894 3.250  26.27 3.770      0 0.910 
OBS: 57427.057  z  X1    30.822      35.633    30.522 2.967  25.73 4.018      0 1.000 
END: 
