SPEC:   3918.25   3923.75 5.43198e-16 1.24543e-17 1
SPEC:   3923.75   3929.25 5.65335e-16 1.23789e-17 1
SPEC:   3929.25   3934.75 5.28819e-16 1.22701e-17 1
SPEC:   3934.75   3940.25 5.41211e-16 1.21318e-17 1
SPEC:   3940.35   3945.85 5.43615e-16 1.19685e-17 1
SPEC:   3945.85   3951.35 5.55048e-16 1.17846e-17 1
SPEC:   3951.35   3956.85 5.52254e-16 1.15847e-17 1
SPEC:   3956.85   3962.35 5.62573e-16 1.13736e-17 1
SPEC:   3962.35   3967.85 5.54321e-16 1.11556e-17 1
SPEC:   3967.85   3973.35 5.56017e-16 1.09347e-17 1
SPEC:   3973.45   3978.95 5.57457e-16 1.07147e-17 1
SPEC:   3978.95   3984.45 6.04715e-16 1.04986e-17 1
SPEC:   3984.45   3989.95 6.21017e-16 1.02893e-17 1
SPEC:   3989.95   3995.45 6.47347e-16 1.00888e-17 1
SPEC:   3995.45   4000.95 6.54653e-16 9.89878e-18 1
SPEC:   4001.05   4006.55 6.82184e-16 9.77203e-18 1
SPEC:   4006.55   4012.05 6.87832e-16 9.59080e-18 1
SPEC:   4012.05   4017.55 7.15154e-16 9.40630e-18 1
SPEC:   4017.55   4023.05 7.19002e-16 9.25946e-18 1
SPEC:   4023.05   4028.55 7.50649e-16 9.15485e-18 1
SPEC:   4028.55   4034.05 7.78659e-16 9.05953e-18 1
SPEC:   4034.15   4039.65 7.76592e-16 8.95651e-18 1
SPEC:   4039.65   4045.15 8.09573e-16 8.85261e-18 1
SPEC:   4045.15   4050.65 8.04818e-16 8.77306e-18 1
SPEC:   4050.65   4056.15 8.22754e-16 8.65726e-18 1
SPEC:   4056.15   4061.65 8.33069e-16 8.59674e-18 1
SPEC:   4061.65   4067.15 8.38465e-16 8.57741e-18 1
SPEC:   4067.25   4072.75 8.69576e-16 8.52143e-18 1
SPEC:   4072.75   4078.25 8.92692e-16 8.45896e-18 1
SPEC:   4078.25   4083.75 8.99947e-16 8.40817e-18 1
SPEC:   4083.75   4089.25 9.26171e-16 8.37176e-18 1
SPEC:   4089.25   4094.75 9.45001e-16 8.30479e-18 1
SPEC:   4094.85   4100.35 9.60676e-16 8.24089e-18 1
SPEC:   4100.35   4105.85 9.54151e-16 8.19381e-18 1
SPEC:   4105.85   4111.35 9.37333e-16 8.16698e-18 1
SPEC:   4111.35   4116.85 9.33049e-16 8.11352e-18 1
SPEC:   4116.85   4122.35 9.06487e-16 8.08524e-18 1
SPEC:   4122.35   4127.85 9.01659e-16 8.03793e-18 1
