SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16bby
RA: 215.0751587
DECL: -22.1890160
MWEBV: 0.0992 +- 0.0050
FILTERS: griz
REDSHIFT_HELIO: 0.0534270 +- 0.0000830
REDSHIFT_FINAL: 0.0542580 +- 0.0000830
SEARCH_PEAKMJD: 57466.60144
HOSTGAL_LOGMASS: 10.908 +- 0.002
VPEC: 273.950
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 33
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57462.55199      g    NULL     4829.075        144.395    18.290     0.032  2.30
OBS:  57466.60144      g    NULL     5451.895        162.806    18.159     0.032  2.44
OBS:  57477.45676      g    NULL     3178.708        120.808    18.744     0.041  1.92
OBS:  57483.51707      g    NULL     1716.515        108.513    19.413     0.068  2.43
OBS:  57490.44722      g    NULL      680.334        108.251    20.418     0.172  3.08
OBS:  57505.39846      g    NULL      635.765        158.899    20.492     0.270  3.21
OBS:  57505.40070      g    NULL      389.453        126.632    21.024     0.351  2.37
OBS:  57462.55241      r    NULL     4681.439        124.311    18.324     0.029  2.14
OBS:  57466.60186      r    NULL     5369.964        138.533    18.175     0.028  2.18
OBS:  57477.45718      r    NULL     4151.374        113.855    18.455     0.030  1.63
OBS:  57483.51748      r    NULL     3389.257        106.886    18.675     0.034  2.10
OBS:  57490.44763      r    NULL     2422.787        127.118    19.039     0.057  3.24
OBS:  57505.39887      r    NULL     1140.115        110.350    19.858     0.105  2.17
OBS:  57450.58999      r    NULL      290.482         47.755    21.342     0.178  2.45
OBS:  57450.60099      r    NULL      252.353         39.843    21.495     0.171  2.03
OBS:  57450.61239      r    NULL      216.542         36.151    21.661     0.180  1.89
OBS:  57450.62364      r    NULL      275.820         35.089    21.398     0.137  1.79
OBS:  57462.55276      i    NULL     4203.055        136.138    18.441     0.035  2.09
OBS:  57466.60220      i    NULL     3830.519        123.681    18.542     0.035  1.98
OBS:  57477.45753      i    NULL     2339.559         90.592    19.077     0.042  1.61
OBS:  57483.51783      i    NULL     2263.770        112.925    19.113     0.054  2.16
OBS:  57490.44798      i    NULL     2115.671        126.896    19.186     0.065  2.80
OBS:  57505.39922      i    NULL     1055.188        102.559    19.942     0.105  1.76
OBS:  57462.55312      z    NULL     3308.439        172.104    18.701     0.056  1.91
OBS:  57466.60256      z    NULL     3887.970        167.995    18.526     0.047  1.85
OBS:  57477.45789      z    NULL     2459.484        149.150    19.023     0.066  1.56
OBS:  57483.51818      z    NULL     2146.896        130.913    19.170     0.066  1.65
OBS:  57490.44833      z    NULL     2279.434        200.138    19.105     0.095  2.64
OBS:  57505.39957      z    NULL     1258.567        143.298    19.750     0.123  1.63
OBS:  57452.64085      z    NULL      606.998         86.834    20.542     0.155  1.78
OBS:  57452.64930      z    NULL      580.441         81.235    20.591     0.151  1.72
OBS:  57460.64510      z    NULL     2707.520        141.518    18.919     0.056  2.03
OBS:  57460.64463      z    NULL     3452.375        130.479    18.655     0.041  1.92
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57461.00
SPEC:   3353.20   3356.20 5.71443e-17 6.69779e-18 1
SPEC:   3356.20   3359.20 4.72436e-17 6.70982e-18 1
SPEC:   3359.20   3362.20 4.38936e-17 6.72050e-18 1
SPEC:   3362.20   3365.20 4.43206e-17 6.72974e-18 1
SPEC:   3365.10   3368.10 6.50770e-17 6.73741e-18 1
SPEC:   3368.10   3371.10 7.40139e-17 6.74341e-18 1
SPEC:   3371.10   3374.10 6.51645e-17 6.74766e-18 1
SPEC:   3374.10   3377.10 5.89948e-17 6.75005e-18 1
SPEC:   3377.10   3380.10 5.73443e-17 6.75050e-18 1
SPEC:   3380.10   3383.10 6.48244e-17 6.74896e-18 1
SPEC:   3383.00   3386.00 6.60799e-17 6.74535e-18 1
SPEC:   3386.00   3389.00 7.73691e-17 6.73965e-18 1
SPEC:   3389.00   3392.00 7.81270e-17 6.73182e-18 1
SPEC:   3392.00   3395.00 6.10716e-17 6.72188e-18 1
SPEC:   3394.90   3397.90 5.55850e-17 6.70983e-18 1
SPEC:   3397.90   3400.90 6.40027e-17 6.69571e-18 1
SPEC:   3400.90   3403.90 9.35814e-17 6.67961e-18 1
SPEC:   3403.90   3406.90 1.04056e-16 6.66160e-18 1
SPEC:   3406.90   3409.90 9.86639e-17 6.64180e-18 1
SPEC:   3409.90   3412.90 8.70851e-17 6.62038e-18 1
SPEC:   3412.80   3415.80 9.33278e-17 6.59749e-18 1
SPEC:   3415.80   3418.80 1.02883e-16 6.57335e-18 1
SPEC:   3418.80   3421.80 1.00632e-16 6.54819e-18 1
SPEC:   3421.80   3424.80 1.16706e-16 6.52226e-18 1
SPEC:   3424.80   3427.80 1.20454e-16 6.49586e-18 1
SPEC:   3427.70   3430.70 1.10013e-16 6.46928e-18 1
SPEC:   3430.70   3433.70 1.21116e-16 6.44285e-18 1
SPEC:   3433.70   3436.70 1.31838e-16 6.41691e-18 1
SPEC:   3436.70   3439.70 1.03132e-16 6.39183e-18 1
SPEC:   3439.70   3442.70 1.06869e-16 6.36797e-18 1
SPEC:   3442.70   3445.70 1.15238e-16 6.34570e-18 1
SPEC:   3445.60   3448.60 1.20237e-16 6.32538e-18 1
SPEC:   3448.60   3451.60 1.24296e-16 6.30740e-18 1
SPEC:   3451.60   3454.60 1.23906e-16 6.29210e-18 1
SPEC:   3454.60   3457.60 1.26805e-16 6.27983e-18 1
SPEC:   3457.60   3460.60 1.35695e-16 6.27089e-18 1
SPEC:   3460.50   3463.50 1.38759e-16 6.26560e-18 1
SPEC:   3463.50   3466.50 1.38994e-16 6.26419e-18 1
SPEC:   3466.50   3469.50 1.51620e-16 6.26691e-18 1
SPEC:   3469.50   3472.50 1.44073e-16 6.27393e-18 1
SPEC:   3472.40   3475.40 1.50449e-16 6.28538e-18 1
SPEC:   3475.40   3478.40 1.68577e-16 6.30135e-18 1
SPEC:   3478.40   3481.40 1.71029e-16 6.32187e-18 1
SPEC:   3481.40   3484.40 1.65959e-16 6.34693e-18 1
SPEC:   3484.40   3487.40 1.72451e-16 6.37644e-18 1
SPEC:   3487.40   3490.40 1.73299e-16 6.41026e-18 1
SPEC:   3490.30   3493.30 1.91992e-16 6.44820e-18 1
