SURVEY: Hicken2009_LC
SNID: sn2007ca
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.067 MW E(B-V)
REDSHIFT_HELIO: 0.014066 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54227.842
FILTERS: UBVRIfhjklabcde

NOBS: 0
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 54217.213 h  NULL    13614.4424 363.6281
OBS: 54226.248 h  NULL    32478.7919 448.6945
OBS: 54227.227 h  NULL    32779.3139 422.6565
OBS: 54230.190 h  NULL    31419.5427 462.9984
OBS: 54232.174 h  NULL    28920.1048 372.8958
OBS: 54236.291 h  NULL    22993.2234 317.6514
OBS: 54237.244 h  NULL    21498.0890 296.9961
OBS: 54240.285 h  NULL    17330.0521 271.3366
OBS: 54253.272 h  NULL    5490.3479 404.5288
OBS: 54256.253 h  NULL    4365.1569 124.6296
OBS: 54272.214 h  NULL    2026.7485 192.2634
OBS: 54273.218 h  NULL    2183.7346 299.6717
OBS: 54291.161 h  NULL    1442.7792 191.3471
OBS: 54217.210 j  NULL    18399.2384 321.9683
OBS: 54226.245 j  NULL    43893.4637 525.5364
OBS: 54227.223 j  NULL    44957.2628 455.4620
OBS: 54230.187 j  NULL    44218.0779 488.6982
OBS: 54232.171 j  NULL    42111.4176 465.4154
OBS: 54234.307 j  NULL    39518.4464 509.5508
OBS: 54236.288 j  NULL    36008.0709 431.1246
OBS: 54237.241 j  NULL    34641.7526 446.6708
OBS: 54240.282 j  NULL    28681.3682 449.0642
OBS: 54253.269 j  NULL    15819.7583 349.6799
OBS: 54256.250 j  NULL    13842.0324 254.9702
OBS: 54272.211 j  NULL    7392.6451 306.3882
OBS: 54273.215 j  NULL    8113.3434 313.8403
OBS: 54281.176 j  NULL    4475.0703 342.0878
OBS: 54282.173 j  NULL    4817.2574 403.7392
OBS: 54291.158 j  NULL    3664.3746 303.7400
OBS: 54217.206 l  NULL    21203.1326 371.0336
OBS: 54226.241 l  NULL    36880.7743 577.4423
OBS: 54227.219 l  NULL    34930.1155 546.9008
OBS: 54230.183 l  NULL    31506.4899 551.3321
OBS: 54232.166 l  NULL    30171.7166 444.6104
OBS: 54234.302 l  NULL    23768.4043 897.5187
OBS: 54237.236 l  NULL    21998.8521 364.6970
OBS: 54240.278 l  NULL    16703.2136 292.2895
OBS: 54253.265 l  NULL    17426.0926 353.0875
OBS: 54256.246 l  NULL    19195.5266 335.9025
OBS: 54272.207 l  NULL    9196.0225 287.9642
OBS: 54278.193 l  NULL    7324.8717 249.6097
OBS: 54281.171 l  NULL    6937.4525 223.6288
OBS: 54282.169 l  NULL    6873.8496 240.5710
OBS: 54291.153 l  NULL    5238.4165 284.6503
OBS: 54217.208 k  NULL    19696.9977 507.9462
OBS: 54227.221 k  NULL    45415.0741 1003.8548
OBS: 54230.185 k  NULL    45962.1174 719.6289
OBS: 54232.169 k  NULL    44463.1297 614.2581
OBS: 54234.305 k  NULL    38300.1111 952.4089
OBS: 54236.286 k  NULL    37153.5259 513.2760
OBS: 54237.239 k  NULL    34930.1161 546.9008
OBS: 54240.280 k  NULL    28106.0643 465.9423
OBS: 54253.267 k  NULL    20137.2436 482.2064
OBS: 54256.248 k  NULL    19660.7478 325.9359
OBS: 54272.209 k  NULL    8871.5607 228.7798
OBS: 54273.213 k  NULL    8332.9745 283.9628
OBS: 54278.195 k  NULL    6474.4075 196.7767
OBS: 54281.173 k  NULL    5818.3525 187.5546
OBS: 54291.156 k  NULL    4929.4678 240.6221
OBS:      54218.2     t      md      8725.69    174.514    17.6480    0.0200000
OBS:      54224.2     t      md      16811.2    420.281    16.9360    0.0250000
OBS:      54235.2     t      md      10101.8    161.629    17.4890    0.0160000
OBS:      54239.2     t      md      6698.85    140.676    17.9350    0.0210000
OBS:      54243.2     t      md      4273.66    98.2942    18.4230    0.0230000
OBS:      54246.1     t      md      3332.73    123.311    18.6930    0.0370000
OBS:      54255.2     t      md      1358.94    131.817    19.6670    0.0970000
OBS:      54259.1     t      md      1033.71    111.641    19.9640    0.108000
OBS:      54218.2     u      md      17914.3    143.314    16.8670    0.00800000
OBS:      54224.2     u      md      32688.9    359.578    16.2140    0.0110000
OBS:      54227.2     u      md      34292.5    240.048    16.1620    0.00700000
OBS:      54229.2     u      md      33388.7    200.332    16.1910    0.00600000
OBS:      54231.2     u      md      30988.5    216.919    16.2720    0.00700000
OBS:      54232.2     u      md      29757.7    178.546    16.3160    0.00600000
OBS:      54235.2     u      md      25846.4    232.618    16.4690    0.00900000
OBS:      54239.2     u      md      19552.4    136.867    16.7720    0.00700000
OBS:      54243.2     u      md      13502.1    108.017    17.1740    0.00800000
OBS:      54246.1     u      md      10539.0    105.390    17.4430    0.0100000
OBS:      54255.2     u      md      4613.18    101.490    18.3400    0.0220000
OBS:      54259.1     u      md      3617.43    83.2009    18.6040    0.0230000
OBS:     54218.2     x     md     22845.5     182.764     16.6030     0.00800000
OBS:     54224.2     x     md     43013.0     301.091     15.9160     0.00700000
OBS:     54227.2     x     md     45835.3     320.847     15.8470     0.00700000
OBS:     54229.2     x     md     45415.1     272.490     15.8570     0.00600000
OBS:     54231.2     x     md     44381.3     266.288     15.8820     0.00600000
OBS:     54232.2     x     md     43211.6     259.269     15.9110     0.00600000
OBS:     54235.2     x     md     38976.2     350.786     16.0230     0.00900000
OBS:     54239.2     x     md     32568.6     195.412     16.2180     0.00600000
OBS:     54243.2     x     md     26302.7     157.816     16.4500     0.00600000
OBS:     54246.1     x     md     23014.4     184.116     16.5950     0.00800000
OBS:     54255.2     x     md     14588.1     116.705     17.0900     0.00800000
OBS:     54259.1     x     md     11846.8     118.468     17.3160     0.0100000
OBS:      54218.2     y      md      20989.4    125.936    16.6950    0.00600000
OBS:      54224.2     y      md      37428.3    299.427    16.0670    0.00800000
OBS:      54227.2     y      md      40625.7    203.128    15.9780    0.00500000
OBS:      54229.2     y      md      39810.7    159.243    16.0000    0.00400000
OBS:      54231.2     y      md      37428.3    187.142    16.0670    0.00500000
OBS:      54232.2     y      md      36307.8    145.231    16.1000    0.00400000
OBS:      54235.2     y      md      32151.4    225.060    16.2320    0.00700000
OBS:      54239.2     y      md      26157.7    130.789    16.4560    0.00500000
OBS:      54243.2     y      md      19934.3    99.6713    16.7510    0.00500000
OBS:      54246.1     y      md      16233.0    97.3982    16.9740    0.00600000
OBS:      54255.2     y      md      7914.07    87.0548    17.7540    0.0110000
OBS:      54259.1     y      md      5904.73    53.1426    18.0720    0.00900000
OBS:      54218.2     z      md      26351.2    158.107    16.4480    0.00600000
OBS:      54224.2     z      md      46387.4    417.487    15.8340    0.00900000
OBS:      54227.2     z      md      50303.7    251.519    15.7460    0.00500000
OBS:      54229.2     z      md      50629.1    202.516    15.7390    0.00400000
OBS:      54231.2     z      md      48484.2    193.937    15.7860    0.00400000
OBS:      54232.2     z      md      47555.4    190.222    15.8070    0.00400000
OBS:      54235.2     z      md      41995.2    293.967    15.9420    0.00700000
OBS:      54239.2     z      md      32538.7    195.232    16.2190    0.00600000
OBS:      54243.2     z      md      26013.6    130.068    16.4620    0.00500000
OBS:      54246.1     z      md      24389.4    121.947    16.5320    0.00500000
OBS:      54255.2     z      md      21261.8    127.571    16.6810    0.00600000
OBS:      54259.1     z      md      18620.9    111.725    16.8250    0.00600000
OBS:      54218.2     A      md      24865.7    149.194    16.5110    0.00600000
OBS:      54224.2     A      md      36914.7    516.806    16.0820    0.0140000
OBS:      54227.2     A      md      35220.9    211.325    16.1330    0.00600000
OBS:      54229.2     A      md      32658.8    163.294    16.2150    0.00500000
OBS:      54231.2     A      md      30366.9    212.568    16.2940    0.00700000
OBS:      54232.2     A      md      29512.1    177.072    16.3250    0.00600000
