SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017hn
RA: 196.9142153
DECL: 6.3376016
MWEBV: 0.0284 +- 0.0014
FILTERS: griz
REDSHIFT_HELIO: 0.0238503 +- 0.0000076
REDSHIFT_FINAL: 0.0249017 +- 0.0000076
SEARCH_PEAKMJD: 57766.64586
HOSTGAL_LOGMASS: 10.577 +- 0.001
VPEC: 48.768
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57766.64586      g    NULL    42342.190        669.478    15.933     0.017  2.65
OBS:  57779.63543      g    NULL    27870.193        440.438    16.387     0.017  2.29
OBS:  57788.61816      g    NULL    14235.373        260.116    17.117     0.020  2.36
OBS:  57802.65169      g    NULL     5279.761        160.244    18.193     0.033  2.23
OBS:  57823.58106      g    NULL     3435.189        303.931    18.660     0.096  2.37
OBS:  57766.64624      r    NULL    39662.371        606.945    16.004     0.017  2.37
OBS:  57779.63580      r    NULL    27261.818        418.109    16.411     0.017  2.11
OBS:  57788.61855      r    NULL    20230.342        321.744    16.735     0.017  1.93
OBS:  57802.65210      r    NULL    12786.839        238.674    17.233     0.020  2.32
OBS:  57823.58147      r    NULL     7031.572        231.079    17.882     0.036  2.26
OBS:  57766.64660      i    NULL    23143.981        384.024    16.589     0.018  2.33
OBS:  57779.63617      i    NULL    13656.351        240.592    17.162     0.019  2.06
OBS:  57788.61891      i    NULL    11538.979        214.310    17.345     0.020  1.93
OBS:  57802.65246      i    NULL    12272.366        238.322    17.278     0.021  1.95
OBS:  57823.58182      i    NULL     4943.958        193.561    18.265     0.042  2.21
OBS:  57766.64697      z    NULL    22100.692        416.524    16.639     0.020  2.04
OBS:  57779.63654      z    NULL    14500.816        283.777    17.097     0.021  1.95
OBS:  57788.61928      z    NULL    14388.350        277.879    17.105     0.021  1.76
OBS:  57802.65282      z    NULL    11326.636        261.448    17.365     0.025  1.64
OBS:  57823.58217      z    NULL     4046.171        487.714    18.482     0.130  2.02
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57764.00
SPEC:   3735.70   3738.50 1.80231e-15 2.13764e-16 1
SPEC:   3738.50   3741.30 1.44728e-15 2.13569e-16 1
SPEC:   3741.20   3744.00 1.06438e-15 2.13342e-16 1
SPEC:   3744.00   3746.80 1.27312e-15 2.13081e-16 1
SPEC:   3746.80   3749.60 1.19788e-15 2.12785e-16 1
SPEC:   3749.50   3752.30 1.27358e-15 2.12453e-16 1
SPEC:   3752.30   3755.10 1.38303e-15 2.12082e-16 1
SPEC:   3755.00   3757.80 1.51329e-15 2.11671e-16 1
SPEC:   3757.80   3760.60 1.00323e-15 2.11220e-16 1
SPEC:   3760.50   3763.30 1.11277e-15 2.10726e-16 1
SPEC:   3763.30   3766.10 9.74840e-16 2.10189e-16 1
SPEC:   3766.00   3768.80 1.60865e-15 2.09606e-16 1
SPEC:   3768.80   3771.60 1.12239e-15 2.08978e-16 1
SPEC:   3771.60   3774.40 1.06584e-15 2.08304e-16 1
SPEC:   3774.30   3777.10 1.10878e-15 2.07582e-16 1
SPEC:   3777.10   3779.90 1.15850e-15 2.06812e-16 1
SPEC:   3779.80   3782.60 8.39419e-16 2.05994e-16 1
SPEC:   3782.60   3785.40 9.83784e-16 2.05128e-16 1
SPEC:   3785.40   3788.20 8.90791e-16 2.04213e-16 1
SPEC:   3788.10   3790.90 7.87005e-16 2.03249e-16 1
SPEC:   3790.90   3793.70 8.65158e-16 2.02238e-16 1
SPEC:   3793.60   3796.40 1.25802e-15 2.01179e-16 1
SPEC:   3796.40   3799.20 1.31766e-15 2.00073e-16 1
SPEC:   3799.10   3801.90 1.15631e-15 1.98922e-16 1
SPEC:   3801.90   3804.70 1.34144e-15 1.97727e-16 1
SPEC:   3804.70   3807.50 1.37602e-15 1.96489e-16 1
SPEC:   3807.40   3810.20 1.13422e-15 1.95209e-16 1
SPEC:   3810.20   3813.00 8.59126e-16 1.93891e-16 1
SPEC:   3812.90   3815.70 1.01085e-15 1.92535e-16 1
SPEC:   3815.70   3818.50 1.48765e-15 1.91144e-16 1
SPEC:   3818.40   3821.20 1.81004e-15 1.89721e-16 1
SPEC:   3821.20   3824.00 1.60835e-15 1.88267e-16 1
