SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ0153424
RA: 28.4267229
DECL: 29.9362845
MWEBV: 0.0466 +- 0.0023
FILTERS: griz
REDSHIFT_HELIO: 0.0256466 +- 0.0000073
REDSHIFT_FINAL: 0.0247617 +- 0.0000073
SEARCH_PEAKMJD: 57397.22253
HOSTGAL_LOGMASS: 10.651 +- 0.001
VPEC: 235.708
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 30
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57385.21425      g    NULL    13347.371        246.234    17.187     0.020  2.51
OBS:  57392.22209      g    NULL    24054.888        386.609    16.547     0.017  1.95
OBS:  57397.22214      g    NULL    22879.785        370.114    16.601     0.018  2.02
OBS:  57407.28058      g    NULL    12597.427        258.573    17.249     0.022  1.86
OBS:  57415.25256      g    NULL     6035.128        156.972    18.048     0.028  1.80
OBS:  57424.24356      g    NULL     2775.411        123.938    18.892     0.048  2.06
OBS:  57434.23378      g    NULL     2118.614        136.603    19.185     0.070  2.08
OBS:  57385.21464      r    NULL    14126.151        247.624    17.125     0.019  2.24
OBS:  57392.22248      r    NULL    24697.465        382.017    16.518     0.017  1.86
OBS:  57397.22253      r    NULL    25223.858        394.225    16.495     0.017  2.27
OBS:  57407.28098      r    NULL    16120.430        281.870    16.982     0.019  1.87
OBS:  57415.25297      r    NULL    13144.955        232.485    17.203     0.019  1.72
OBS:  57424.24396      r    NULL     7873.875        165.935    17.760     0.023  1.70
OBS:  57434.23420      r    NULL     5366.325        151.234    18.176     0.030  1.87
OBS:  57385.21501      i    NULL    13583.986        247.637    17.167     0.020  1.97
OBS:  57392.22285      i    NULL    17656.632        290.661    16.883     0.018  1.51
OBS:  57397.22291      i    NULL    15549.833        262.158    17.021     0.018  1.86
OBS:  57407.28135      i    NULL     8841.766        184.970    17.634     0.023  1.49
OBS:  57415.25332      i    NULL    10631.277        208.358    17.434     0.021  1.63
OBS:  57424.24432      i    NULL     8511.389        175.377    17.675     0.022  1.50
OBS:  57434.23455      i    NULL     4895.385        150.997    18.276     0.033  1.53
OBS:  57410.23435      i    NULL     9438.251        155.893    17.563     0.018  1.69
OBS:  57410.24557      i    NULL     9456.666        157.423    17.561     0.018  1.77
OBS:  57410.25681      i    NULL     9344.025        167.377    17.574     0.019  2.50
OBS:  57410.26803      i    NULL     9371.348        161.437    17.570     0.019  2.06
OBS:  57397.22329      z    NULL    15852.099        327.760    17.000     0.022  2.00
OBS:  57407.28170      z    NULL    11119.929        247.014    17.385     0.024  1.53
OBS:  57415.25367      z    NULL    11820.321        277.188    17.318     0.025  1.60
OBS:  57424.24467      z    NULL     9278.156        213.913    17.581     0.025  1.40
OBS:  57434.23491      z    NULL     4692.333        200.063    18.322     0.046  1.60
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  57391.00
SPEC:   4181.50   4182.50 2.52253e-15 5.67757e-17 1
SPEC:   4182.50   4183.50 2.45152e-15 5.67314e-17 1
SPEC:   4183.50   4184.50 2.56371e-15 5.66782e-17 1
SPEC:   4184.50   4185.50 2.41045e-15 5.65809e-17 1
SPEC:   4185.50   4186.50 2.37626e-15 5.65938e-17 1
SPEC:   4186.50   4187.50 2.37952e-15 5.65732e-17 1
SPEC:   4187.50   4188.50 2.40254e-15 5.64618e-17 1
SPEC:   4188.50   4189.50 2.41956e-15 5.63609e-17 1
SPEC:   4189.50   4190.50 2.47804e-15 5.62529e-17 1
SPEC:   4190.50   4191.50 2.44353e-15 5.61961e-17 1
SPEC:   4191.50   4192.50 2.44308e-15 5.61633e-17 1
SPEC:   4192.50   4193.50 2.51749e-15 5.61311e-17 1
SPEC:   4193.50   4194.50 2.45485e-15 5.60718e-17 1
SPEC:   4194.50   4195.50 2.34687e-15 5.59205e-17 1
SPEC:   4195.50   4196.50 2.45250e-15 5.57869e-17 1
SPEC:   4196.50   4197.50 2.46413e-15 5.57447e-17 1
SPEC:   4197.50   4198.50 2.46245e-15 5.57360e-17 1
SPEC:   4198.50   4199.50 2.49626e-15 5.56305e-17 1
SPEC:   4199.50   4200.50 2.51097e-15 5.54391e-17 1
SPEC:   4200.50   4201.50 2.49616e-15 5.54063e-17 1
SPEC:   4201.50   4202.50 2.51055e-15 5.53494e-17 1
SPEC:   4202.50   4203.50 2.42813e-15 5.52780e-17 1
SPEC:   4203.50   4204.50 2.48410e-15 5.52295e-17 1
SPEC:   4204.50   4205.50 2.38178e-15 5.51172e-17 1
SPEC:   4205.50   4206.50 2.51599e-15 5.51195e-17 1
SPEC:   4206.50   4207.50 2.42713e-15 5.50910e-17 1
SPEC:   4207.50   4208.50 2.39678e-15 5.50043e-17 1
SPEC:   4208.50   4209.50 2.33485e-15 5.48773e-17 1
SPEC:   4209.50   4210.50 2.44349e-15 5.47376e-17 1
SPEC:   4210.50   4211.50 2.35381e-15 5.46839e-17 1
SPEC:   4211.50   4212.50 2.38246e-15 5.46334e-17 1
SPEC:   4212.50   4213.50 2.31402e-15 5.45769e-17 1
SPEC:   4213.50   4214.50 2.30190e-15 5.45051e-17 1
SPEC:   4214.50   4215.50 2.34205e-15 5.44016e-17 1
SPEC:   4215.50   4216.50 2.21851e-15 5.43141e-17 1
SPEC:   4216.50   4217.50 2.27639e-15 5.42233e-17 1
SPEC:   4217.50   4218.50 2.24631e-15 5.41337e-17 1
SPEC:   4218.50   4219.50 2.31334e-15 5.40541e-17 1
SPEC:   4219.50   4220.50 2.21702e-15 5.39800e-17 1
SPEC:   4220.50   4221.50 2.12994e-15 5.38732e-17 1
SPEC:   4221.50   4222.50 2.16510e-15 5.37569e-17 1
SPEC:   4222.50   4223.50 2.13148e-15 5.36616e-17 1
SPEC:   4223.50   4224.50 2.17476e-15 5.35638e-17 1
SPEC:   4224.50   4225.50 2.19827e-15 5.34349e-17 1
