SURVEY: CFA4p1
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007jg
IAUC:  2007jg
IAUC:    UNKNOWN
RA:   52.461729  deg
DECL:    0.056819445  deg
MWEBV: 0.10650000 MW E(B-V) (SFD98)
REDSHIFT_HELIO:  0.0371 +- 0.000500000  (Hel)
REDSHIFT_CMB:  0.0365714358281 +- 0.000500000  (CMB)
REDSHIFT_FINAL: 0.0365714358281 +- 0.000500000  (CMB)
HOSTGAL_LOGMASS: 9.50000 +- 0.051
PRIVATE(COSMO): 1
FILTERS: BVri
SEARCH_PEAKMJD: 54369.4
NOBS: 93
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54368.5     B      md      8822.67    205.568    17.6360    0.0233000
OBS:      54379.4     B      md      3677.90    152.633    18.5860    0.0415000
OBS:      54380.5     B      md      3047.89    130.755    18.7900    0.0429000
OBS:      54381.5     B      md      3033.89    127.423    18.7950    0.0420000
OBS:      54383.4     B      md      2327.02    124.263    19.0830    0.0534000
OBS:      54384.4     B      md      2155.76    137.106    19.1660    0.0636000
OBS:      54389.5     B      md      1239.94    223.313    19.7665    0.180100
OBS:      54394.4     B      md      903.649    109.432    20.1100    0.121100
OBS:      54395.4     B      md      897.842    272.226    20.1170    0.303200
OBS:      54398.5     B      md      907.821    328.540    20.1050    0.361900
OBS:      54404.4     B      md      535.797    126.448    20.6775    0.236000
OBS:      54406.4     B      md      438.127    104.187    20.8960    0.237800
OBS:      54407.4     B      md      587.760    161.634    20.5770    0.275000
OBS:      54409.3     B      md      340.722    98.6049    21.1690    0.289400
OBS:      54412.4     B      md      409.638    141.038    20.9690    0.344300
OBS:      54413.4     B      md      377.572    154.502    21.0575    0.409200
OBS:      54416.3     B      md      355.468    107.493    21.1230    0.302400
OBS:      54419.3     B      md      382.296    106.469    21.0440    0.278500
OBS:      54423.4     B      md      442.181    102.851    20.8860    0.232600
OBS:      54431.3     B      md      539.014    159.333    20.6710    0.295600
OBS:      54433.3     B      md      474.242    191.594    20.8100    0.404000
OBS:      54438.4     B      md      493.855    131.119    20.7660    0.265500
OBS:      54368.5     V      md      9931.17    211.534    17.5075    0.0213000
OBS:      54370.4     V      md      9858.26    226.740    17.5155    0.0230000
OBS:      54379.4     V      md      5850.59    167.912    18.0820    0.0287000
OBS:      54380.5     V      md      5536.05    151.134    18.1420    0.0273000
OBS:      54381.5     V      md      5114.46    165.197    18.2280    0.0323000
OBS:      54383.4     V      md      4440.17    161.622    18.3815    0.0364000
OBS:      54384.4     V      md      4216.96    153.076    18.4375    0.0363000
OBS:      54389.5     V      md      3459.39    146.332    18.6525    0.0423000
