SURVEY: Jha2006_LC
SNID: sn1998ab
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.017 MW E(B-V)
REDSHIFT_HELIO: 0.027132 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50914.308
FILTERS: UBVRIfhjkl

NOBS: 67
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 50906.320 B  NULL    22866.5096 393.3149
OBS: 50920.160 B  NULL    27951.1626 542.3460
OBS: 50922.150 B  NULL    24366.8775 410.1487
OBS: 50925.340 B  NULL    18197.0037 343.6581
OBS: 50930.260 B  NULL    10656.1390 293.4466
OBS: 50931.310 B  NULL    9264.0283 289.8658
OBS: 50936.180 B  NULL    5587.2728 272.4096
OBS: 50938.210 B  NULL    4786.2996 273.4985
OBS: 50952.190 B  NULL    2299.3225 247.0675
OBS: 50961.190 B  NULL    1794.7332 238.8411
OBS: 50964.150 B  NULL    1577.6108 265.5505
OBS: 50980.190 B  NULL    1381.6558 247.6487
OBS: 50987.230 B  NULL    1366.4693 243.2812
OBS: 50906.320 I  NULL    23659.2066 326.8519
OBS: 50920.160 I  NULL    25751.3600 403.1890
OBS: 50922.150 I  NULL    24660.4036 317.9712
OBS: 50925.340 I  NULL    22782.4363 293.7567
OBS: 50930.260 I  NULL    22803.4303 315.0294
OBS: 50931.310 I  NULL    23270.2031 364.3416
OBS: 50936.180 I  NULL    22552.7850 436.1934
OBS: 50938.210 I  NULL    21517.9136 455.8140
OBS: 50952.190 I  NULL    15417.0109 397.5739
OBS: 50955.150 I  NULL    13025.6731 371.8960
OBS: 50961.190 I  NULL    9817.4833 217.0057
OBS: 50964.150 I  NULL    8448.9000 326.8204
OBS: 50980.190 I  NULL    4655.8628 248.7069
OBS: 50987.230 I  NULL    4341.1038 267.8765
OBS: 50906.320 R  NULL    25633.0397 1939.7704
OBS: 50920.160 R  NULL    36914.7646 2591.3945
OBS: 50922.150 R  NULL    34578.0189 2331.3266
OBS: 50925.340 R  NULL    30760.9756 1926.0983
OBS: 50930.260 R  NULL    25049.5601 1602.7143
OBS: 50931.310 R  NULL    23528.8182 1580.6247
OBS: 50936.180 R  NULL    20989.4040 1501.9253
OBS: 50938.210 R  NULL    19552.4018 1472.1026
OBS: 50952.190 R  NULL    11901.4561 964.8230
OBS: 50955.150 R  NULL    10452.0168 893.7481
OBS: 50961.190 R  NULL    8425.5858 806.6859
OBS: 50964.150 R  NULL    7419.9351 823.3762
OBS: 50980.190 R  NULL    4491.5900 659.2438
OBS: 50987.230 R  NULL    3830.0117 643.5610
OBS: 50906.320 U  NULL    40775.5711 1726.4614
OBS: 50920.160 U  NULL    32628.7218 1640.2266
OBS: 50922.150 U  NULL    26595.0039 1378.5079
OBS: 50925.340 U  NULL    18197.0109 1178.1398
OBS: 50930.260 U  NULL    8527.0745 1030.6345
OBS: 50931.310 U  NULL    7144.9642 1014.3148
OBS: 50936.180 U  NULL    4265.7958 1001.0849
OBS: 50938.210 U  NULL    2910.7174 1007.2939
OBS: 50955.150 U  NULL    1488.6756 973.3520
OBS: 50961.190 U  NULL    1553.1023 973.2173
OBS: 50980.190 U  NULL    1293.0046 977.2068
OBS: 50987.230 U  NULL    1114.8080 970.9556
OBS: 50906.320 V  NULL    23550.4898 486.1867
OBS: 50920.160 V  NULL    32628.7124 513.8778
OBS: 50922.150 V  NULL    30846.0766 521.1971
OBS: 50925.340 V  NULL    27848.3795 498.3689
OBS: 50930.260 V  NULL    20026.2638 483.5516
OBS: 50931.310 V  NULL    19390.9874 494.8324
OBS: 50936.180 V  NULL    14374.7380 476.9417
OBS: 50938.210 V  NULL    13049.6826 488.6370
OBS: 50952.190 V  NULL    6829.6734 463.8596
OBS: 50955.150 V  NULL    6109.4193 459.1541
OBS: 50961.190 V  NULL    4988.8442 458.0732
OBS: 50964.150 V  NULL    4575.0931 470.3139
OBS: 50980.190 V  NULL    3305.2167 461.0068
OBS: 50987.230 V  NULL    2849.7052 456.0992
END_PHOTOMETRY:

# =============================================

NSPECTRA: 13


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  50906.00
SPECTRUM_NLAM:     2521
SPEC:   3719.25   3720.75 2.87719e-15 1.23743e-16 1
SPEC:   3720.75   3722.25 3.08758e-15 1.23743e-16 1
SPEC:   3722.25   3723.75 3.19722e-15 1.23743e-16 1
SPEC:   3723.75   3725.25 3.11252e-15 1.23743e-16 1
SPEC:   3725.25   3726.75 2.83310e-15 1.23743e-16 1
SPEC:   3726.75   3728.25 2.95202e-15 1.23743e-16 1
SPEC:   3728.25   3729.75 2.92498e-15 1.23743e-16 1
SPEC:   3729.75   3731.25 2.86010e-15 1.23743e-16 1
SPEC:   3731.25   3732.75 2.84186e-15 1.23743e-16 1
SPEC:   3732.75   3734.25 2.80421e-15 1.23743e-16 1
SPEC:   3734.25   3735.75 3.04305e-15 1.23743e-16 1
SPEC:   3735.75   3737.25 2.86222e-15 1.23743e-16 1
SPEC:   3737.25   3738.75 2.89663e-15 1.23743e-16 1
SPEC:   3738.75   3740.25 2.63340e-15 1.23743e-16 1
SPEC:   3740.25   3741.75 3.05009e-15 1.23743e-16 1
SPEC:   3741.75   3743.25 2.74776e-15 1.23743e-16 1
SPEC:   3743.25   3744.75 2.72139e-15 1.23743e-16 1
SPEC:   3744.75   3746.25 2.76583e-15 1.23743e-16 1
SPEC:   3746.25   3747.75 2.47712e-15 1.23743e-16 1
SPEC:   3747.75   3749.25 2.48003e-15 1.23743e-16 1
SPEC:   3749.25   3750.75 2.40983e-15 1.23743e-16 1
SPEC:   3750.75   3752.25 2.67823e-15 1.23743e-16 1
SPEC:   3752.25   3753.75 2.50511e-15 1.23743e-16 1
SPEC:   3753.75   3755.25 2.42770e-15 1.23743e-16 1
SPEC:   3755.25   3756.75 2.41147e-15 1.23743e-16 1
SPEC:   3756.75   3758.25 2.35346e-15 1.23743e-16 1
SPEC:   3758.25   3759.75 2.34757e-15 1.23743e-16 1
SPEC:   3759.75   3761.25 2.34970e-15 1.23743e-16 1
SPEC:   3761.25   3762.75 2.30213e-15 1.23743e-16 1
SPEC:   3762.75   3764.25 2.21572e-15 1.23743e-16 1
SPEC:   3764.25   3765.75 2.47289e-15 1.23743e-16 1
SPEC:   3765.75   3767.25 2.43655e-15 1.23743e-16 1
SPEC:   3767.25   3768.75 2.30509e-15 1.23743e-16 1
