SURVEY:     DES                                     
SNID:       1338266             
IAUC:       NULL                
FILTERS:    griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            34.905033               # deg
DECL:          -5.869125               # deg
MWEBV:        0.022                    # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57363.887
REDSHIFT_FINAL:   0.6476 +-  0.0050    # (CMB)
REDSHIFT_HELIO:   0.6490 +-  0.0050    # (HELIO)
  
HOSTGAL_OBJID:        42497
HOSTGAL_PHOTOZ:    0.4732 +-  0.0423   # (HELIO)
HOSTGAL_SPECZ:     0.6495 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.2100              # arcSec
HOSTGAL_LOGMASS:     8.9650 +-  0.3485 # log10(M/Msolar)
HOSTGAL_MAG:            24.90    23.94    23.53    23.37    # griz
HOSTGAL_SB_FLUXCAL:      2.74     5.48     8.59    10.35    # griz
  
# Private variables
PRIVATE(DES_mjd_latest_ml):         57373.058
PRIVATE(DES_mjd_trigger):           57356.096
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  80
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 57339.033  g  X1   -1.0320      5.3285    30.595 3.310   7.68 4.210      0 0.940 
OBS: 57339.035  r  X1   -1.7500      9.0874    30.682 3.020  13.07 3.750      0 0.950 
OBS: 57339.037  i  X1    10.806      11.292    30.974 2.760  24.77 3.790      0 0.970 
OBS: 57339.040  z  X1   -6.0410      14.587    30.671 2.651  24.34 4.045      0 1.020 
OBS: 57339.148  g  X2   -8.3570      5.3317    30.680 3.420   7.33 4.120      0 1.060 
OBS: 57339.151  r  X2    2.2510      6.9096    30.677 2.870  11.45 3.780      0 0.910 
OBS: 57339.153  i  X2    4.3977      9.1059    30.964 2.650  21.41 3.970      0 0.910 
OBS: 57339.156  z  X2   -4.2740      11.512    30.669 2.400  21.43 4.126      0 0.960 
OBS: 57344.213  g  X1   -1.3340      3.6277    30.637 2.240   7.39 4.130      0 0.950 
OBS: 57344.216  r  X1    14.843      5.1908    30.666 1.840  12.06 3.720      0 1.090 
OBS: 57344.218  i  X1   -5.9770      7.6911    30.919 1.860  24.12 3.810      0 1.000 
OBS: 57344.220  z  X1   -1.9580      11.438    30.537 1.800  22.93 4.058      0 0.990 
OBS: 57345.071  z  X2    119.50      143.03    28.563 2.260  49.00 4.090 163840 1.080 
OBS: 57346.024  g  X2  -0.59600      10.040    30.632 2.240  19.35 4.360      0 0.950 
OBS: 57346.027  r  X2    9.3141      8.3880    30.683 1.950  19.83 3.860      0 1.110 
OBS: 57346.029  i  X2    13.946      8.3162    30.950 1.930  26.27 3.940      0 1.010 
OBS: 57346.031  z  X2    10.543      9.5000    30.649 1.784  21.99 4.141      0 1.050 
OBS: 57355.156  g  X1    21.732      8.8549    30.610 1.840  20.22 4.350      0 1.110 
OBS: 57355.159  r  X1    31.290      7.3923    30.700 1.710  20.31 3.810      0 0.980 
OBS: 57355.161  i  X1    42.607      8.1937    30.967 1.570  27.69 3.850      0 0.980 
OBS: 57355.163  z  X1    15.835      9.8801    30.650 1.749  23.38 4.060      0 1.010 
OBS: 57356.096  g  X2    14.611      3.0525    30.701 1.940   7.00 4.080      0 1.000 
OBS: 57356.098  r  X2    35.457      4.2393    30.708 1.710  10.42 3.760      0 1.010 
OBS: 57356.100  i  X2    29.609      5.8168    30.972 1.600  20.46 3.990      0 0.940 
OBS: 57356.103  z  X2    31.836      7.7497    30.680 1.540  20.58 4.155      0 0.990 
OBS: 57365.051  g  X1    7.8887      4.6240    30.342 2.300   7.35 4.140      0 1.060 
OBS: 57365.054  r  X1    42.198      5.7177    30.513 1.980  10.75 3.710      0 0.990 
OBS: 57365.056  i  X1    47.588      6.2854    30.923 1.750  18.57 3.760      0 0.830 
OBS: 57365.059  z  X1    46.768      8.4405    30.512 1.802  16.06 4.070      0 0.990 
OBS: 57366.054  g  X2    8.9324      3.4155    30.688 2.200   7.15 4.090      0 1.020 
OBS: 57366.056  r  X2    51.930      4.7425    30.714 1.940  10.74 3.870      0 0.870 
OBS: 57366.058  i  X2    54.739      6.8198    30.957 1.770  22.17 3.960      0 1.010 
OBS: 57366.061  z  X2    40.601      8.9981    30.611 1.704  21.68 4.155      0 1.040 
OBS: 57372.046  g  X1    13.723      4.7490    30.639 2.370   9.33 4.220      0 0.880 
OBS: 57372.048  r  X1    46.288      5.7404    30.710 2.220  11.55 3.700      0 1.010 
OBS: 57372.051  i  X1    42.555      7.7580    30.975 2.330  19.60 3.790      0 0.930 
OBS: 57372.053  z  X1    46.823      9.9149    30.649 2.155  17.94 4.040      0 0.910 
OBS: 57373.051  g  X2    7.9869      6.2882    30.721 2.890  11.00 4.220      0 0.860 
OBS: 57373.053  r  X2    39.251      6.0701    30.734 2.240  13.25 3.870      0 0.990 
OBS: 57373.057  z  X2    50.028      9.9926    30.641 1.770  22.76 4.145      0 0.990 
OBS: 57379.058  g  X1   -30.011      25.609    30.708 2.380  35.85 4.380      0 0.970 
OBS: 57379.061  r  X1    12.094      14.418    30.728 2.190  36.29 3.850      0 1.160 
OBS: 57379.063  i  X1    44.804      15.467    30.991 2.130  43.33 3.910      0 1.150 
OBS: 57379.066  z  X1    58.804      13.818    30.657 1.850  30.96 4.040      0 0.960 
OBS: 57385.107  g  X2   -4.6010      6.0297    30.666 1.930  14.44 4.280      0 0.970 
OBS: 57385.109  r  X2    28.127      5.7921    30.708 1.670  16.47 3.880      0 1.080 
OBS: 57385.111  i  X2    22.355      6.5202    30.968 1.630  24.09 3.940      0 0.970 
OBS: 57385.114  z  X2    34.592      8.8590    30.635 1.709  20.57 4.150      0 0.950 
OBS: 57388.042  g  X1  -0.35000      5.3457    30.564 2.110  10.60 4.280      0 1.000 
OBS: 57388.045  r  X1    9.2216      7.2415    30.455 2.000  13.54 3.790      0 1.030 
OBS: 57388.047  i  X1    10.619      7.6548    30.927 2.050  21.07 3.860      0 0.920 
OBS: 57388.049  z  X1    13.077      11.149    30.482 2.016  20.31 4.084      0 0.980 
OBS: 57389.072  g  X2   -1.5600      4.7468    30.682 3.090   7.47 4.070      0 1.090 
OBS: 57389.074  r  X2    13.923      6.0410    30.700 2.510  11.18 3.800      0 0.900 
OBS: 57389.076  i  X2    29.834      8.2164    30.965 2.350  22.27 3.960      0 1.120 
OBS: 57389.079  z  X2    9.5709      15.349    30.600 2.786  22.55 4.145      0 1.030 
OBS: 57395.094  g  X1   -1.4490      5.1475    30.653 3.310   7.43 4.180      0 1.030 
OBS: 57395.096  r  X1    12.237      7.4861    30.709 2.920  11.45 3.710      0 0.980 
OBS: 57395.098  i  X1    11.534      15.651    30.961 3.460  23.47 3.800      0 0.920 
OBS: 57395.100  z  X1    4.7092      21.460    30.557 3.712  22.73 4.061      0 0.910 
OBS: 57396.059  g  X2   -2.3870      4.4722    30.714 2.620   7.93 4.110      0 1.030 
OBS: 57396.061  r  X2    9.3556      5.9828    30.709 2.380  11.62 3.810      0 0.980 
OBS: 57396.063  i  X2    20.206      8.7507    30.964 2.270  22.69 3.960      0 1.070 
OBS: 57396.066  z  X2    33.761      10.576    30.585 1.945  21.73 4.146      0 0.970 
OBS: 57402.048  g  X1   -7.0300      4.6553    30.651 1.780  12.24 4.300      0 1.010 
OBS: 57402.051  r  X1    2.7450      5.0938    30.718 1.650  14.43 3.780      0 1.070 
OBS: 57402.053  i  X1    15.090      5.6512    30.972 1.500  23.07 3.850      0 0.920 
OBS: 57402.055  z  X1    30.016      7.6697    30.606 1.440  21.00 4.080      0 1.020 
OBS: 57403.057  g  X2    1.5420      7.7024    30.695 1.940  16.29 4.290  65536 0.930 
OBS: 57403.062  r  X2    28.080      11.127    30.721 1.660  19.53 3.880      0 0.930 
OBS: 57403.064  i  X2    3.0172      9.4905    30.977 1.590  29.87 3.960      0 0.870 
