SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15nq
RA: 259.3301060
DEC: 33.4621012
MWEBV: 0.040 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.03036 +- 0.00001
REDSHIFT_CMB: 0.03025 +- 0.00001
VPEC: 88.782
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57245.31791
HOSTGAL_LOGMASS: 10.873 +- 0.013
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57242.27981 PS1-g VOID 21506.858 362.225 16.6690 0.0180 2.85
OBS: 57245.31791 PS1-g VOID 26820.187 419.338 16.4290 0.0170 1.80
OBS: 57255.29400 PS1-g VOID 20456.533 352.556 16.7230 0.0190 2.38
OBS: 57262.36437 PS1-g VOID 12927.871 381.545 17.2210 0.0320 2.67
OBS: 57270.30969 PS1-g VOID 6349.232 155.778 17.9930 0.0270 1.97
OBS: 57277.23565 PS1-g VOID 3390.991 116.289 18.6740 0.0370 1.76
OBS: 57242.28020 PS1-r VOID 19508.184 314.760 16.7740 0.0170 2.34
OBS: 57245.31817 PS1-r VOID 23622.757 366.825 16.5670 0.0170 1.78
OBS: 57255.29440 PS1-r VOID 19371.367 316.864 16.7820 0.0180 2.15
OBS: 57262.36479 PS1-r VOID 13576.116 310.052 17.1680 0.0250 2.13
OBS: 57270.31010 PS1-r VOID 11670.915 212.241 17.3320 0.0200 1.90
OBS: 57277.23605 PS1-r VOID 8680.875 168.635 17.6540 0.0210 1.66
OBS: 57242.28062 PS1-i VOID 14982.291 263.217 17.0610 0.0190 2.19
OBS: 57245.31867 PS1-i VOID 15452.311 259.284 17.0280 0.0180 1.35
OBS: 57255.29477 PS1-i VOID 10599.577 206.612 17.4370 0.0210 1.98
OBS: 57262.36514 PS1-i VOID 6489.025 230.385 17.9700 0.0380 2.02
OBS: 57270.31045 PS1-i VOID 7662.347 162.816 17.7890 0.0230 1.59
OBS: 57277.23641 PS1-i VOID 7704.404 161.065 17.7830 0.0230 1.44
OBS: 57242.28094 PS1-z VOID 13141.698 268.810 17.2030 0.0220 2.27
OBS: 57245.31900 PS1-z VOID 14159.627 265.895 17.1220 0.0200 1.42
OBS: 57255.29513 PS1-z VOID 9754.380 228.327 17.5270 0.0250 1.72
OBS: 57262.36549 PS1-z VOID 8525.340 290.254 17.6730 0.0370 1.72
OBS: 57270.31081 PS1-z VOID 8260.610 215.164 17.7070 0.0280 1.72
OBS: 57277.23678 PS1-z VOID 7855.168 192.899 17.7620 0.0270 1.36
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 1012
SPECTRUM_MJD:  57241.00
SPEC: 3462.15 3466.85 -1.44636e-16 1.56557e-16 0
SPEC: 3466.85 3471.55 2.29064e-17 1.53963e-16 0
SPEC: 3471.55 3476.25 6.82116e-17 1.51448e-16 0
SPEC: 3476.35 3481.05 -9.05123e-17 1.49017e-16 0
SPEC: 3481.05 3485.75 -1.50212e-17 1.46677e-16 0
SPEC: 3485.75 3490.45 3.23477e-16 1.44433e-16 0
SPEC: 3490.55 3495.25 1.90757e-16 1.42289e-16 0
SPEC: 3495.25 3499.95 5.76193e-17 1.40247e-16 0
SPEC: 3499.95 3504.65 2.23692e-16 1.38310e-16 0
SPEC: 3504.75 3509.45 1.68609e-16 1.36478e-16 0
SPEC: 3509.45 3514.15 2.27359e-16 1.34750e-16 0
SPEC: 3514.15 3518.85 3.33498e-16 1.33124e-16 0
SPEC: 3518.95 3523.65 1.92335e-16 1.31595e-16 0
SPEC: 3523.65 3528.35 3.14146e-16 1.30159e-16 0
SPEC: 3528.35 3533.05 5.48561e-17 1.28807e-16 0
SPEC: 3533.15 3537.85 -7.30420e-17 1.27532e-16 0
SPEC: 3537.85 3542.55 -1.62247e-18 1.26324e-16 0
SPEC: 3542.55 3547.25 -8.71984e-19 1.25172e-16 0
SPEC: 3547.35 3552.05 -2.91681e-17 1.24066e-16 0
SPEC: 3552.05 3556.75 -9.36041e-17 1.22992e-16 0
SPEC: 3556.75 3561.45 2.88343e-16 1.21938e-16 0
SPEC: 3561.45 3566.15 3.58309e-17 1.20891e-16 0
SPEC: 3566.25 3570.95 -3.69204e-17 1.19839e-16 0
SPEC: 3570.95 3575.65 7.34142e-17 1.18769e-16 0
SPEC: 3575.75 3580.45 1.96047e-16 1.17668e-16 0
SPEC: 3580.45 3585.15 -1.00501e-16 1.16525e-16 0
SPEC: 3585.15 3589.85 9.62711e-17 1.15328e-16 0
SPEC: 3589.85 3594.55 -1.31604e-17 1.14067e-16 0
SPEC: 3594.65 3599.35 2.43057e-16 1.12731e-16 0
SPEC: 3599.35 3604.05 1.43311e-16 1.11312e-16 0
SPEC: 3604.05 3608.75 1.32202e-16 1.09802e-16 0
SPEC: 3608.85 3613.55 1.23666e-16 1.08193e-16 0
SPEC: 3613.55 3618.25 2.42041e-16 1.06482e-16 0
SPEC: 3618.35 3623.05 3.24342e-18 1.04663e-16 0
SPEC: 3623.05 3627.75 6.39206e-17 1.02735e-16 0
SPEC: 3627.75 3632.45 5.80967e-18 1.00697e-16 0
SPEC: 3632.45 3637.15 2.64424e-16 9.85512e-17 0
SPEC: 3637.25 3641.95 1.87741e-16 9.62998e-17 0
SPEC: 3641.95 3646.65 6.79560e-17 9.39489e-17 0
SPEC: 3646.65 3651.35 1.03370e-16 9.15058e-17 0
