SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16fo
RA: 203.1491663
DEC: -5.2725126
MWEBV: 0.027 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.02890 +- 0.00021
REDSHIFT_CMB: 0.02991 +- 0.00022
VPEC: -252.014
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57540.31499
HOSTGAL_LOGMASS: 10.172 +- 0.001
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57540.31499 PS1-g VOID 35405.188 551.230 16.1270 0.0170 2.51
OBS: 57545.30178 PS1-g VOID 31423.919 493.449 16.2570 0.0170 1.95
OBS: 57550.26728 PS1-g VOID 25207.801 415.866 16.4960 0.0180 2.37
OBS: 57558.26901 PS1-g VOID 13067.572 300.044 17.2100 0.0250 2.18
OBS: 57565.33694 PS1-g VOID 7281.361 211.397 17.8440 0.0310 2.33
OBS: 57578.26732 PS1-g VOID 3668.662 195.575 18.5890 0.0580 2.95
OBS: 57586.26958 PS1-g VOID 3185.725 223.249 18.7420 0.0760 2.70
OBS: 57540.31539 PS1-r VOID 29949.156 471.648 16.3090 0.0170 2.17
OBS: 57545.30217 PS1-r VOID 29140.020 452.681 16.3390 0.0170 1.70
OBS: 57550.26768 PS1-r VOID 21850.354 363.643 16.6510 0.0180 2.07
OBS: 57558.26941 PS1-r VOID 14848.291 294.862 17.0710 0.0220 1.99
OBS: 57565.33735 PS1-r VOID 15032.419 303.207 17.0570 0.0220 2.30
OBS: 57578.26773 PS1-r VOID 8230.063 226.680 17.7110 0.0300 2.75
OBS: 57586.26998 PS1-r VOID 5369.097 240.670 18.1750 0.0480 2.99
OBS: 57540.31574 PS1-i VOID 16022.261 305.003 16.9880 0.0210 1.86
OBS: 57545.30254 PS1-i VOID 14913.197 281.338 17.0660 0.0200 1.63
OBS: 57550.26804 PS1-i VOID 10944.311 250.616 17.4020 0.0250 1.93
OBS: 57558.26976 PS1-i VOID 9468.932 241.432 17.5590 0.0280 1.94
OBS: 57565.33770 PS1-i VOID 10294.142 275.557 17.4690 0.0290 2.03
OBS: 57578.26809 PS1-i VOID 6967.534 242.522 17.8920 0.0380 2.53
OBS: 57586.27034 PS1-i VOID 5324.298 216.106 18.1840 0.0440 2.19
OBS: 57540.31611 PS1-z VOID 16616.580 367.813 16.9490 0.0240 1.96
OBS: 57545.30291 PS1-z VOID 14500.794 321.434 17.0970 0.0240 1.54
OBS: 57550.26840 PS1-z VOID 12745.271 320.673 17.2370 0.0270 1.85
OBS: 57558.27013 PS1-z VOID 10411.575 296.486 17.4560 0.0310 1.79
OBS: 57565.33805 PS1-z VOID 11903.092 385.907 17.3110 0.0350 2.03
OBS: 57578.26844 PS1-z VOID 7211.371 307.057 17.8550 0.0460 2.31
OBS: 57586.27070 PS1-z VOID 5107.534 265.984 18.2290 0.0560 1.93
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 2894
SPECTRUM_MJD:  57547.00
SPEC:   4171.50   4172.50 3.00658e+00 8.93482e-02 1
SPEC:   4172.50   4173.50 2.93466e+00 8.91076e-02 1
SPEC:   4173.50   4174.50 3.09751e+00 8.87777e-02 1
SPEC:   4174.50   4175.50 2.93119e+00 8.87123e-02 1
SPEC:   4175.50   4176.50 2.86742e+00 8.86361e-02 1
SPEC:   4176.50   4177.50 3.11599e+00 8.84846e-02 1
SPEC:   4177.50   4178.50 3.04112e+00 8.83350e-02 1
SPEC:   4178.50   4179.50 3.10861e+00 8.82656e-02 1
SPEC:   4179.50   4180.50 3.24438e+00 8.81395e-02 1
SPEC:   4180.50   4181.50 3.00089e+00 8.79116e-02 1
SPEC:   4181.50   4182.50 3.03974e+00 8.77096e-02 1
SPEC:   4182.50   4183.50 2.94036e+00 8.76112e-02 1
SPEC:   4183.50   4184.50 3.10778e+00 8.74968e-02 1
SPEC:   4184.50   4185.50 3.14427e+00 8.72974e-02 1
SPEC:   4185.50   4186.50 3.10667e+00 8.73137e-02 1
SPEC:   4186.50   4187.50 3.14405e+00 8.72660e-02 1
SPEC:   4187.50   4188.50 3.26741e+00 8.70424e-02 1
SPEC:   4188.50   4189.50 3.23467e+00 8.68407e-02 1
SPEC:   4189.50   4190.50 3.26433e+00 8.66262e-02 1
SPEC:   4190.50   4191.50 3.23326e+00 8.65128e-02 1
SPEC:   4191.50   4192.50 3.20783e+00 8.64475e-02 1
SPEC:   4192.50   4193.50 3.15876e+00 8.63846e-02 1
SPEC:   4193.50   4194.50 3.01728e+00 8.62701e-02 1
SPEC:   4194.50   4195.50 3.40213e+00 8.59780e-02 1
SPEC:   4195.50   4196.50 3.34982e+00 8.57217e-02 1
SPEC:   4196.50   4197.50 3.16632e+00 8.56450e-02 1
SPEC:   4197.50   4198.50 3.19096e+00 8.56349e-02 1
SPEC:   4198.50   4199.50 3.10446e+00 8.54377e-02 1
SPEC:   4199.50   4200.50 3.31840e+00 8.50746e-02 1
SPEC:   4200.50   4201.50 3.26382e+00 8.50221e-02 1
SPEC:   4201.50   4202.50 3.34634e+00 8.49241e-02 1
SPEC:   4202.50   4203.50 3.20014e+00 8.47995e-02 1
SPEC:   4203.50   4204.50 3.24885e+00 8.47212e-02 1
SPEC:   4204.50   4205.50 3.20725e+00 8.45204e-02 1
SPEC:   4205.50   4206.50 3.17167e+00 8.45443e-02 1
SPEC:   4206.50   4207.50 3.26763e+00 8.45100e-02 1
SPEC:   4207.50   4208.50 3.10092e+00 8.43641e-02 1
SPEC:   4208.50   4209.50 3.06521e+00 8.41414e-02 1
SPEC:   4209.50   4210.50 3.22313e+00 8.38958e-02 1
SPEC:   4210.50   4211.50 3.26614e+00 8.38196e-02 1
SPEC:   4211.50   4212.50 3.29574e+00 8.37513e-02 1
SPEC:   4212.50   4213.50 3.15148e+00 8.36733e-02 1
SPEC:   4213.50   4214.50 3.28018e+00 8.35675e-02 1
SPEC:   4214.50   4215.50 3.13426e+00 8.34017e-02 1
SPEC:   4215.50   4216.50 3.17759e+00 8.32690e-02 1
SPEC:   4216.50   4217.50 3.16787e+00 8.31320e-02 1
