SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016hhv
RA: 353.9520496
DEC: 20.7088099
MWEBV: 0.051 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.06194 +- 0.00014
REDSHIFT_CMB: 0.06074 +- 0.00014
VPEC: -131.090
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57696.21158
HOSTGAL_LOGMASS: 11.496 +- 0.002
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57696.21158 PS1-g VOID 5888.859 149.585 18.0750 0.0270 2.02
OBS: 57705.42628 PS1-g VOID 2983.732 255.196 18.8130 0.0920 2.20
OBS: 57713.20565 PS1-g VOID 1445.882 74.249 19.6000 0.0550 1.63
OBS: 57737.25913 PS1-g VOID 240.649 99.613 21.5470 0.4470 1.48
OBS: 57696.21197 PS1-r VOID 5531.917 137.085 18.1430 0.0270 2.17
OBS: 57705.42671 PS1-r VOID 3164.675 194.334 18.7490 0.0660 2.21
OBS: 57713.20604 PS1-r VOID 2524.036 80.967 18.9950 0.0350 1.50
OBS: 57737.25953 PS1-r VOID 889.237 81.099 20.1270 0.0990 1.41
OBS: 57696.21234 PS1-i VOID 3365.380 117.295 18.6820 0.0380 1.90
OBS: 57705.42706 PS1-i VOID 1773.203 143.634 19.3780 0.0870 1.72
OBS: 57713.20640 PS1-i VOID 1698.562 78.492 19.4250 0.0500 1.52
OBS: 57737.25988 PS1-i VOID 761.855 75.061 20.2950 0.1060 1.32
OBS: 57650.52533 PS1-i VOID 64.915 91.267 22.9690 1.5180 1.33
OBS: 57650.53745 PS1-i VOID 49.487 51.577 23.2640 1.1260 1.34
OBS: 57668.26236 PS1-i VOID 17.680 48.368 24.3810 2.9550 1.58
OBS: 57668.27357 PS1-i VOID 0.566 37.147 28.1180 70.8810 1.45
OBS: 57668.28479 PS1-i VOID -34.715 39.926 -99 1.2420 1.62
OBS: 57668.29602 PS1-i VOID -39.591 42.556 -99 1.1610 1.76
OBS: 57678.42434 PS1-i VOID -146.620 63.829 -99 0.4700 1.72
OBS: 57678.43596 PS1-i VOID 165.926 52.361 21.9500 0.3410 1.38
OBS: 57678.44770 PS1-i VOID -0.698 55.183 -99 85.3830 1.47
OBS: 57678.45931 PS1-i VOID -15.649 52.330 -99 3.6120 1.40
OBS: 57696.21269 PS1-z VOID 2647.691 163.124 18.9430 0.0670 1.79
OBS: 57705.42741 PS1-z VOID 1789.255 203.835 19.3680 0.1230 1.83
OBS: 57713.20677 PS1-z VOID 1470.580 128.345 19.5810 0.0940 1.44
OBS: 57737.26024 PS1-z VOID 579.784 95.066 20.5920 0.1770 1.23
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 1013
SPECTRUM_MJD:  57695.00
SPEC:   3642.35   3647.85 2.38197e-16 1.99760e-17 1
SPEC:   3647.85   3653.35 2.74377e-16 1.99335e-17 1
SPEC:   3653.35   3658.85 2.75175e-16 1.98852e-17 1
SPEC:   3658.85   3664.35 3.19676e-16 1.98316e-17 1
SPEC:   3664.45   3669.95 3.00999e-16 1.97731e-17 1
SPEC:   3669.95   3675.45 2.67223e-16 1.97104e-17 1
SPEC:   3675.45   3680.95 3.08381e-16 1.96441e-17 1
SPEC:   3680.95   3686.45 3.02552e-16 1.95748e-17 1
SPEC:   3686.45   3691.95 2.77569e-16 1.95031e-17 1
SPEC:   3692.05   3697.55 3.00313e-16 1.94296e-17 1
SPEC:   3697.55   3703.05 3.23380e-16 1.93550e-17 1
SPEC:   3703.05   3708.55 3.01234e-16 1.92798e-17 1
SPEC:   3708.55   3714.05 2.89006e-16 1.92047e-17 1
SPEC:   3714.05   3719.55 2.99906e-16 1.91301e-17 1
SPEC:   3719.55   3725.05 2.69009e-16 1.90564e-17 1
SPEC:   3725.05   3730.55 2.87962e-16 1.89842e-17 1
SPEC:   3730.65   3736.15 3.11405e-16 1.89136e-17 1
SPEC:   3736.15   3741.65 3.33745e-16 1.88447e-17 1
SPEC:   3741.65   3747.15 3.03211e-16 1.87778e-17 1
SPEC:   3747.15   3752.65 3.17028e-16 1.87125e-17 1
SPEC:   3752.65   3758.15 2.82086e-16 1.86487e-17 1
SPEC:   3758.25   3763.75 2.73673e-16 1.85858e-17 1
SPEC:   3763.75   3769.25 3.00482e-16 1.85229e-17 1
SPEC:   3769.25   3774.75 3.00581e-16 1.84593e-17 1
SPEC:   3774.75   3780.25 3.11567e-16 1.83936e-17 1
SPEC:   3780.25   3785.75 2.77239e-16 1.83244e-17 1
SPEC:   3785.85   3791.35 2.84817e-16 1.82502e-17 1
SPEC:   3791.35   3796.85 2.89289e-16 1.81692e-17 1
SPEC:   3796.85   3802.35 2.66810e-16 1.80794e-17 1
SPEC:   3802.35   3807.85 3.00532e-16 1.79792e-17 1
SPEC:   3807.85   3813.35 2.93609e-16 1.78667e-17 1
SPEC:   3813.35   3818.85 3.13279e-16 1.77401e-17 1
SPEC:   3818.95   3824.45 3.36562e-16 1.75981e-17 1
SPEC:   3824.45   3829.95 2.75643e-16 1.74395e-17 1
SPEC:   3829.95   3835.45 3.28613e-16 1.72634e-17 1
SPEC:   3835.45   3840.95 3.23229e-16 1.70694e-17 1
SPEC:   3840.95   3846.45 3.33093e-16 1.68576e-17 1
SPEC:   3846.45   3851.95 3.59535e-16 1.66284e-17 1
SPEC:   3852.05   3857.55 3.68429e-16 1.63829e-17 1
SPEC:   3857.55   3863.05 3.53166e-16 1.61223e-17 1
SPEC:   3863.05   3868.55 3.44879e-16 1.58485e-17 1
SPEC:   3868.55   3874.05 3.80039e-16 1.55636e-17 1
