SPEC: 3710.70 3718.90 3.43285e-16 1.99216e-17 1
SPEC: 3718.90 3727.10 3.40673e-16 1.93889e-17 1
SPEC: 3727.10 3735.30 2.85180e-16 1.87357e-17 1
SPEC: 3735.40 3743.60 2.99377e-16 1.79752e-17 1
SPEC: 3743.60 3751.80 2.97033e-16 1.71313e-17 1
SPEC: 3751.80 3760.00 2.58009e-16 1.62357e-17 1
SPEC: 3760.10 3768.30 2.79454e-16 1.53254e-17 1
SPEC: 3768.30 3776.50 2.91666e-16 1.44391e-17 1
SPEC: 3776.50 3784.70 2.88771e-16 1.36142e-17 1
SPEC: 3784.70 3792.90 2.89954e-16 1.28838e-17 1
SPEC: 3793.00 3801.20 2.81245e-16 1.22748e-17 1
SPEC: 3801.20 3809.40 2.83982e-16 1.18058e-17 1
SPEC: 3809.40 3817.60 2.80475e-16 1.14867e-17 1
SPEC: 3817.70 3825.90 2.66743e-16 1.13183e-17 1
SPEC: 3825.90 3834.10 2.61145e-16 1.12931e-17 1
SPEC: 3834.10 3842.30 2.61575e-16 1.13956e-17 1
SPEC: 3842.30 3850.50 2.68084e-16 1.16042e-17 1
SPEC: 3850.60 3858.80 2.47418e-16 1.18926e-17 1
SPEC: 3858.80 3867.00 2.71947e-16 1.22317e-17 1
SPEC: 3867.00 3875.20 2.52958e-16 1.25916e-17 1
SPEC: 3875.30 3883.50 2.48904e-16 1.29432e-17 1
SPEC: 3883.50 3891.70 2.40385e-16 1.32607e-17 1
SPEC: 3891.70 3899.90 2.06893e-16 1.35224e-17 1
SPEC: 3900.00 3908.20 2.38348e-16 1.37126e-17 1
SPEC: 3908.20 3916.40 2.37776e-16 1.38223e-17 1
SPEC: 3916.40 3924.60 1.94706e-16 1.38495e-17 1
SPEC: 3924.60 3932.80 1.48251e-16 1.37992e-17 1
SPEC: 3932.90 3941.10 1.42317e-16 1.36825e-17 1
SPEC: 3941.10 3949.30 1.48018e-16 1.35157e-17 1
SPEC: 3949.30 3957.50 1.44745e-16 1.33186e-17 1
SPEC: 3957.60 3965.80 1.12813e-16 1.31129e-17 1
SPEC: 3965.80 3974.00 1.19630e-16 1.29200e-17 1
SPEC: 3974.00 3982.20 1.27205e-16 1.27598e-17 1
SPEC: 3982.20 3990.40 1.15023e-16 1.26487e-17 1
SPEC: 3990.50 3998.70 1.17347e-16 1.25987e-17 1
SPEC: 3998.70 4006.90 1.11132e-16 1.26648e-17 1
SPEC: 4006.90 4015.10 9.86210e-17 1.27339e-17 1
SPEC: 4015.10 4023.30 1.16150e-16 1.28447e-17 1
SPEC: 4023.40 4031.60 1.11811e-16 1.30942e-17 1
SPEC: 4031.60 4039.80 1.28091e-16 1.33538e-17 1
SPEC: 4039.80 4048.00 1.26952e-16 1.36357e-17 1
SPEC: 4048.10 4056.30 1.58409e-16 1.39357e-17 1
SPEC: 4056.30 4064.50 1.20723e-16 1.42341e-17 1
SPEC: 4064.50 4072.70 1.77603e-16 1.45451e-17 1
SPEC: 4072.80 4081.00 1.84862e-16 1.48057e-17 1
SPEC: 4081.00 4089.20 2.03835e-16 1.50501e-17 1
SPEC: 4089.20 4097.40 2.33429e-16 1.52091e-17 1
SPEC: 4097.40 4105.60 2.12750e-16 1.53501e-17 1
SPEC: 4105.70 4113.90 1.94048e-16 1.54446e-17 1
SPEC: 4113.90 4122.10 1.97727e-16 1.55081e-17 1
SPEC: 4122.10 4130.30 2.35949e-16 1.55565e-17 1
SPEC: 4130.40 4138.60 2.14307e-16 1.55312e-17 1
SPEC: 4138.60 4146.80 2.10246e-16 1.54431e-17 1
SPEC: 4146.80 4155.00 2.41212e-16 1.53585e-17 1
SPEC: 4155.00 4163.20 2.20050e-16 1.53300e-17 1
SPEC: 4163.30 4171.50 2.22796e-16 1.52791e-17 1
SPEC: 4171.50 4179.70 2.41188e-16 1.51281e-17 1
SPEC: 4179.70 4187.90 2.44314e-16 1.50125e-17 1
SPEC: 4188.00 4196.20 2.79246e-16 1.49057e-17 1
SPEC: 4196.20 4204.40 2.58765e-16 1.47706e-17 1
SPEC: 4204.40 4212.60 2.51022e-16 1.46964e-17 1
SPEC: 4212.70 4220.90 2.73923e-16 1.45922e-17 1
SPEC: 4220.90 4229.10 3.00098e-16 1.44771e-17 1
SPEC: 4229.10 4237.30 3.15410e-16 1.44226e-17 1
SPEC: 4237.30 4245.50 3.05541e-16 1.43127e-17 1
SPEC: 4245.60 4253.80 2.91938e-16 1.42217e-17 1
SPEC: 4253.80 4262.00 3.14984e-16 1.41365e-17 1
SPEC: 4262.00 4270.20 3.01137e-16 1.40268e-17 1
SPEC: 4270.30 4278.50 3.43364e-16 1.39148e-17 1
SPEC: 4278.50 4286.70 3.20625e-16 1.37781e-17 1
SPEC: 4286.70 4294.90 3.27615e-16 1.36477e-17 1
SPEC: 4294.90 4303.10 3.25808e-16 1.35074e-17 1
SPEC: 4303.20 4311.40 3.06339e-16 1.33742e-17 1
SPEC: 4311.40 4319.60 3.40836e-16 1.32917e-17 1
SPEC: 4319.60 4327.80 3.29426e-16 1.31195e-17 1
